,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,1.12,1.0,1.0
3,1.11,1.0,1.0
6,1.3,1.0,1.0
7,1.27,1.0,1.0
8,1.3,1.0,1.0
11,1.32,2.0,2.0
15,1.25,1.0,1.0
16,1.18,1.0,1.0
19,1.19,1.0,1.0
22,1.29,1.0,1.0
25,1.22,1.0,1.0
26,1.27,2.0,2.0
32,1.17,1.0,1.0
35,1.11,2.0,2.0
40,1.11,1.0,1.0
42,1.16,1.0,1.0
44,1.11,1.0,1.0
45,1.11,2.0,2.0
46,1.11,1.0,1.0
48,1.11,1.0,1.0
56,1.11,1.0,1.0
64,1.11,2.0,2.0
66,1.12,1.0,1.0
68,1.13,1.0,1.0
74,1.11,1.0,1.0
79,1.11,1.0,1.0
81,1.11,1.0,1.0
82,1.24,1.0,1.0
84,1.12,1.0,1.0
89,1.12,1.0,1.0
90,1.11,1.0,1.0
100,1.22,1.0,1.0
102,1.12,1.0,1.0
103,1.22,1.0,1.0
112,1.12,1.0,1.0
114,1.26,1.0,1.0
117,1.13,1.0,1.0
118,1.13,1.0,1.0
119,1.13,1.0,1.0
121,1.13,1.0,1.0
123,1.22,1.0,1.0
126,1.25,1.0,1.0
129,1.12,1.0,1.0
130,1.12,1.0,1.0
132,1.12,1.0,1.0
134,1.11,1.0,1.0
135,1.11,1.0,1.0
136,1.11,1.0,1.0
144,1.13,1.0,1.0
146,1.13,1.0,1.0
147,1.26,1.0,1.0
156,1.12,1.0,1.0
157,1.12,1.0,1.0
158,1.12,1.0,1.0
159,1.12,1.0,1.0
160,1.12,2.0,2.0
167,1.12,1.0,1.0
180,1.12,1.0,1.0
186,1.23,1.0,1.0
187,1.27,1.0,1.0
188,1.12,1.0,1.0
189,1.12,1.0,1.0
194,1.11,1.0,1.0
200,1.29,1.0,1.0
205,1.25,1.0,1.0
206,1.28,2.0,2.0
211,1.22,1.0,1.0
214,1.15,1.0,1.0
218,1.26,1.0,1.0
222,1.14,2.0,2.0
224,1.31,1.0,1.0
227,1.34,2.0,2.0
228,1.36,1.0,1.0
238,1.45,1.0,1.0
247,1.41,1.0,1.0
248,1.24,2.0,2.0
249,1.36,1.0,1.0
252,1.31,1.0,1.0
253,1.36,2.0,2.0
255,1.34,2.0,2.0
257,1.36,1.0,1.0
262,1.41,2.0,2.0
268,1.34,1.0,1.0
269,1.32,2.0,2.0
277,1.39,2.0,2.0
278,1.32,1.0,1.0
279,1.33,2.0,2.0
281,1.34,1.0,1.0
287,1.38,1.0,1.0
289,1.3,1.0,1.0
294,1.33,1.0,1.0
295,1.33,2.0,2.0
297,1.31,2.0,2.0
301,1.25,1.0,1.0
305,1.33,1.0,1.0
316,1.32,1.0,1.0
321,1.41,1.0,1.0
325,1.32,1.0,1.0
327,1.33,1.0,1.0
329,1.33,2.0,2.0
334,1.37,1.0,1.0
338,1.32,2.0,2.0
340,1.23,1.0,1.0
343,1.47,2.0,2.0
347,1.17,1.0,1.0
348,1.22,2.0,2.0
351,1.27,2.0,2.0
357,1.44,1.0,1.0
360,1.16,1.0,1.0
361,1.3,2.0,2.0
363,1.2,2.0,2.0
