,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
21899,1.15,7.63,5.23,3.39
21903,0.27,12.82,7.54,8.9
21905,9.47,0.74,1.31,2.1
21909,35.85,60.94,104.93,93.0
21919,62.77,52.88,144.03,125.2
21920,5.79,6.55,124.49,92.77
21921,56.25,40.89,48.57,41.48
21922,13.43,14.71,15.25,15.19
21935,87.5,92.03,27.18,32.35
21947,10.43,16.21,15.58,14.81
21948,4.15,3.27,5.54,14.91
21951,9.37,14.79,18.5,12.21
21958,inf,inf,inf,inf
21960,85.56,78.45,11.16,2.29
21961,inf,inf,inf,inf
21963,inf,inf,inf,inf
21967,123.58,48.29,135.9,110.63
21969,6.52,1.6,6.23,11.62
21970,34.1,35.2,33.92,28.95
21974,17.53,18.21,17.23,11.23
21976,15.08,7.44,5.38,6.17
21977,20.29,20.28,14.09,16.94
21980,inf,inf,inf,inf
21983,inf,inf,inf,inf
21984,inf,inf,inf,inf
21989,inf,inf,inf,inf
21992,29.18,40.39,3.68,10.09
21999,7.84,4.55,3.94,3.1
22002,10.31,1.31,27.95,10.39
22007,inf,inf,inf,inf
22012,inf,inf,inf,inf
22014,inf,inf,inf,inf
22015,10.84,8.91,74.05,41.09
22020,108.01,104.13,120.51,86.37
22021,0.79,6.56,5.14,35.17
22024,82.93,99.25,125.41,103.6
22025,17.13,16.49,7.23,6.13
22027,43.36,47.58,25.06,20.65
22031,inf,inf,inf,inf
22037,inf,inf,inf,inf
22040,inf,inf,inf,inf
22042,18.65,32.78,5.06,8.36
22053,inf,inf,inf,inf
22054,inf,inf,inf,inf
22062,inf,inf,inf,inf
22066,19.92,37.12,13.21,14.55
22069,4.34,7.73,17.65,18.88
22072,23.24,16.66,26.23,24.3
22075,49.92,49.79,18.68,19.55
22089,0.51,2.34,8.81,20.43
22091,23.47,22.88,22.6,30.52
22092,9.18,6.98,9.42,23.05
22094,20.32,29.97,25.78,39.76
22096,0.36,11.54,3.75,7.62
22100,2.06,3.68,59.49,54.63
22101,59.2,67.99,20.63,27.64
22105,inf,inf,inf,inf
22108,inf,inf,inf,inf
22111,inf,inf,inf,inf
22112,inf,inf,inf,inf
22114,32.99,49.36,17.23,28.25
22116,95.7,70.37,64.89,46.81
22118,2.03,15.5,7.66,2.18
22120,9.27,2.66,8.33,10.42
22122,49.37,63.04,28.0,42.96
22124,inf,inf,inf,inf
22125,47.22,60.9,30.8,20.33
22129,inf,inf,inf,inf
22131,75.61,80.94,4.07,2.61
22137,10.31,6.19,19.54,3.05
22143,15.45,12.52,1.33,7.69
22144,19.58,10.45,15.84,31.4
22145,28.51,23.56,27.46,16.64
22153,inf,inf,inf,inf
22155,inf,inf,inf,inf
22157,inf,inf,inf,inf
22161,40.17,38.02,33.02,41.1
22162,0.74,11.29,12.81,3.49
22167,24.67,34.65,26.0,35.69
22168,48.5,46.49,51.42,46.55
22173,inf,inf,inf,inf
22177,inf,inf,inf,inf
22178,inf,inf,inf,inf
22182,inf,inf,inf,inf
22190,inf,inf,inf,inf
22191,inf,inf,inf,inf
22192,63.58,87.81,63.15,77.45
22194,inf,inf,inf,inf
22196,inf,inf,inf,inf
22201,inf,inf,inf,inf
22210,36.41,29.01,30.45,30.04
22211,9.62,3.04,16.33,9.32
22212,43.67,41.72,15.41,22.62
22214,49.53,32.33,42.38,39.22
22221,inf,inf,inf,inf
22226,inf,inf,inf,inf
22227,inf,inf,inf,inf
22229,inf,inf,inf,inf
22230,inf,inf,inf,inf
22235,inf,inf,inf,inf
22237,inf,inf,inf,inf
22238,35.2,30.8,26.56,46.3
22239,inf,inf,inf,inf
22244,83.93,95.23,2.31,17.76
22247,inf,inf,inf,inf
22248,inf,inf,inf,inf
22249,84.54,87.98,1.66,5.58
22257,17.39,15.16,15.68,13.76
22258,4.43,11.13,14.21,0.01
22267,16.63,14.7,39.36,44.2
22271,inf,inf,inf,inf
22273,inf,inf,inf,inf
22274,inf,inf,inf,inf
22275,inf,inf,inf,inf
22276,inf,inf,inf,inf
22277,inf,inf,inf,inf
22279,inf,inf,inf,inf
22291,inf,inf,inf,inf
22295,inf,inf,inf,inf
22301,inf,inf,inf,inf
22304,52.25,61.62,26.99,32.03
22306,inf,inf,inf,inf
22308,7.14,17.63,55.28,58.05
22311,39.1,41.84,20.04,19.73
22315,inf,inf,inf,inf
22317,inf,inf,inf,inf
22318,76.69,77.91,2.36,1.54
22319,inf,inf,inf,inf
22320,inf,inf,inf,inf
22325,inf,inf,inf,inf
22327,62.91,44.37,31.23,15.44
22328,18.86,14.2,51.94,39.62
22334,41.28,35.08,53.25,67.95
22339,inf,inf,inf,inf
22344,inf,inf,inf,inf
22351,inf,inf,inf,inf
22352,inf,inf,inf,inf
22354,inf,inf,inf,inf
22356,inf,inf,inf,inf
22358,43.91,17.4,50.54,47.9
22367,inf,inf,inf,inf
22369,inf,inf,inf,inf
22370,92.52,83.64,9.83,0.9
22374,90.4,73.02,5.96,15.76
22379,49.1,38.36,68.98,56.15
22380,69.21,39.83,21.44,52.42
22382,43.71,53.99,48.09,48.86
22383,inf,inf,inf,inf
22384,inf,inf,inf,inf
22386,inf,inf,inf,inf
22387,inf,inf,inf,inf
22401,49.01,45.2,24.94,26.72
22402,48.24,49.88,35.06,21.11
22404,31.13,27.1,17.86,10.98
22405,59.98,52.25,103.57,87.47
22407,36.95,28.89,62.49,69.12
22408,inf,inf,inf,inf
22410,inf,inf,inf,inf
22415,inf,inf,inf,inf
22416,76.29,68.26,12.5,12.76
