,月,休日,平日,外気温度,室外機運転時間,負荷率
No.0,0.16618189070432504,0.013693397982399247,0.014333923446904671,0.27302843982935165,0.15973157082403266,0.3730307772129867
No.1,0.032409325491357596,0.0043379646204446745,0.0042623186749023885,0.10096932577613882,0.3939923258429414,0.46402873959421514
No.2,0.17133175191237884,0.014067717223732087,0.014241904855312197,0.2546999081670484,0.16972936827942028,0.3759293495621081
