,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1116,60.9,10.63
1117,inf,inf
1123,inf,inf
1132,inf,inf
1139,inf,inf
1153,inf,inf
1159,inf,inf
1161,7.62,13.02
1167,4.65,1.78
1168,0.03,2.82
1172,inf,inf
1175,inf,inf
1177,inf,inf
1183,88.0,37.0
1186,8.31,4.26
1188,4.87,9.78
1189,8.95,4.7
1194,inf,inf
1195,77.08,5.9
1196,inf,inf
1198,inf,inf
1200,inf,inf
1203,61.5,0.28
1210,5.02,0.37
1211,4.05,7.77
1213,22.75,20.66
1214,1.1,11.81
1216,10.48,7.94
1217,104.78,67.07
1224,inf,inf
1229,inf,inf
1231,inf,inf
1235,inf,inf
1248,inf,inf
1249,inf,inf
1258,73.7,37.28
1260,inf,inf
1261,inf,inf
1264,inf,inf
1270,inf,inf
1271,inf,inf
1273,inf,inf
1275,inf,inf
1276,inf,inf
1280,50.86,1.14
1288,5.76,3.33
1295,inf,inf
1300,inf,inf
1302,34.29,18.17
1307,72.06,36.44
1308,14.09,12.38
1310,23.67,31.9
1311,inf,inf
1313,70.85,3.26
1314,inf,inf
1316,inf,inf
1321,inf,inf
1326,20.79,0.29
1330,17.1,15.12
1331,9.82,6.03
1343,inf,inf
1344,inf,inf
1345,inf,inf
1347,inf,inf
1354,68.19,19.38
1356,17.06,15.16
1358,11.4,16.83
1365,71.91,0.51
1369,inf,inf
1372,inf,inf
1378,12.49,14.95
1381,14.08,17.25
1384,9.6,4.88
1391,inf,inf
1392,inf,inf
1393,71.11,0.27
1403,14.48,19.41
1404,13.24,8.12
1405,17.77,23.78
1409,15.75,4.2
1410,inf,inf
1411,inf,inf
1413,86.73,4.18
1415,inf,inf
1419,inf,inf
1421,inf,inf
1427,33.94,1.97
1438,inf,inf
1447,inf,inf
1448,1.5,17.16
1452,inf,inf
1453,9.95,3.98
1454,inf,inf
1457,inf,inf
1459,inf,inf
1460,inf,inf
1467,74.82,1.55
1478,9.92,3.35
1483,inf,inf
1484,inf,inf
1488,80.03,1.49
1490,inf,inf
1491,inf,inf
1497,9.2,18.63
1500,50.74,1.42
1503,41.58,18.43
1506,inf,inf
1518,inf,inf
1519,31.75,4.04
1525,1.45,34.66
1527,39.09,11.41
1528,0.35,14.25
1530,61.18,1.03
1534,inf,inf
1535,65.8,0.12
1539,inf,inf
1540,inf,inf
1542,inf,inf
1544,3.98,3.31
1546,inf,inf
1547,46.76,2.91
1553,54.46,24.95
1556,64.76,0.27
1559,inf,inf
1560,inf,inf
1565,inf,inf
1572,22.99,13.51
1575,17.14,2.25
1579,inf,inf
1583,inf,inf
1600,inf,inf
1605,inf,inf
1610,inf,inf
1612,inf,inf
1615,54.46,2.72
1618,inf,inf
1621,inf,inf
1624,inf,inf
1629,inf,inf
1636,60.26,0.84
1637,inf,inf
1639,50.17,1.6
1641,35.32,9.48
1642,53.77,40.98
1645,25.23,5.99
1647,15.04,21.35
1649,3.71,0.1
1652,inf,inf
1665,8.04,40.13
1668,43.02,38.23
1669,48.95,62.11
1673,93.64,2.85
1680,inf,inf
1686,15.09,0.44
1687,15.22,46.43
1690,29.66,24.55
1691,37.75,54.25
1692,23.81,29.82
1696,13.38,9.85
1701,67.18,0.29
1702,59.94,2.22
1703,inf,inf
1712,45.35,12.94
1715,33.92,38.87
1719,55.29,13.64
1720,20.23,2.75
1721,42.44,2.93
1733,inf,inf
1737,31.89,23.16
1739,8.37,18.68
1742,2.34,5.57
1743,16.97,18.71
1746,24.23,3.32
1749,inf,inf
1755,inf,inf
1760,12.78,7.08
1763,49.45,3.44
1765,59.76,8.36
1774,inf,inf
1778,inf,inf
1781,67.91,1.22
1794,inf,inf
1796,inf,inf
1800,inf,inf
1809,41.37,48.42
1814,4.9,8.78
1816,16.58,24.99
1819,inf,inf
1832,137.28,1.25
1835,20.35,4.58
1837,40.02,38.78
1842,42.72,2.63
1853,inf,inf
1857,238.2,5.37
1861,10.33,20.22
1862,40.8,30.49
1863,49.33,24.44
1867,inf,inf
1873,82.08,3.03
1878,18.86,1.44
1879,2.47,1.28
1881,43.91,45.4
1884,85.48,6.83
1885,31.11,27.98
1887,24.56,4.84
1889,76.25,0.88
1890,inf,inf
1892,inf,inf
1893,inf,inf
1894,65.34,4.57
1904,36.33,4.26
1907,61.55,3.82
1909,inf,inf
1911,20.08,1.19
1914,inf,inf
1915,54.94,2.17
1924,inf,inf
1925,inf,inf
1931,inf,inf
1932,inf,inf
1934,85.96,3.02
1938,inf,inf
1941,inf,inf
1945,inf,inf
1946,66.17,5.37
1950,inf,inf
1952,inf,inf
1966,inf,inf
1970,59.43,1.62
1971,inf,inf
1974,60.81,2.56
1980,inf,inf
1983,51.23,1.91
1984,inf,inf
1988,63.69,0.77
1993,inf,inf
1998,38.13,7.67
2000,inf,inf
2004,125.88,7.67
2008,154.26,13.17
2012,inf,inf
2015,inf,inf
2017,inf,inf
2023,inf,inf
2024,2.44,0.31
2031,17.24,9.76
2033,inf,inf
2034,inf,inf
2035,inf,inf
2038,inf,inf
2047,inf,inf
2048,10.22,3.65
2050,45.01,2.03
2054,13.29,2.44
2055,inf,inf
2058,50.52,6.68
2067,65.24,1.83
2078,10.15,30.09
2080,44.69,59.05
2085,63.14,1.49
2086,62.27,1.39
2088,78.99,8.27
2094,25.33,8.0
2099,56.24,7.45
2102,inf,inf
2103,inf,inf
2107,inf,inf
2110,inf,inf
2112,69.8,0.5
2113,64.54,0.5
2117,inf,inf
2118,inf,inf
2130,inf,inf
2134,73.61,8.16
2141,inf,inf
2144,214.68,24.94
2145,76.75,6.57
2147,19.9,0.9
2157,inf,inf
2160,inf,inf
2164,inf,inf
2170,17.28,20.16
2175,26.63,20.89
2182,inf,inf
2188,inf,inf
2190,59.74,2.22
2198,1.63,27.21
2200,7.43,16.42
2201,28.89,4.18
2206,inf,inf
2208,inf,inf
2210,inf,inf
2216,246.56,6.51
2218,22.5,23.94
2226,inf,inf
2229,62.35,0.38
2232,inf,inf
2233,81.11,3.61
2239,34.24,45.12
2240,28.64,12.88
2243,11.31,6.5
2246,50.66,20.17
2247,50.4,6.13
2259,inf,inf
2267,35.57,2.17
2268,75.23,34.84
2269,69.02,30.42
2272,35.43,4.8
2275,inf,inf
2277,inf,inf
2281,inf,inf
2285,62.38,0.16
2286,inf,inf
2291,56.42,25.2
2292,inf,inf
2306,inf,inf
2307,inf,inf
2309,inf,inf
2312,25.13,11.83
2314,54.17,7.13
2315,220.51,37.0
2316,47.61,28.33
2319,37.17,20.69
2322,66.76,3.39
2323,inf,inf
2330,62.09,2.0
2331,inf,inf
2336,12.17,2.13
2338,9.43,5.86
2341,69.14,49.57
2342,15.11,4.94
2343,55.77,39.76
2346,inf,inf
2349,88.5,2.25
2350,81.04,1.62
2352,inf,inf
2360,22.67,31.16
2362,35.39,19.91
2368,3.07,10.21
2369,53.15,15.35
2370,9.6,9.94
2371,56.5,7.16
2372,66.52,0.02
2377,inf,inf
2382,inf,inf
2385,31.41,24.34
2390,46.91,31.06
2391,35.46,1.94
2395,inf,inf
2396,inf,inf
2398,inf,inf
2400,61.03,0.93
2401,65.58,1.11
2403,inf,inf
2416,18.79,19.45
2418,inf,inf
2420,inf,inf
2431,25.67,24.72
2435,27.44,27.32
2438,inf,inf
2439,inf,inf
2440,inf,inf
2444,inf,inf
2445,inf,inf
2447,76.02,2.7
2448,inf,inf
2458,54.47,25.72
2459,57.09,49.96
2462,inf,inf
2464,inf,inf
2468,64.77,0.35
2470,42.58,0.18
2473,inf,inf
2476,inf,inf
2484,42.19,48.87
2487,22.03,7.06
2492,inf,inf
2495,inf,inf
2502,inf,inf
2504,30.1,9.97
2506,10.12,3.35
2509,42.74,13.67
2510,41.71,17.63
2512,inf,inf
2514,70.09,3.0
2517,inf,inf
2518,inf,inf
2519,inf,inf
2521,inf,inf
2526,33.45,1.58
2528,45.22,9.8
2530,34.68,6.38
2532,inf,inf
2536,inf,inf
2537,inf,inf
2541,inf,inf
2542,inf,inf
2546,inf,inf
2547,68.16,1.19
2548,68.16,1.19
2549,62.98,1.97
2555,11.87,1.05
2556,13.53,5.66
2559,inf,inf
2567,inf,inf
2568,64.1,0.15
2569,inf,inf
2571,inf,inf
2577,29.07,2.17
2579,inf,inf
2580,6.8,3.7
2588,73.27,0.48
2598,62.16,4.93
2603,inf,inf
2605,inf,inf
2606,inf,inf
2607,48.39,5.67
2611,inf,inf
2612,inf,inf
2614,81.3,0.88
2617,inf,inf
2619,inf,inf
2624,inf,inf
2626,inf,inf
2627,inf,inf
2632,inf,inf
2633,inf,inf
2639,inf,inf
2641,inf,inf
2642,inf,inf
2649,20.38,17.16
2651,5.7,8.72
2657,3.44,50.37
2658,inf,inf
2660,66.97,9.96
2662,inf,inf
2665,64.15,0.87
2666,inf,inf
2667,inf,inf
2668,59.75,5.81
2672,47.15,19.51
2674,41.03,14.09
2685,inf,inf
2691,59.82,0.31
2693,inf,inf
2694,8.72,8.38
2697,48.44,28.24
2698,17.05,8.34
2700,5.23,7.54
2704,3.07,13.35
2708,84.87,3.73
2709,65.88,6.33
2710,inf,inf
2712,inf,inf
2713,inf,inf
2719,inf,inf
2720,inf,inf
2724,45.11,0.08
2729,67.62,3.72
2730,inf,inf
2733,inf,inf
2734,inf,inf
2737,inf,inf
2742,inf,inf
2743,31.47,19.3
2746,48.61,23.75
2750,70.86,22.42
2772,90.69,9.28
2773,11.35,1.6
2776,inf,inf
2778,inf,inf
2781,inf,inf
2784,inf,inf
2787,62.06,0.72
2788,inf,inf
2791,64.38,7.59
2792,33.04,3.8
2793,85.83,21.47
2799,inf,inf
2803,inf,inf
2807,76.79,1.08
2810,inf,inf
2813,inf,inf
2815,2.61,43.06
2817,39.43,9.03
2818,16.96,1.65
2819,13.58,5.33
2820,35.87,10.71
2821,104.86,45.86
2825,31.68,40.67
2830,78.85,0.7
2831,78.85,1.17
2834,inf,inf
2837,inf,inf
2838,19.79,19.75
2844,81.48,63.8
2850,inf,inf
2851,86.78,0.74
2854,inf,inf
2857,inf,inf
2860,inf,inf
2865,14.59,1.98
2871,39.99,0.67
2874,48.69,0.02
2876,inf,inf
2877,60.63,0.84
2878,inf,inf
2879,inf,inf
2880,inf,inf
2882,inf,inf
2888,9.3,0.14
2890,2.77,0.97
2893,31.67,5.76
2894,5.63,30.04
2896,26.73,2.74
2897,inf,inf
