,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,103.19,140.0,116.54
3,11.66,4.0,15.6
8,60.2,57.0,54.16
11,75.88,58.0,83.72
13,88.66,105.0,101.07
19,110.5,106.0,115.62
26,77.51,112.0,102.87
28,112.9,76.0,123.33
46,212.84,224.0,213.05
53,199.97,195.0,200.64
55,193.53,195.0,192.59
56,145.85,157.0,145.42
59,6.18,5.0,10.68
61,194.83,214.0,193.25
62,202.43,207.0,214.99
64,201.99,214.0,213.89
75,232.65,244.0,235.77
78,215.69,213.0,221.37
79,159.71,137.0,144.08
80,7.2,4.0,4.25
95,207.07,209.0,211.09
96,243.52,250.0,237.82
97,242.72,250.0,246.23
98,222.6,237.0,227.55
103,242.95,252.0,258.01
115,10.68,4.0,5.74
116,246.88,219.0,237.9
117,245.55,245.0,247.67
121,229.38,234.0,223.66
123,238.81,243.0,234.11
124,259.39,258.0,256.99
126,259.48,253.0,256.55
131,256.06,300.0,268.9
133,246.55,254.0,238.5
135,168.72,150.0,186.25
138,231.82,235.0,228.3
139,254.9,255.0,248.4
149,218.97,231.0,220.79
151,241.59,240.0,235.84
153,209.61,216.0,211.13
154,169.32,206.0,174.34
155,168.0,208.0,175.92
160,188.88,208.0,201.6
162,245.47,286.0,260.58
169,223.59,224.0,219.61
174,237.95,251.0,239.38
175,215.0,223.0,227.08
177,164.29,166.0,165.25
180,218.08,217.0,202.17
181,228.14,226.0,220.29
184,182.37,201.0,193.15
185,5.61,4.0,6.03
188,225.61,242.0,221.4
197,199.46,206.0,195.43
202,79.63,82.0,91.83
204,51.39,82.0,52.58
205,38.24,36.0,43.48
206,6.57,4.0,2.34
210,99.13,76.0,103.06
216,58.5,56.0,87.44
219,36.6,43.0,43.87
225,77.34,92.0,72.21
231,63.79,60.0,59.03
233,34.34,19.0,19.56
235,72.66,73.0,71.66
237,49.3,55.0,49.46
238,51.12,65.0,53.9
242,29.44,32.0,32.96
245,43.11,59.0,41.7
250,50.69,65.0,50.09
251,46.43,46.0,40.74
259,45.78,57.0,44.17
263,18.56,23.0,21.38
266,36.56,37.0,35.66
268,29.14,17.0,30.2
270,13.89,22.0,21.69
274,18.08,4.0,3.26
276,3.91,4.0,3.51
278,18.23,4.0,6.64
283,4.01,5.0,4.3
286,28.28,25.0,25.03
288,24.08,25.0,29.36
289,13.53,11.0,12.47
290,4.47,4.0,3.97
294,23.19,25.0,23.51
297,6.74,5.0,3.86
298,22.1,13.0,17.2
301,29.2,40.0,28.73
306,25.01,32.0,22.14
307,29.8,34.0,34.35
309,35.0,25.0,31.72
310,10.87,12.0,12.66
317,13.98,12.0,11.28
325,4.35,4.0,1.63
332,7.15,5.0,6.4
341,36.72,33.0,36.52
