列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 8:00,金曜日,34,2,Ｍ,2.5,38.5,55,1.8,4.8,0,2.7
2022/7/1 9:00,金曜日,36,2,Ｍ,3.1,39.7,60,2.2,5.6,0,2.5
2022/7/1 10:00,金曜日,37,2,Ｍ,3.3,41,60,2.2,5.4,0,2.5
2022/7/1 11:00,金曜日,39,2,Ｍ,3.9,42,60,2.2,5.1,0,2.3
2022/7/1 12:00,金曜日,39,2,Ｍ,3.5,43.5,60,2.4,5.4,0,2.3
2022/7/1 13:00,金曜日,39,2,Ｍ,3.2,43.5,60,2.5,5.5,0,2.2
2022/7/1 14:00,金曜日,38,2,Ｍ,2.9,42.9,60,2.5,5.7,0,2.3
2022/7/1 15:00,金曜日,37,2,Ｍ,2.7,42.5,60,2.5,5.8,0,2.3
2022/7/1 16:00,金曜日,36,2,Ｍ,2.1,41.5,60,2.4,5.9,0,2.5
2022/7/1 17:00,金曜日,34,2,Ｍ,3.2,39.2,60,2.1,5.7,0,2.7
2022/7/3 8:00,日曜日,31,5,Ｍ,5.3,37.1,24,0.6,2.1,0,3.5
2022/7/4 8:00,月曜日,28,6,Ｍ,6.9,36.5,56,1.2,4.5,0,3.8
2022/7/4 9:00,月曜日,27,5,Ｍ,7.7,35.1,60,1.2,5,0,4.2
2022/7/4 10:00,月曜日,28,5,Ｍ,7.3,36.1,60,1.3,4.9,0,3.8
2022/7/4 11:00,月曜日,30,4,Ｍ,7.1,37.5,60,1.3,4.8,0,3.7
2022/7/4 12:00,月曜日,30,4,Ｍ,6.9,37.7,60,1.4,4.8,0,3.4
2022/7/4 13:00,月曜日,31,4,Ｍ,7,38,60,1.4,4.7,0,3.4
2022/7/4 14:00,月曜日,30,3,Ｍ,5.8,37.8,60,1.5,5.1,0,3.4
2022/7/4 15:00,月曜日,31,4,Ｍ,6.9,37.7,60,1.4,4.7,0,3.4
2022/7/4 16:00,月曜日,30,4,Ｍ,5.8,36.8,60,1.5,4.8,0,3.2
2022/7/4 17:00,月曜日,30,4,Ｍ,6.7,35.9,60,1.3,4.6,0,3.5
2022/7/5 8:00,火曜日,32,6,Ｍ,6.1,37.6,56,1.2,4.2,0,3.5
2022/7/5 9:00,火曜日,32,6,Ｍ,6.9,38.2,60,1.4,4.5,0,3.2
2022/7/5 10:00,火曜日,32,6,Ｍ,7.1,38.1,60,1.4,4.5,0,3.2
2022/7/5 11:00,火曜日,33,6,Ｍ,7.1,38.2,60,1.4,4.5,0,3.2
2022/7/5 12:00,火曜日,33,6,Ｍ,7.1,37.2,60,1.4,4.5,0,3.2
2022/7/5 13:00,火曜日,30,6,Ｍ,7.1,34.6,60,1.3,4.7,0,3.6
2022/7/5 14:00,火曜日,29,6,Ｍ,7.1,34.3,60,1.3,4.7,0,3.6
2022/7/5 15:00,火曜日,28,6,Ｍ,7.1,33.8,60,1.3,4.7,0,3.6
2022/7/5 16:00,火曜日,27,6,Ｍ,5.9,33.6,60,1.4,5,0,3.6
2022/7/5 17:00,火曜日,26,6,Ｍ,6.9,32.3,60,1.2,4.8,0,4.0
2022/7/6 8:00,水曜日,30,6,Ｍ,1.1,34.7,44,0.9,2.8,0,3.1
2022/7/6 10:00,水曜日,33,6,Ｍ,5,38.3,53,1.2,3.7,0,3.1
2022/7/6 12:00,水曜日,34,6,Ｍ,5.9,38.3,55,1.3,3.9,0,3.0
2022/7/6 14:00,水曜日,31,5,Ｍ,5.4,37.4,56,1.2,4.1,0,3.4
2022/7/6 16:00,水曜日,31,6,Ｍ,5.7,37.9,55,1.2,4,0,3.3
2022/7/7 11:00,木曜日,31,5,Ｍ,3,35.8,60,1.3,3.9,0,3.0
2022/7/7 12:00,木曜日,32,5,Ｍ,4.1,37.3,60,1.4,4.1,0,2.9
2022/7/7 13:00,木曜日,32,4,Ｍ,4.5,38,60,1.4,4.1,0,2.9
2022/7/7 14:00,木曜日,32,5,Ｍ,4.7,38.9,60,1.4,4.1,0,2.9
2022/7/7 15:00,木曜日,32,4,Ｍ,4.8,38.2,60,1.4,4.1,0,2.9
2022/7/7 16:00,木曜日,31,5,Ｍ,4.6,37.1,60,1.4,4.2,0,3.0
2022/7/7 17:00,木曜日,30,5,Ｍ,4.5,36.3,60,1.3,4.2,0,3.2
2022/7/8 10:00,金曜日,31,6,Ｍ,3.7,36.8,50,1.1,3.4,0,3.1
2022/7/8 12:00,金曜日,32,5,Ｍ,3.9,37.7,56,1.3,3.7,0,2.8
2022/7/8 14:00,金曜日,34,5,Ｍ,4.1,38,56,1.3,3.7,0,2.8
2022/7/8 16:00,金曜日,32,5,Ｍ,4.1,38,56,1.3,3.8,0,2.9
2022/7/11 8:00,月曜日,31,4,Ｍ,4.2,36.5,56,1.3,4.1,0,3.2
2022/7/11 10:00,月曜日,34,4,Ｍ,3.9,38.3,56,1.3,3.7,0,2.8
2022/7/11 12:00,月曜日,33,4,Ｍ,3.9,37.3,56,1.3,3.6,0,2.8
2022/7/11 14:00,月曜日,35,4,Ｍ,4,38.1,56,1.4,3.5,0,2.5
2022/7/11 16:00,月曜日,33,3,Ｍ,4.5,37.8,56,1.3,3.8,0,2.9
2022/7/12 8:00,火曜日,29,6,Ｍ,4.2,35.7,56,1.2,4,0,3.3
2022/7/12 9:00,火曜日,29,4,Ｍ,5.3,36.8,60,1.3,4.4,0,3.4
2022/7/12 10:00,火曜日,30,6,Ｍ,5.5,37.4,60,1.4,4.4,0,3.1
2022/7/12 11:00,火曜日,29,4,Ｍ,5.5,37.2,60,1.3,4.4,0,3.4
2022/7/12 12:00,火曜日,29,5,Ｍ,5.4,37.2,60,1.4,4.4,0,3.1
2022/7/12 13:00,火曜日,30,4,Ｍ,5.2,37.5,60,1.4,4.3,0,3.1
2022/7/12 14:00,火曜日,29,5,Ｍ,5.5,37.3,60,1.3,4.4,0,3.4
