列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/1 8:00,金曜日,34,2,Ｍ,3.1,37.4,56,3,10,0,3.3
2022/7/1 9:00,金曜日,36,2,Ｍ,3.1,38.3,60,4.3,13.2,0,3.1
2022/7/1 10:00,金曜日,37,2,Ｍ,3.1,39.7,60,4.5,13.2,0,2.9
2022/7/1 11:00,金曜日,38,2,Ｍ,3.1,41,60,4.7,13.1,0,2.8
2022/7/1 12:00,金曜日,39,2,Ｍ,3.2,42.5,60,5.1,13.8,0,2.7
2022/7/1 13:00,金曜日,40,2,Ｍ,3.3,42.6,60,5,13.4,0,2.7
2022/7/1 14:00,金曜日,38,2,Ｍ,3.3,41.5,60,4.8,13.2,0,2.8
2022/7/1 15:00,金曜日,37,2,Ｍ,3.5,41,60,4.7,13.4,0,2.9
2022/7/1 16:00,金曜日,36,2,Ｍ,3.2,39.6,60,4.1,11.7,0,2.9
2022/7/3 12:00,日曜日,34,3,Ｍ,8.4,38.5,18,0.9,2.9,0,3.2
2022/7/4 8:00,月曜日,27,5,Ｍ,7.9,31.7,56,1.7,8,0,4.7
2022/7/4 9:00,月曜日,27,5,Ｍ,9.4,28.5,60,1.1,5.3,0,4.8
2022/7/4 10:00,月曜日,28,5,Ｍ,9.2,29.8,60,1.2,5.2,0,4.3
2022/7/4 11:00,月曜日,29,4,Ｍ,8.6,30.5,60,1.2,5.2,0,4.3
2022/7/4 12:00,月曜日,29,5,Ｍ,9.5,31.1,60,1.2,5.1,0,4.3
2022/7/4 13:00,月曜日,31,4,Ｍ,6.9,33.3,60,1.5,5.7,0,3.8
2022/7/4 14:00,月曜日,32,3,Ｍ,4,38,60,3.1,11,0,3.5
2022/7/4 15:00,月曜日,32,4,Ｍ,4.9,37.3,60,3.3,12.6,0,3.8
2022/7/4 16:00,月曜日,32,4,Ｍ,5.4,37,60,3.1,11.8,0,3.8
2022/7/5 8:00,火曜日,30,6,Ｍ,7.9,32.1,56,1.1,4.3,0,3.9
2022/7/5 9:00,火曜日,32,6,Ｍ,9.3,33.5,60,1.3,5.1,0,3.9
2022/7/5 10:00,火曜日,33,6,Ｍ,8.6,37.4,60,2.1,8.9,0,4.2
2022/7/5 11:00,火曜日,34,6,Ｍ,8.9,37.2,60,2,8.5,0,4.3
2022/7/5 12:00,火曜日,33,6,Ｍ,8.8,36.1,60,2,8.8,0,4.4
2022/7/5 13:00,火曜日,30,6,Ｍ,9,32,60,1.5,6.8,0,4.5
2022/7/5 14:00,火曜日,29,6,Ｍ,9.9,30.1,60,1.1,5,0,4.5
2022/7/5 15:00,火曜日,28,6,Ｍ,9.9,29.7,60,1.1,5.1,0,4.6
2022/7/5 16:00,火曜日,28,6,Ｍ,8.4,31.4,60,1.5,6.4,0,4.3
2022/7/6 8:00,水曜日,28,6,Ｍ,6.5,30,50,0.9,3.7,0,4.1
2022/7/6 10:00,水曜日,32,6,Ｍ,7.7,33,55,1.2,4.7,0,3.9
2022/7/6 12:00,水曜日,34,6,Ｍ,7.4,37,55,1.9,7.7,0,4.1
2022/7/6 14:00,水曜日,29,5,Ｍ,7.7,31.5,56,1.2,4.6,0,3.8
2022/7/6 16:00,水曜日,30,6,Ｍ,7.7,32.3,55,1.2,4.8,0,4.0
2022/7/7 8:00,木曜日,27,6,Ｍ,3.1,29.5,31,0.6,2.1,0,3.5
2022/7/7 9:00,木曜日,28,5,Ｍ,7.8,30.7,60,1.3,5.4,0,4.2
2022/7/7 10:00,木曜日,28,6,Ｍ,9.3,30.1,60,1.1,5.1,0,4.6
2022/7/7 11:00,木曜日,30,5,Ｍ,8.5,30.6,60,1.2,5.1,0,4.3
2022/7/7 12:00,木曜日,30,5,Ｍ,8.4,31.2,60,1.2,5.1,0,4.3
2022/7/7 13:00,木曜日,31,4,Ｍ,7.4,32.2,60,1.3,5.4,0,4.2
2022/7/7 14:00,木曜日,31,5,Ｍ,8.3,33.1,60,1.3,5.3,0,4.1
2022/7/7 15:00,木曜日,31,4,Ｍ,5.8,35.9,60,2.2,8.4,0,3.8
2022/7/7 16:00,木曜日,31,5,Ｍ,7.2,35.3,60,2.2,9.3,0,4.2
2022/7/8 8:00,金曜日,28,6,Ｍ,5.6,29.9,41,0.8,3.1,0,3.9
2022/7/8 10:00,金曜日,29,6,Ｍ,7,30.2,56,1.1,4.1,0,3.7
2022/7/8 12:00,金曜日,30,5,Ｍ,6.5,31.5,56,1.2,4.2,0,3.5
2022/7/8 14:00,金曜日,32,5,Ｍ,7.1,33.1,56,1.2,4.4,0,3.7
2022/7/8 16:00,金曜日,31,5,Ｍ,6.9,32.8,56,1.2,4.4,0,3.7
2022/7/11 8:00,月曜日,30,4,Ｍ,6.3,33.3,56,1.6,6.2,0,3.9
2022/7/11 10:00,月曜日,33,4,Ｍ,5.2,35.4,56,1.7,6.1,0,3.6
2022/7/11 12:00,月曜日,35,4,Ｍ,6.3,36.4,56,1.5,5.2,0,3.5
2022/7/11 14:00,月曜日,35,4,Ｍ,6.4,36.7,56,1.6,5.3,0,3.3
2022/7/11 16:00,月曜日,33,3,Ｍ,5.5,36.2,56,1.6,5.5,0,3.4
2022/7/12 8:00,火曜日,29,6,Ｍ,8.5,30.6,56,1.1,4.5,0,4.1
2022/7/12 9:00,火曜日,29,4,Ｍ,8.4,31.5,60,1.3,5.3,0,4.1
2022/7/12 10:00,火曜日,31,6,Ｍ,8.2,33.4,60,1.6,6.4,0,4.0
2022/7/12 11:00,火曜日,29,4,Ｍ,8.1,31.8,60,1.3,5.4,0,4.2
2022/7/12 12:00,火曜日,29,5,Ｍ,9.1,31.5,60,1.2,5.1,0,4.3
2022/7/12 13:00,火曜日,30,4,Ｍ,7.3,32.1,60,1.3,5.5,0,4.2
2022/7/12 14:00,火曜日,29,5,Ｍ,9.1,31.5,60,1.2,5.2,0,4.3
2022/7/12 15:00,火曜日,30,5,Ｍ,7.8,33.6,60,1.6,6.4,0,4.0
2022/7/12 16:00,火曜日,28,6,Ｍ,9.6,30.5,60,1.2,5.7,0,4.8
2022/7/14 11:00,木曜日,27,5,Ｍ,6.5,29.8,52,1,4.2,0,4.2
2022/7/14 12:00,木曜日,26,5,Ｍ,9.1,30,60,1.1,5.2,0,4.7
2022/7/14 13:00,木曜日,27,5,Ｍ,9.1,29.9,60,1.1,5.3,0,4.8
2022/7/14 14:00,木曜日,25,5,Ｍ,8.9,29.3,18,0.3,1.5,0,5.0
2022/7/18 8:00,月曜日,29,4,Ｍ,3.7,32,55,1.4,5.3,0,3.8
2022/7/18 10:00,月曜日,33,4,Ｍ,5.4,33.7,55,1.4,5,0,3.6
2022/7/18 12:00,月曜日,35,4,Ｍ,6,36.1,55,1.5,5.3,0,3.5
2022/7/18 14:00,月曜日,35,3,Ｍ,5.3,37.1,55,1.7,5.4,0,3.2
2022/7/18 16:00,月曜日,33,4,Ｍ,5.7,35.7,55,1.5,5.1,0,3.4
2022/7/19 8:00,火曜日,30,4,Ｍ,5.6,33.2,56,1.6,5.6,0,3.5
2022/7/19 9:00,火曜日,31,4,Ｍ,6.6,34.9,60,2.1,8,0,3.8
2022/7/19 10:00,火曜日,32,4,Ｍ,7.1,34,60,1.6,6,0,3.8
2022/7/19 11:00,火曜日,30,4,Ｍ,7.1,33.4,60,1.6,6.1,0,3.8
2022/7/19 12:00,火曜日,32,4,Ｍ,7.2,33.4,60,1.6,6,0,3.8
2022/7/19 13:00,火曜日,32,3,Ｍ,5.3,34.1,60,2,7.2,0,3.6
2022/7/19 14:00,火曜日,30,3,Ｍ,6.5,31.8,60,1.5,6,0,4.0
