列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 7:00,金曜日,32,2,Ｍ,1.1,46.4,26,4.6,10.1,0,2.2
2022/7/1 8:00,金曜日,34,2,Ｍ,-2.6,48.6,60,12.9,24.8,0,1.9
2022/7/1 9:00,金曜日,36,2,Ｍ,-1.9,49.7,60,13.2,25,0,1.9
2022/7/1 10:00,金曜日,37,2,Ｍ,-0.9,50.6,60,13.2,25.1,0,1.9
2022/7/1 11:00,金曜日,38,2,Ｍ,-0.1,51.6,60,13.2,24.8,0,1.9
2022/7/1 12:00,金曜日,39,2,Ｍ,0,52.5,60,13.4,24.3,0,1.8
2022/7/1 13:00,金曜日,39,2,Ｍ,0,52.4,60,13.4,24.2,0,1.8
2022/7/1 14:00,金曜日,37,2,Ｍ,0,51.7,60,13.1,24.8,0,1.9
2022/7/1 15:00,金曜日,37,2,Ｍ,0,51.9,60,12.7,24,0,1.9
2022/7/1 16:00,金曜日,36,2,Ｍ,0,50.3,60,11.9,23.5,0,2.0
2022/7/1 17:00,金曜日,34,2,Ｍ,0,48.3,60,11.4,24.3,0,2.1
2022/7/2 8:00,土曜日,32,4,Ｍ,7.5,41.1,8,0.5,1.7,0,3.4
2022/7/2 9:00,土曜日,34,4,Ｍ,-0.6,48.8,60,12.1,25,0,2.1
2022/7/2 10:00,土曜日,35,3,Ｍ,-1.4,50,60,12.9,25.1,0,1.9
2022/7/2 11:00,土曜日,37,3,Ｍ,-0.9,50.6,60,13.1,25.4,0,1.9
2022/7/2 12:00,土曜日,37,3,Ｍ,-0.9,50.9,60,13.2,25.2,0,1.9
2022/7/2 13:00,土曜日,37,3,Ｍ,-0.8,51,60,13.2,25.2,0,1.9
2022/7/2 14:00,土曜日,37,3,Ｍ,-0.9,50.8,60,13.1,25.1,0,1.9
2022/7/2 15:00,土曜日,35,3,Ｍ,-1.6,49.8,60,12.9,24.9,0,1.9
2022/7/2 16:00,土曜日,35,3,Ｍ,-2,49,60,12.4,23.8,0,1.9
2022/7/2 17:00,土曜日,33,3,Ｍ,-2.7,48.5,51,10.6,20.4,0,1.9
2022/7/3 8:00,日曜日,33,4,Ｍ,3,49.6,29,4.9,10.7,0,2.2
2022/7/3 11:00,日曜日,35,3,Ｍ,3.4,48.2,24,4,8.7,0,2.2
2022/7/4 8:00,月曜日,25,5,Ｍ,6.1,36.2,22,1.7,6.7,0,3.9
2022/7/4 9:00,月曜日,26,4,Ｍ,-3.1,41.5,60,10.9,25.1,0,2.3
2022/7/4 10:00,月曜日,27,4,Ｍ,-3.8,43.3,60,11.8,25.5,0,2.2
2022/7/4 11:00,月曜日,28,4,Ｍ,3.3,39.7,60,5.9,19.4,0,3.3
2022/7/4 12:00,月曜日,29,3,Ｍ,-2.5,44.4,60,11.5,24.9,0,2.2
2022/7/4 13:00,月曜日,30,3,Ｍ,-3.1,45.7,60,12.3,25.5,0,2.1
2022/7/4 14:00,月曜日,30,2,Ｍ,-2.9,46.1,60,12.4,25.6,0,2.1
2022/7/4 15:00,月曜日,30,3,Ｍ,-2.7,46.5,60,12.5,25.7,0,2.1
2022/7/4 16:00,月曜日,30,3,Ｍ,-2.7,46.5,60,12.1,24.7,0,2.0
2022/7/4 17:00,月曜日,30,3,Ｍ,-3.5,46,60,12.3,24.8,0,2.0
2022/7/5 7:00,火曜日,28,4,Ｍ,0.6,40.6,25,3.4,8.7,0,2.6
2022/7/5 8:00,火曜日,29,5,Ｍ,8.8,36.7,60,3.7,13.5,0,3.6
