列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,ＣＯＰ
2022/7/12 15:00,火曜日,31,5,Ｍ,0.9,36.5,59,1.3,3.5,0,2.7
2022/7/12 16:00,火曜日,28,6,Ｍ,2.4,35.3,60,1.3,3.9,0,3.0
2022/7/12 17:00,火曜日,29,5,Ｍ,-1.1,35.6,52,1.1,2.8,0,2.5
2022/7/13 8:00,水曜日,25,6,Ｍ,-0.7,32.4,56,1.1,3.3,0,3.0
2022/7/13 10:00,水曜日,27,6,Ｍ,-3.1,32.9,34,0.7,1.7,0,2.4
2022/7/13 12:00,水曜日,26,6,Ｍ,-2,33.2,52,1,2.8,0,2.8
2022/7/13 14:00,水曜日,28,6,Ｍ,-5.3,32.6,38,0.7,1.6,0,2.3
2022/7/13 16:00,水曜日,27,6,Ｍ,-9.4,30.4,25,0.4,0.8,0,2.0
2022/7/14 8:00,木曜日,25,6,Ｍ,-14.9,27.9,7,0.1,0.3,0,3.0
2022/7/14 9:00,木曜日,26,5,Ｍ,-17.6,27,11,0.2,0.2,0,1.0
2022/7/14 10:00,木曜日,26,6,Ｍ,-17.7,27.5,13,0.2,0.1,0,0.5
2022/7/14 11:00,木曜日,30,5,Ｍ,-0.9,36,57,1.2,3.1,0,2.6
2022/7/14 12:00,木曜日,28,6,Ｍ,0.6,35,48,1,2.9,0,2.9
2022/7/14 13:00,木曜日,24,5,Ｍ,-16.8,26,6,0.1,0.1,0,1.0
2022/7/15 12:00,金曜日,24,6,Ｍ,-16.5,26.6,12,0.2,0.2,0,1.0
2022/7/15 14:00,金曜日,25,6,Ｍ,-17,26.5,12,0.2,0.1,0,0.5
2022/7/18 8:00,月曜日,31,4,Ｍ,0.1,37.2,49,1,2.8,0,2.8
2022/7/18 10:00,月曜日,30,4,Ｍ,-16.1,32.5,13,0.3,0.3,0,1.0
2022/7/18 12:00,月曜日,34,4,Ｍ,1.2,37.3,55,1.3,3.1,0,2.4
2022/7/18 14:00,月曜日,34,3,Ｍ,1,36.5,55,1.4,3.1,0,2.2
2022/7/18 16:00,月曜日,33,4,Ｍ,0.7,37.9,55,1.3,3,0,2.3
2022/7/19 8:00,火曜日,32,4,Ｍ,0.7,38.1,55,1.3,3.3,0,2.5
2022/7/19 9:00,火曜日,31,4,Ｍ,2.8,37.4,60,1.4,3.8,0,2.7
2022/7/19 10:00,火曜日,32,4,Ｍ,0.5,36.8,49,1.1,2.8,0,2.5
2022/7/19 11:00,火曜日,31,4,Ｍ,-7.6,34.3,26,0.5,0.9,0,1.8
2022/7/19 12:00,火曜日,32,4,Ｍ,2.6,37.3,60,1.4,3.7,0,2.6
2022/7/19 13:00,火曜日,31,3,Ｍ,2.5,36.4,60,1.3,3.8,0,2.9
2022/7/19 14:00,火曜日,30,3,Ｍ,-0.8,35,41,0.9,2.3,0,2.6
2022/7/19 15:00,火曜日,29,4,Ｍ,1.3,34.9,47,1,2.9,0,2.9
2022/7/19 16:00,火曜日,29,4,Ｍ,3.7,34.4,60,1.2,3.9,0,3.3
2022/7/19 17:00,火曜日,31,4,Ｍ,2.3,37.5,60,1.3,3.8,0,2.9
2022/7/20 8:00,水曜日,34,5,Ｍ,0.3,38.8,51,1.2,2.6,0,2.2
2022/7/20 10:00,水曜日,35,5,Ｍ,-15.1,36.1,15,0.3,0.3,0,1.0
2022/7/20 12:00,水曜日,35,5,Ｍ,0.7,38.3,55,1.3,3,0,2.3
2022/7/20 14:00,水曜日,35,5,Ｍ,-14.6,36.7,18,0.4,0.3,0,0.8
2022/7/20 16:00,水曜日,34,5,Ｍ,0.5,37.9,55,1.3,2.9,0,2.2
2022/7/21 8:00,木曜日,34,6,Ｍ,2.1,38.5,56,1.3,3.3,0,2.5
2022/7/21 9:00,木曜日,33,4,Ｍ,2.1,36.6,60,1.4,3.6,0,2.6
2022/7/21 10:00,木曜日,31,4,Ｍ,-13.4,32.2,18,0.2,0.3,0,1.5
2022/7/21 11:00,木曜日,33,4,Ｍ,-5.1,36.1,35,0.7,1.4,0,2.0
2022/7/21 12:00,木曜日,32,5,Ｍ,-3.3,34.2,42,0.8,2,0,2.5
2022/7/21 13:00,木曜日,33,4,Ｍ,-2.4,37.2,35,0.7,1.7,0,2.4
2022/7/21 14:00,木曜日,26,5,Ｍ,-2.6,31.4,49,0.9,2.4,0,2.7
2022/7/21 15:00,木曜日,33,4,Ｍ,-3.2,36.5,46,1,2.2,0,2.2
2022/7/21 16:00,木曜日,32,5,Ｍ,2.7,37.7,60,1.4,3.7,0,2.6
2022/7/21 17:00,木曜日,32,5,Ｍ,2.6,37.2,60,1.3,3.7,0,2.8
2022/7/22 8:00,金曜日,31,5,Ｍ,2,37.5,56,1.3,3.5,0,2.7
2022/7/22 10:00,金曜日,32,5,Ｍ,-2.3,35.7,47,1,2.4,0,2.4
2022/7/22 12:00,金曜日,33,4,Ｍ,-2.7,36,46,1,2.2,0,2.2
2022/7/22 14:00,金曜日,34,4,Ｍ,-0.1,36.8,48,1.1,2.6,0,2.4
2022/7/22 16:00,金曜日,33,4,Ｍ,-1.2,37.3,48,1.1,2.4,0,2.2
2022/7/25 8:00,月曜日,34,4,Ｍ,1.5,37.1,56,1.3,3.3,0,2.5
2022/7/25 10:00,月曜日,35,4,Ｍ,1.4,38,56,1.4,3.1,0,2.2
