列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 10:00,金曜日,38,2,Ｍ,10.1,42.6,11,0.7,1.8,0,2.6
2022/7/1 11:00,金曜日,39,2,Ｍ,4.1,46.7,60,7.2,17.8,0,2.5
2022/7/1 12:00,金曜日,40,2,Ｍ,4.2,47.7,60,6.9,16.4,0,2.4
2022/7/1 13:00,金曜日,40,2,Ｍ,1.9,41.5,60,3.4,4,0,1.2
2022/7/1 14:00,金曜日,38,2,Ｍ,3,40,60,2.4,2.5,0,1.0
2022/7/1 15:00,金曜日,37,2,Ｍ,1.6,39.7,60,2.4,2.2,0,0.9
2022/7/1 16:00,金曜日,36,2,Ｍ,1.6,38.6,60,2.3,2.3,0,1.0
2022/7/1 17:00,金曜日,34,2,Ｍ,-0.3,36.6,60,2.2,2,0,0.9
2022/7/1 18:00,金曜日,32,2,Ｍ,-1.8,34.7,60,2.2,1.9,0,0.9
2022/7/1 19:00,金曜日,30,2,Ｍ,-0.4,36.5,60,3.4,6.7,0,2.0
2022/7/1 20:00,金曜日,29,2,Ｍ,3.9,36.2,60,3,7.5,0,2.5
2022/7/1 21:00,金曜日,29,2,Ｍ,-0.1,37.2,60,1.4,2.3,0,1.6
2022/7/2 8:00,土曜日,34,4,Ｍ,3.5,38,16,0.6,1.4,0,2.3
2022/7/2 9:00,土曜日,35,4,Ｍ,7.3,38.8,60,3,8.5,0,2.8
2022/7/2 11:00,土曜日,37,4,Ｍ,4.5,40.8,52,3.1,6.7,0,2.2
2022/7/2 12:00,土曜日,37,4,Ｍ,1.4,38.2,60,2.3,2.2,0,1.0
2022/7/2 13:00,土曜日,37,4,Ｍ,5.7,41.1,60,3.3,7.5,0,2.3
2022/7/2 14:00,土曜日,37,4,Ｍ,6.8,41.6,60,3.8,9.4,0,2.5
2022/7/2 15:00,土曜日,35,4,Ｍ,7.4,39.5,60,3.3,9.2,0,2.8
2022/7/2 16:00,土曜日,35,4,Ｍ,7.4,39.3,60,3.2,9,0,2.8
2022/7/2 17:00,土曜日,33,4,Ｍ,6.7,37.6,60,3.3,9,0,2.7
2022/7/2 18:00,土曜日,31,5,Ｍ,3.8,36.6,60,2.2,5.3,0,2.4
2022/7/2 19:00,土曜日,31,5,Ｍ,1.1,38.7,60,1.5,2.4,0,1.6
2022/7/2 20:00,土曜日,30,5,Ｍ,0.2,35.5,60,1.4,2.3,0,1.6
2022/7/3 8:00,日曜日,32,5,Ｍ,6.4,40.4,46,4.5,11.9,0,2.6
2022/7/3 9:00,日曜日,32,5,Ｍ,7.2,38,60,3.2,9.7,0,3.0
2022/7/3 10:00,日曜日,34,4,Ｍ,0.4,38,60,1.5,2.2,0,1.5
2022/7/3 11:00,日曜日,35,4,Ｍ,3.3,40.3,60,2.3,4.7,0,2.0
2022/7/3 12:00,日曜日,34,4,Ｍ,5.8,41.5,60,4.7,10.3,0,2.2
2022/7/3 13:00,日曜日,33,4,Ｍ,7.4,38.4,60,2.7,6.7,0,2.5
2022/7/3 14:00,日曜日,33,4,Ｍ,7.4,36.8,60,2.4,5.3,0,2.2
2022/7/3 15:00,日曜日,31,5,Ｍ,7.6,36.3,60,2.8,6.4,0,2.3
2022/7/3 16:00,日曜日,31,5,Ｍ,8.2,36.6,60,2,6,0,3.0
2022/7/3 17:00,日曜日,30,5,Ｍ,7.3,35.2,30,0.8,2.1,0,2.6
2022/7/4 9:00,月曜日,25,6,Ｍ,8.2,33.2,16,0.4,1.2,0,3.0
2022/7/4 11:00,月曜日,28,5,Ｍ,-0.5,37.5,55,1.4,2.4,0,1.7
2022/7/4 12:00,月曜日,28,5,Ｍ,1.2,37.4,60,1.8,3.7,0,2.1
