列1,曜日,外気温度,Ｔｅ設定,Ｔｃ設定,Ｔｅ平均値,Ｔｃ平均値,室外機運転時間,消費電力量,積算冷房能力,積算暖房能力,COP
2022/7/1 6:00,金曜日,31,2,Ｍ,8.9,37.8,14,0.9,2.9,0,3.2
2022/7/1 7:00,金曜日,31,2,Ｍ,4.9,35.6,57,2.6,7.4,0,2.8
2022/7/1 8:00,金曜日,34,2,Ｍ,2.9,38.2,55,3.4,9.1,0,2.7
2022/7/1 9:00,金曜日,35,2,Ｍ,4.8,40.2,50,3.2,9.4,0,2.9
2022/7/1 10:00,金曜日,37,2,Ｍ,5.6,40.9,60,3.7,10.1,0,2.7
2022/7/1 11:00,金曜日,38,2,Ｍ,3.3,43.6,47,3.9,8.8,0,2.3
2022/7/1 12:00,金曜日,38,2,Ｍ,5.4,43.9,60,4.2,10.6,0,2.5
2022/7/1 13:00,金曜日,39,2,Ｍ,3.2,45.3,46,4.2,9.7,0,2.3
2022/7/1 14:00,金曜日,37,2,Ｍ,5.3,42.9,60,4.1,10.4,0,2.5
2022/7/1 15:00,金曜日,36,2,Ｍ,4,44,50,4.4,10.4,0,2.4
2022/7/1 16:00,金曜日,35,2,Ｍ,5.1,41.1,57,3.5,9.4,0,2.7
2022/7/1 17:00,金曜日,32,2,Ｍ,5.1,39.5,50,3.1,8.7,0,2.8
2022/7/1 18:00,金曜日,31,2,Ｍ,3.2,37.1,52,3,8.3,0,2.8
2022/7/1 19:00,金曜日,30,2,Ｍ,5.1,35.6,60,3,9,0,3.0
2022/7/2 9:00,土曜日,34,5,Ｍ,11,39.7,46,2.7,10.6,0,3.9
2022/7/2 10:00,土曜日,36,4,Ｍ,6,43.9,60,5.8,17.7,0,3.1
2022/7/2 11:00,土曜日,37,4,Ｍ,5.6,44.8,60,5.8,16.5,0,2.8
2022/7/2 12:00,土曜日,37,4,Ｍ,5.9,44.5,60,5.6,16.1,0,2.9
2022/7/2 13:00,土曜日,37,4,Ｍ,5.9,45.3,60,6,17.3,0,2.9
2022/7/2 14:00,土曜日,37,4,Ｍ,6.1,44.4,60,5.5,16.6,0,3.0
2022/7/2 15:00,土曜日,35,4,Ｍ,5.7,42.7,60,5.3,16.2,0,3.1
2022/7/2 16:00,土曜日,35,4,Ｍ,5.6,42,60,5.2,16.5,0,3.2
2022/7/2 17:00,土曜日,33,4,Ｍ,6.8,40,60,4.3,15.5,0,3.6
2022/7/3 9:00,日曜日,31,5,Ｍ,11,38.7,14,0.7,2.7,0,3.9
2022/7/4 7:00,月曜日,26,5,Ｍ,7.1,36.3,39,3.1,11,0,3.5
2022/7/4 8:00,月曜日,26,5,Ｍ,7.3,33.3,60,3.6,15.5,0,4.3
2022/7/4 9:00,月曜日,25,6,Ｍ,7.6,32.9,60,3.7,14.7,0,4.0
2022/7/4 10:00,月曜日,26,5,Ｍ,8.5,32.4,60,2,8.2,0,4.1
2022/7/4 11:00,月曜日,28,4,Ｍ,7.3,34.7,60,2.3,9.4,0,4.1
2022/7/4 12:00,月曜日,27,4,Ｍ,4.2,35.5,46,2.4,7.6,0,3.2
2022/7/4 13:00,月曜日,29,4,Ｍ,7.4,35,60,2.5,9.3,0,3.7
2022/7/4 14:00,月曜日,29,3,Ｍ,6.5,34.2,60,2.5,7.6,0,3.0
2022/7/4 15:00,月曜日,30,4,Ｍ,5.6,36.7,47,3,8.6,0,2.9
2022/7/4 16:00,月曜日,30,4,Ｍ,6.7,35.2,54,2.4,7.8,0,3.3
2022/7/4 17:00,月曜日,29,4,Ｍ,7.3,34.8,60,2.9,9.8,0,3.4
2022/7/4 18:00,月曜日,28,4,Ｍ,5.4,36,49,2.1,7.2,0,3.4
2022/7/4 19:00,月曜日,28,4,Ｍ,7.1,34.8,60,2.2,8.9,0,4.0
2022/7/5 6:00,火曜日,28,5,Ｍ,9.7,36.5,20,1.1,4.8,0,4.4
2022/7/5 7:00,火曜日,28,6,Ｍ,8.1,37.6,60,3.9,15.4,0,3.9
2022/7/5 8:00,火曜日,30,6,Ｍ,8.7,34.3,60,2.5,9.3,0,3.7
2022/7/5 9:00,火曜日,31,6,Ｍ,9.5,35.5,60,2.2,7.8,0,3.5
2022/7/5 10:00,火曜日,31,6,Ｍ,8.9,35.8,60,2.8,9.4,0,3.4
2022/7/5 11:00,火曜日,32,6,Ｍ,7.2,36,60,2.7,7.3,0,2.7
2022/7/5 12:00,火曜日,30,6,Ｍ,7.7,33.7,60,2,5.1,0,2.6
2022/7/5 13:00,火曜日,29,6,Ｍ,9.3,32,60,2,6.6,0,3.3
2022/7/5 14:00,火曜日,28,6,Ｍ,9.4,32.6,60,2.4,8.8,0,3.7
2022/7/5 15:00,火曜日,27,6,Ｍ,8.4,33.2,60,3.3,11.4,0,3.5
2022/7/5 16:00,火曜日,26,6,Ｍ,9.3,31.6,60,1.9,7.7,0,4.1
2022/7/5 17:00,火曜日,25,6,Ｍ,9.5,31.5,60,1.9,8.7,0,4.6
2022/7/5 18:00,火曜日,25,6,Ｍ,5.2,31.9,48,1.2,4.6,0,3.8
2022/7/5 19:00,火曜日,25,6,Ｍ,9.4,33.1,60,1.5,7.2,0,4.8
2022/7/6 6:00,水曜日,26,6,Ｍ,10.8,35,20,0.9,4.7,0,5.2
2022/7/6 7:00,水曜日,28,6,Ｍ,8.2,37.9,60,3.9,16.2,0,4.2
2022/7/6 8:00,水曜日,27,6,Ｍ,7.1,32.6,40,1.5,6.6,0,4.4
2022/7/6 9:00,水曜日,29,6,Ｍ,9.5,34.7,60,2,8.5,0,4.3
2022/7/6 10:00,水曜日,31,6,Ｍ,9.3,34.8,60,2.1,8.1,0,3.9
2022/7/6 11:00,水曜日,32,6,Ｍ,5.9,37.1,43,2.6,7.8,0,3.0
2022/7/6 12:00,水曜日,32,6,Ｍ,9.7,35.7,60,2.5,7.9,0,3.2
2022/7/6 13:00,水曜日,29,5,Ｍ,8.5,33.8,60,2.5,8.1,0,3.2
2022/7/6 14:00,水曜日,28,5,Ｍ,6.7,34.3,45,2.6,7.7,0,3.0
2022/7/6 15:00,水曜日,30,6,Ｍ,7.5,37,59,1.9,7.7,0,4.1
2022/7/6 16:00,水曜日,30,6,Ｍ,9,36.4,60,2.1,8.6,0,4.1
2022/7/6 17:00,水曜日,27,6,Ｍ,9.4,34.1,60,1.8,7.8,0,4.3
2022/7/6 18:00,水曜日,28,6,Ｍ,5.6,35.8,47,1.9,6.9,0,3.6
2022/7/6 19:00,水曜日,25,6,Ｍ,9.1,34.5,60,1.6,7.4,0,4.6
2022/7/7 6:00,木曜日,26,6,Ｍ,10.3,35.5,20,1,4.7,0,4.7
2022/7/7 7:00,木曜日,27,6,Ｍ,8,37,60,3.8,15.3,0,4.0
2022/7/7 8:00,木曜日,27,6,Ｍ,8.9,32.5,60,2.3,10.8,0,4.7
2022/7/7 9:00,木曜日,27,6,Ｍ,7.2,34.2,51,1.5,6.5,0,4.3
2022/7/7 10:00,木曜日,26,6,Ｍ,7.4,34.7,59,2.6,9.3,0,3.6
2022/7/7 11:00,木曜日,29,6,Ｍ,7.4,34.9,43,1.5,6,0,4.0
2022/7/7 12:00,木曜日,29,5,Ｍ,8.2,35.9,60,2.3,9.5,0,4.1
2022/7/7 13:00,木曜日,31,5,Ｍ,8.2,35.2,60,2,7.3,0,3.7
2022/7/7 14:00,木曜日,30,5,Ｍ,5,36.8,40,2.3,6.7,0,2.9
2022/7/7 15:00,木曜日,30,5,Ｍ,8.5,35,60,2.2,7.8,0,3.5
2022/7/7 16:00,木曜日,29,5,Ｍ,8.4,34.2,60,2.1,7.6,0,3.6
2022/7/7 17:00,木曜日,28,6,Ｍ,8.4,34,60,2.5,9.4,0,3.8
2022/7/7 18:00,木曜日,26,6,Ｍ,8,35.1,31,1.2,5.8,0,4.8
2022/7/7 19:00,木曜日,25,6,Ｍ,9.2,32.6,60,1.9,9.1,0,4.8
2022/7/8 6:00,金曜日,26,6,Ｍ,10.9,33.9,10,0.4,2.1,0,5.3
2022/7/8 7:00,金曜日,28,6,Ｍ,8,35.8,60,3.9,14.9,0,3.8
2022/7/8 8:00,金曜日,28,6,Ｍ,9.1,33,60,2.4,11,0,4.6
2022/7/8 9:00,金曜日,28,6,Ｍ,7.3,33.9,46,1.4,5.6,0,4.0
2022/7/8 10:00,金曜日,28,6,Ｍ,7.8,34.6,53,2.4,7.8,0,3.3
2022/7/8 11:00,金曜日,29,5,Ｍ,7.6,34.9,46,1.8,7.4,0,4.1
2022/7/8 12:00,金曜日,29,5,Ｍ,8.4,34.8,60,2.4,9.3,0,3.9
2022/7/8 13:00,金曜日,31,5,Ｍ,7.6,35.5,60,2.8,9.6,0,3.4
2022/7/8 14:00,金曜日,32,5,Ｍ,7.1,35.6,60,2.4,7.3,0,3.0
2022/7/8 15:00,金曜日,31,5,Ｍ,7.9,35.6,60,2.2,7,0,3.2
2022/7/8 16:00,金曜日,29,5,Ｍ,7,35.3,54,2,7.3,0,3.7
2022/7/8 17:00,金曜日,28,6,Ｍ,7.7,33.5,60,2.5,7.9,0,3.2
2022/7/8 18:00,金曜日,26,6,Ｍ,8.1,35.3,49,1.4,5.5,0,3.9
2022/7/8 19:00,金曜日,26,6,Ｍ,8.6,34.4,29,0.7,3.2,0,4.6
2022/7/9 9:00,土曜日,30,6,Ｍ,9.9,36.9,41,2,9.1,0,4.6
2022/7/9 10:00,土曜日,31,6,Ｍ,8,36.2,60,3.5,11.5,0,3.3
2022/7/9 11:00,土曜日,31,5,Ｍ,8.3,34.3,60,2.4,7.5,0,3.1
2022/7/9 12:00,土曜日,31,5,Ｍ,8,34.5,60,2.4,7.5,0,3.1
2022/7/9 13:00,土曜日,32,5,Ｍ,8.6,35.4,60,2.4,7.1,0,3.0
2022/7/9 14:00,土曜日,32,5,Ｍ,7.5,35.9,60,3,8.1,0,2.7
2022/7/9 15:00,土曜日,31,5,Ｍ,8.5,34.5,60,2.3,6.9,0,3.0
