,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
5,10.93,10.45
8,5.56,7.29
9,8.92,8.91
10,44.79,53.03
11,7.64,2.89
15,0.96,0.25
16,0.04,3.93
18,6.08,3.72
22,1.5,6.75
26,4.67,2.7
28,2.42,2.32
29,5.45,6.93
31,226.27,218.29
33,2.23,0.78
37,1.55,3.32
52,375.92,407.28
56,3.24,2.58
62,3.12,4.48
64,3.23,2.9
69,1.64,2.54
71,10.59,1.71
72,19.97,24.9
73,181.09,191.56
75,8.95,5.44
76,11.85,12.78
78,7.16,6.23
79,27.86,30.14
93,4.57,4.67
96,11.54,9.61
97,1.86,0.26
105,3.84,3.0
106,8.26,2.76
109,7.26,13.87
116,17.22,18.38
119,9.01,4.9
123,26.14,29.84
125,2.91,4.49
126,5.01,2.44
128,13.79,11.37
131,1.93,1.4
136,7.4,11.2
138,23.69,26.9
148,17.62,11.63
152,7.59,2.72
156,1.33,2.94
158,125.38,40.57
160,0.59,8.33
163,2.08,2.22
165,264.63,236.41
166,2924.97,2785.47
169,2.91,3.25
170,1.81,2.71
171,2.91,2.49
180,9.68,16.42
183,3.96,8.47
184,0.65,0.41
