,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
293,inf,inf,inf,inf
294,inf,inf,inf,inf
295,32.2,25.75,22.54,26.21
296,71.82,83.03,67.39,45.03
298,10.38,6.17,3.06,0.55
299,7.05,5.85,11.83,8.23
300,6.76,8.59,13.18,6.12
302,5.43,10.82,3.34,3.47
305,6.95,9.57,2.84,0.13
307,inf,inf,inf,inf
309,inf,inf,inf,inf
311,inf,inf,inf,inf
312,88.95,90.43,5.17,7.16
313,inf,inf,inf,inf
314,inf,inf,inf,inf
315,inf,inf,inf,inf
316,inf,inf,inf,inf
317,inf,inf,inf,inf
318,inf,inf,inf,inf
319,25.65,18.9,10.01,1.78
320,7.74,3.16,14.59,4.6
321,0.2,0.55,7.95,3.72
322,21.13,15.08,13.33,8.2
323,5.01,6.78,10.36,9.78
324,19.29,10.19,8.2,6.61
325,2.76,1.8,3.28,4.07
326,5.75,4.25,8.44,11.47
328,4.04,7.0,5.04,2.36
329,4.6,4.02,8.57,2.42
330,58.55,69.13,33.2,35.8
331,inf,inf,inf,inf
332,inf,inf,inf,inf
333,inf,inf,inf,inf
335,inf,inf,inf,inf
336,inf,inf,inf,inf
338,inf,inf,inf,inf
340,inf,inf,inf,inf
341,inf,inf,inf,inf
342,inf,inf,inf,inf
343,inf,inf,inf,inf
344,56.3,55.1,33.44,28.01
345,16.16,5.05,43.2,43.94
346,11.91,14.18,5.36,0.73
348,1.76,1.85,1.09,1.12
349,6.25,0.07,1.68,4.14
350,8.92,11.44,9.17,10.29
353,18.16,18.9,18.78,10.57
354,inf,inf,inf,inf
355,inf,inf,inf,inf
356,inf,inf,inf,inf
357,inf,inf,inf,inf
358,inf,inf,inf,inf
360,inf,inf,inf,inf
362,inf,inf,inf,inf
367,inf,inf,inf,inf
369,13.87,10.34,15.44,13.88
370,5.98,7.53,5.66,6.14
371,0.32,0.63,3.3,4.24
373,18.63,15.91,11.74,9.85
374,18.35,17.52,7.68,5.35
376,15.61,6.23,6.29,5.94
377,11.04,9.67,12.02,6.87
378,68.73,66.24,50.84,58.76
380,inf,inf,inf,inf
382,inf,inf,inf,inf
383,inf,inf,inf,inf
384,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
387,inf,inf,inf,inf
388,93.48,87.72,8.09,0.13
389,inf,inf,inf,inf
390,inf,inf,inf,inf
391,inf,inf,inf,inf
392,inf,inf,inf,inf
393,28.61,19.72,5.76,7.85
394,17.02,19.05,0.43,5.38
395,64.15,51.18,102.84,80.26
396,27.18,39.46,72.34,52.95
397,9.94,15.12,4.0,0.67
398,44.74,47.47,84.02,65.44
400,1.74,1.93,1.43,0.97
401,inf,inf,inf,inf
402,78.48,72.46,17.5,5.2
403,inf,inf,inf,inf
404,inf,inf,inf,inf
405,inf,inf,inf,inf
406,inf,inf,inf,inf
408,inf,inf,inf,inf
411,inf,inf,inf,inf
412,inf,inf,inf,inf
414,inf,inf,inf,inf
415,inf,inf,inf,inf
417,inf,inf,inf,inf
420,inf,inf,inf,inf
421,inf,inf,inf,inf
422,inf,inf,inf,inf
423,35.59,15.89,20.19,11.61
424,inf,inf,inf,inf
426,inf,inf,inf,inf
427,inf,inf,inf,inf
428,inf,inf,inf,inf
430,inf,inf,inf,inf
431,inf,inf,inf,inf
432,inf,inf,inf,inf
435,inf,inf,inf,inf
436,inf,inf,inf,inf
438,inf,inf,inf,inf
440,inf,inf,inf,inf
442,5.95,8.44,3.27,5.62
443,9.16,9.86,4.94,6.79
444,14.58,13.37,11.74,8.69
445,11.07,8.4,5.73,6.84
446,9.03,10.16,6.33,6.99
447,12.36,11.65,8.31,7.78
448,9.7,12.42,10.96,8.05
449,1.23,7.64,5.63,5.57
450,inf,inf,inf,inf
451,inf,inf,inf,inf
452,inf,inf,inf,inf
453,inf,inf,inf,inf
454,84.54,75.41,9.11,7.28
457,inf,inf,inf,inf
459,inf,inf,inf,inf
460,inf,inf,inf,inf
461,inf,inf,inf,inf
463,8.66,4.34,7.98,1.65
465,6.9,13.46,2.84,4.36
466,11.43,8.61,8.87,7.6
467,5.0,8.3,0.16,0.53
470,7.62,2.03,1.44,4.53
471,6.49,4.98,2.15,4.52
473,21.32,10.94,18.72,16.74
474,inf,inf,inf,inf
478,79.21,64.39,1.53,5.18
479,inf,inf,inf,inf
481,inf,inf,inf,inf
482,inf,inf,inf,inf
484,inf,inf,inf,inf
485,inf,inf,inf,inf
486,inf,inf,inf,inf
487,30.21,22.04,4.81,3.65
488,12.37,4.46,9.41,3.04
491,2.05,4.81,3.22,3.65
492,1.26,0.6,2.42,0.82
493,0.9,1.55,2.31,0.93
494,4.68,6.34,5.49,2.05
495,8.22,11.04,7.41,7.85
496,30.32,29.37,26.27,24.49
497,11.17,8.86,4.46,4.02
498,inf,inf,inf,inf
499,inf,inf,inf,inf
500,inf,inf,inf,inf
502,inf,inf,inf,inf
504,inf,inf,inf,inf
505,inf,inf,inf,inf
506,inf,inf,inf,inf
507,inf,inf,inf,inf
508,inf,inf,inf,inf
511,20.71,4.82,13.21,9.53
513,5.05,9.17,1.14,3.48
514,3.82,1.94,1.16,0.78
515,1.34,2.56,1.15,3.15
516,5.02,0.93,1.06,0.79
518,3.4,0.4,2.04,1.7
520,3.28,0.52,2.46,1.24
521,2.17,0.84,0.16,3.81
522,inf,inf,inf,inf
524,inf,inf,inf,inf
526,inf,inf,inf,inf
529,inf,inf,inf,inf
530,inf,inf,inf,inf
532,inf,inf,inf,inf
533,inf,inf,inf,inf
534,inf,inf,inf,inf
535,26.79,4.33,8.56,10.06
536,23.89,18.8,8.12,18.94
539,16.15,18.08,10.69,13.97
540,6.41,3.09,6.26,7.72
542,8.69,7.97,0.65,2.12
544,13.72,13.75,10.16,8.72
545,10.26,9.81,6.97,6.7
546,inf,inf,inf,inf
547,72.62,63.71,63.26,63.7
548,inf,inf,inf,inf
549,inf,inf,inf,inf
551,inf,inf,inf,inf
552,inf,inf,inf,inf
553,inf,inf,inf,inf
555,inf,inf,inf,inf
557,inf,inf,inf,inf
559,inf,inf,inf,inf
561,14.61,6.11,2.33,2.55
563,0.47,0.6,2.25,2.82
564,69.67,65.79,64.44,50.3
565,12.11,6.62,8.39,8.67
566,5.82,11.02,4.65,6.57
567,63.88,57.92,64.21,56.55
568,3.4,6.98,5.1,3.7
569,inf,inf,inf,inf
570,inf,inf,inf,inf
572,88.62,82.74,2.41,6.38
573,inf,inf,inf,inf
574,inf,inf,inf,inf
