,ÉfÅ[É^
0,233
1,223
2,60
3,217
4,3
5,40
6,238
7,216
8,37
9,39
10,23
11,214
12,18
13,44
14,31
15,206
16,229
17,19
18,11
19,59
20,12
21,29
22,58
23,43
24,20
25,51
26,219
27,185
28,203
29,227
30,6
31,14
32,24
33,188
34,190
35,186
36,200
