,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1032,49.46,5.6
1041,19.75,10.89
1043,44.51,0.02
1046,42.88,0.02
1047,27.73,0.06
1048,22.98,0.19
1052,32.13,0.14
1056,30.44,0.14
1059,27.23,3.33
1060,32.74,0.14
1062,18.46,0.18
1064,21.36,0.14
1070,4.42,0.1
1078,58.84,0.35
1079,37.53,0.14
1082,41.13,0.1
1083,14.2,0.25
1088,10.98,3.24
1090,19.68,0.1
1091,11.01,0.14
1097,28.11,3.11
1098,24.42,0.91
1105,19.37,0.21
1109,25.99,0.14
1112,28.14,0.11
1114,29.22,0.22
1117,16.04,0.22
1119,44.23,1.56
1122,18.27,0.2
1127,52.43,0.41
1128,42.02,0.78
1131,37.26,0.69
1133,32.87,1.15
1136,31.39,9.58
1145,20.63,24.04
1149,18.39,0.26
1151,34.4,0.2
1152,24.64,4.02
1157,52.55,3.77
1162,40.06,0.02
1163,35.54,0.22
1164,37.94,2.16
1165,56.75,4.92
1168,34.17,0.18
1169,35.68,1.42
1170,18.33,0.3
1173,13.48,0.14
1174,33.09,0.07
1177,11.81,0.19
1178,27.02,0.94
1181,101.09,30.58
1192,25.09,2.41
1196,61.91,38.33
1199,49.58,8.31
1200,62.47,29.1
1203,77.99,56.27
1204,29.98,7.32
1206,55.44,10.39
1211,29.46,7.44
1212,17.34,8.77
1213,15.81,2.12
1224,23.45,0.18
1226,17.09,4.41
1228,22.19,0.1
1231,10.13,6.89
1232,58.51,35.67
1237,18.26,0.65
1240,17.67,3.45
1244,38.33,8.37
1249,12.95,2.45
1269,23.74,0.19
1272,46.01,4.82
1279,39.67,19.97
1285,33.13,2.01
1295,3.44,0.2
1305,46.51,3.16
1312,43.1,3.58
1314,15.6,0.18
1323,18.96,0.14
1325,30.22,0.23
1327,18.11,0.15
1330,36.11,0.23
1332,33.97,1.49
1333,32.57,1.78
1342,25.96,3.73
1344,19.19,1.18
1346,14.53,1.32
1349,29.43,1.22
1358,32.61,2.35
1362,36.49,0.76
1364,23.55,1.72
1365,35.48,0.21
1370,26.42,0.98
1372,27.09,0.88
1374,35.74,0.31
1380,43.47,11.54
1386,54.25,0.06
1389,36.71,0.41
1390,34.35,0.15
1391,34.22,0.65
1392,48.11,0.03
1396,24.35,0.35
1397,27.8,0.2
1401,32.75,0.15
1402,27.35,0.15
1405,45.74,0.05
1409,37.9,0.06
1410,29.72,10.65
1412,11.26,1.61
1414,28.53,1.89
1415,30.2,0.08
1417,25.72,0.23
1420,36.53,0.42
1421,38.58,0.14
1425,32.92,0.14
1427,27.02,0.48
1429,16.65,0.51
1431,38.29,0.12
1432,30.82,0.31
1441,54.28,0.14
1449,33.35,1.58
1454,28.45,2.66
1456,36.13,2.85
1457,32.39,0.19
1460,36.43,0.14
