,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
296,1.25,1.0,1.0
297,1.62,2.0,1.99
298,1.35,1.0,1.0
302,1.45,2.0,2.0
303,1.49,1.0,1.0
304,1.54,2.0,2.0
305,1.21,1.0,1.0
308,1.44,2.0,2.02
309,1.47,1.0,1.02
310,1.4,1.0,1.01
312,1.28,1.0,0.98
313,1.56,2.0,2.0
314,1.3,1.0,1.0
315,1.55,2.0,2.0
318,1.29,1.0,0.99
319,1.22,1.0,0.98
320,1.48,2.0,2.0
321,1.31,1.0,1.0
322,1.55,2.0,2.01
323,1.2,1.0,1.0
324,1.46,2.0,1.99
325,1.19,1.0,1.01
327,1.42,1.0,1.02
328,1.28,1.0,1.02
329,1.58,2.0,2.0
331,1.58,2.0,2.05
332,1.28,1.0,1.0
333,1.52,2.0,2.0
335,1.24,1.0,1.0
336,1.51,2.0,2.02
337,1.3,1.0,1.0
338,1.43,2.0,2.02
339,1.32,1.0,1.0
340,1.18,1.0,0.99
341,1.37,2.0,2.01
342,1.34,1.0,1.0
344,1.28,1.0,1.0
345,1.49,2.0,2.02
346,1.07,1.0,1.0
348,1.6,2.0,2.01
349,1.16,1.0,1.0
351,1.62,2.0,2.01
353,1.56,2.0,2.0
354,1.29,1.0,1.0
355,1.29,1.0,1.0
356,1.6,2.0,2.0
357,1.29,1.0,1.0
358,1.46,2.0,2.01
359,1.16,1.0,1.0
360,1.1,1.0,1.0
361,1.45,2.0,1.96
362,1.27,1.0,0.99
363,1.39,2.0,2.01
365,1.5,2.0,2.03
372,1.2,1.0,0.99
376,1.24,1.0,1.0
377,1.57,1.0,1.01
378,1.19,1.0,1.23
379,1.14,1.0,1.0
381,1.16,1.0,1.0
382,1.36,1.0,1.0
383,1.12,1.0,0.95
384,1.28,1.0,1.0
385,1.14,1.0,1.0
387,1.19,1.0,1.0
388,1.15,1.0,1.0
389,1.16,1.0,0.77
391,1.44,2.0,1.99
392,1.21,1.0,1.0
393,1.22,1.0,1.1
398,1.32,2.0,1.94
399,1.18,1.0,1.0
400,1.15,1.0,1.0
401,1.11,1.0,1.17
402,1.06,1.0,1.11
403,1.06,1.0,1.0
407,1.19,1.0,1.0
409,1.23,1.0,1.0
410,1.08,1.0,1.0
411,1.23,1.0,0.88
412,1.13,1.0,1.0
413,1.33,2.0,2.01
415,1.15,1.0,1.0
416,1.09,1.0,1.0
417,1.14,1.0,1.0
421,1.15,1.0,1.0
423,1.26,1.0,0.96
424,1.12,1.0,1.0
426,1.12,1.0,1.0
427,1.28,2.0,2.02
428,1.18,1.0,0.98
429,1.18,1.0,1.0
433,1.08,1.0,1.0
434,1.37,2.0,2.22
435,1.49,1.0,1.2
436,1.06,1.0,0.99
437,1.09,1.0,1.0
438,1.2,1.0,1.01
440,1.15,1.0,1.05
442,1.17,1.0,0.93
443,1.23,2.0,1.97
447,1.16,1.0,1.0
448,1.15,1.0,1.0
449,1.13,1.0,1.0
450,1.27,2.0,2.0
451,1.03,1.0,1.01
453,1.11,1.0,1.0
454,1.1,1.0,1.03
455,1.11,1.0,0.97
456,1.22,1.0,1.0
457,1.65,1.0,1.51
458,1.22,2.0,2.01
460,1.14,1.0,0.98
461,1.18,1.0,0.99
463,1.15,1.0,0.98
467,1.13,1.0,1.05
468,1.14,1.0,1.0
469,1.12,1.0,1.0
470,1.13,1.0,1.0
474,1.1,1.0,1.0
476,1.16,1.0,1.0
477,1.05,1.0,0.95
479,1.04,1.0,0.99
481,1.14,1.0,0.98
482,1.13,2.0,2.14
484,1.08,1.0,1.0
485,1.09,1.0,1.0
486,1.02,1.0,0.98
487,1.07,1.0,0.98
488,1.08,1.0,1.05
489,1.17,1.0,1.05
490,1.2,1.0,0.91
492,1.17,1.0,0.91
493,1.16,1.0,1.02
496,1.01,1.0,1.0
499,1.09,1.0,1.04
500,1.08,1.0,1.0
501,1.04,1.0,1.03
502,1.02,1.0,1.01
507,1.01,1.0,0.99
508,1.07,1.0,0.92
509,1.07,1.0,0.98
511,1.23,1.0,0.96
512,1.06,1.0,0.97
513,1.0,1.0,1.02
514,1.01,1.0,0.99
515,0.95,1.0,0.99
516,1.02,1.0,0.96
517,1.03,1.0,1.04
519,1.14,1.0,1.04
520,1.09,1.0,1.03
521,1.05,1.0,1.01
522,1.2,1.0,0.94
523,1.09,1.0,1.0
524,1.09,1.0,0.94
525,1.28,2.0,2.11
528,1.2,1.0,0.88
529,1.05,1.0,1.01
530,1.08,1.0,1.0
531,1.08,1.0,1.0
533,1.12,1.0,1.0
534,1.08,1.0,0.99
535,1.02,1.0,0.98
536,1.06,1.0,0.98
537,1.06,1.0,0.98
538,1.12,1.0,1.0
539,1.2,2.0,1.99
541,1.13,1.0,1.0
543,1.09,1.0,1.0
544,1.16,1.0,1.0
545,1.06,1.0,1.0
550,1.15,1.0,0.99
554,1.16,1.0,1.0
555,1.29,1.0,1.0
556,1.42,2.0,2.0
559,1.04,1.0,1.0
560,1.15,1.0,1.0
562,1.12,1.0,1.0
563,1.03,1.0,1.0
564,1.59,2.0,2.0
567,1.22,1.0,1.0
571,1.05,1.0,1.0
572,1.24,1.0,1.0
574,1.04,1.0,1.0
577,1.37,2.0,2.01
578,1.2,1.0,1.0
579,1.25,1.0,1.0
580,1.12,1.0,1.0
582,1.14,1.0,1.0
584,1.49,2.0,1.98
585,1.2,1.0,1.0
587,1.08,1.0,1.0
590,1.47,2.0,2.0
591,1.26,1.0,1.0
592,1.15,1.0,1.0
593,1.32,1.0,1.0
596,1.42,2.0,2.01
597,1.1,1.0,1.0
