,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,5.43,5.43
1,3.14,3.14
2,1.0,1.0
3,9.37,9.37
4,30.59,30.59
5,1728.33,1728.33
7,0.7,0.7
9,6.09,6.09
12,1520.56,1520.56
13,3.56,3.56
15,3.29,3.29
17,3.03,3.03
18,41.08,41.08
19,1885.39,1885.39
22,1.83,1.83
23,2.29,2.29
27,5.02,5.02
28,3.55,3.55
30,12.08,12.08
33,1918.07,1918.07
36,3.37,3.37
37,10.07,10.07
39,34.43,34.43
40,1882.1,1882.1
41,4.27,4.27
44,6.59,6.59
45,3.15,3.15
46,36.33,36.33
47,3473.32,3473.32
48,5.57,5.57
49,3.43,3.43
51,10.26,10.26
52,10.22,10.22
53,37.41,37.41
55,11.22,11.22
56,3.32,3.32
57,3.43,3.43
59,4.99,4.99
60,37.97,37.97
61,0.66,0.66
62,8.5,8.5
63,3.17,3.17
64,6.78,6.78
65,2.65,2.65
67,1631.01,1631.01
69,1.57,1.57
71,2.22,2.22
79,1.53,1.53
80,57.1,57.1
81,1728.33,1728.33
82,5.48,5.48
83,6.39,6.39
84,0.15,0.15
87,32.22,32.22
88,1868.38,1868.38
90,4.57,4.57
92,1.14,1.14
93,2.67,2.67
94,55.55,55.55
95,1414.63,1414.63
96,3.39,3.39
97,6.38,6.38
100,4.21,4.21
102,996.14,996.14
103,1.67,1.67
104,9.95,9.95
105,0.53,0.53
106,5.7,5.7
107,9.56,9.56
108,35.42,35.42
109,1557.33,1557.33
110,6.6,6.6
111,2.27,2.27
112,1.9,1.9
113,6.17,6.17
115,40.88,40.88
116,2359.24,2359.24
117,4.68,4.68
118,1.5,1.5
119,6.07,6.07
121,2.3,2.3
122,48.45,48.45
123,1728.33,1728.33
124,3.98,3.98
125,2.28,2.28
126,2.17,2.17
127,0.62,0.62
129,42.12,42.12
132,10.58,10.58
133,18.43,18.43
134,0.13,0.13
135,1.39,1.39
136,30.4,30.4
140,4.11,4.11
141,4.06,4.06
142,2.06,2.06
143,46.76,46.76
144,1728.33,1728.33
146,2.94,2.94
148,1.89,1.89
149,4.15,4.15
150,36.94,36.94
152,6.14,6.14
154,2.85,2.85
155,2.24,2.24
156,2.33,2.33
157,43.01,43.01
158,2075.14,2075.14
159,6.6,6.6
160,17.21,17.21
161,8.64,8.64
163,23.41,23.41
166,14.54,14.54
167,16.07,16.07
168,8.01,8.01
169,4.46,4.46
170,4.15,4.15
171,31.73,31.73
172,1834.43,1834.43
173,2.96,2.96
174,4.64,4.64
175,0.35,0.35
176,1.97,1.97
177,2.17,2.17
178,37.04,37.04
179,2620.97,2620.97
181,0.77,0.77
182,0.89,0.89
