,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-06-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,17.0,18.0,20.0,21.0,21.0,23.0,23.0,20.0,23.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,21.0,20.0,21.0,22.0,22.0,20.0,22.0,18.0,17.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0
2021-06-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,20.0,18.0,20.0,22.0,21.0,22.0,22.0,20.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,21.0,21.0,22.0,22.0,22.0,23.0,18.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-05,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,19.0,16.0,9.0,9.0,10.0,9.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-06-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,22.0,23.0,23.0,24.0,24.0,24.0,25.0,20.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-06-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,23.0,24.0,25.0,25.0,25.0,25.0,24.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-06-09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,23.0,24.0,23.0,24.0,24.0,24.0,25.0,20.0,24.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,24.0,24.0,25.0,24.0,25.0,25.0,21.0,24.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,23.0,24.0,24.0,25.0,24.0,25.0,25.0,20.0,22.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,23.0,24.0,24.0,24.0,18.0,21.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-06-14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,22.0,23.0,23.0,23.0,23.0,23.0,21.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-06-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,23.0,23.0,24.0,25.0,25.0,25.0,24.0,21.0,23.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,19.0,20.0,21.0,22.0,23.0,23.0,23.0,18.0,17.0,17.0,3.0,1.0,1.0,0.0,0.0,0.0
2021-06-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,23.0,22.0,22.0,21.0,23.0,23.0,20.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,19.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-06-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,17.0,18.0,17.0,14.0,15.0,11.0,12.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
