,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,8.0,2.0,2.0,0.0,0.0
2021-07-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-07-03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0
2021-07-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,6.0,7.0,8.0,10.0,10.0,4.0,6.0,6.0,0.0,0.0,0.0,1.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,4.0,3.0,1.0,0.0
2021-07-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,4.0,7.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,7.0,6.0,5.0,5.0,7.0,6.0,4.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0
2021-07-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,12.0,8.0,9.0,9.0,8.0,6.0,5.0,4.0,4.0,0.0,0.0,1.0,0.0
2021-07-11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,6.0,7.0,8.0,7.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,20.0,15.0,22.0,20.0,12.0,9.0,7.0,9.0,4.0,5.0,5.0,7.0,0.0,0.0
2021-07-13,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,8.0,10.0,7.0,9.0,9.0,9.0,7.0,8.0,6.0,6.0,1.0,0.0,0.0,0.0
2021-07-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,9.0,10.0,9.0,10.0,11.0,13.0,11.0,11.0,9.0,8.0,1.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,11.0,7.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,0.0,0.0,1.0,0.0
2021-07-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,10.0,13.0,20.0,17.0,12.0,12.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,12.0,12.0,11.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-07-19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,14.0,9.0,11.0,17.0,17.0,14.0,14.0,13.0,10.0,7.0,11.0,0.0,6.0,0.0,0.0
2021-07-20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,11.0,13.0,12.0,24.0,18.0,14.0,12.0,12.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0
