,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
322,60.62,59.0,56.71
323,51.74,54.0,52.19
325,76.39,75.0,70.74
327,63.83,69.0,65.56
328,57.08,59.0,59.76
329,60.84,58.0,61.13
330,48.84,51.0,49.62
331,29.11,31.0,32.57
332,52.5,59.0,53.52
333,48.5,47.0,47.94
334,37.06,56.0,51.1
335,34.93,39.0,39.41
337,39.22,43.0,45.47
339,37.73,38.0,37.01
340,26.77,11.0,8.13
341,45.12,48.0,48.08
344,28.22,37.0,33.4
345,7.66,3.0,3.79
346,7.75,2.0,2.88
348,29.3,41.0,40.96
349,8.32,3.0,4.69
350,9.55,6.0,5.45
354,36.78,35.0,34.04
356,52.33,64.0,63.48
359,12.27,2.0,3.44
360,9.86,3.0,4.36
361,20.77,34.0,33.39
362,33.42,40.0,37.04
363,11.74,6.0,6.75
364,8.21,3.0,3.62
366,0.29,3.0,2.49
367,3.21,2.0,1.79
368,7.29,16.0,15.73
369,8.42,3.0,3.42
370,6.77,2.0,2.16
371,3.09,3.0,3.37
372,3.66,2.0,3.29
373,5.28,3.0,3.09
374,14.53,25.0,25.16
375,16.58,23.0,20.81
376,20.46,28.0,27.4
377,14.62,3.0,2.49
380,5.42,2.0,2.4
381,3.78,2.0,2.15
384,8.77,3.0,2.97
386,1.87,3.0,2.94
390,2.35,2.0,2.25
392,3.64,2.0,2.21
394,5.21,2.0,2.32
395,7.38,3.0,3.07
398,6.49,2.0,2.3
402,3.84,3.0,3.23
403,2.56,2.0,1.94
404,4.49,3.0,3.05
405,31.87,26.0,25.19
406,14.78,2.0,2.66
407,11.9,2.0,1.73
408,5.63,2.0,1.55
410,5.34,3.0,3.02
417,2.07,2.0,1.88
418,5.29,2.0,2.06
420,13.09,9.0,7.63
421,12.58,15.0,11.0
422,6.37,2.0,2.31
424,3.96,2.0,1.87
425,7.84,3.0,3.17
427,25.3,29.0,25.39
428,39.25,42.0,40.34
429,37.34,38.0,35.87
430,47.98,58.0,55.73
432,10.43,14.0,12.66
433,38.73,51.0,44.27
434,52.56,54.0,54.15
435,51.4,58.0,50.0
437,55.07,65.0,59.62
438,4.31,8.0,4.93
439,5.0,2.0,1.7
440,43.9,32.0,36.52
441,48.26,53.0,53.65
442,37.06,40.0,39.78
445,4.77,2.0,1.99
446,6.42,2.0,2.09
447,3.6,2.0,1.6
448,21.93,29.0,23.03
449,18.5,15.0,14.89
450,7.14,3.0,2.76
452,12.56,2.0,2.73
453,7.6,3.0,2.76
454,41.35,35.0,40.95
455,41.59,39.0,39.27
456,42.34,37.0,38.91
457,50.82,53.0,53.31
458,40.53,51.0,45.13
459,3.99,2.0,2.05
460,28.09,35.0,36.51
462,67.35,72.0,70.02
465,42.91,28.0,34.58
466,32.33,36.0,38.98
467,39.92,48.0,48.47
468,17.49,26.0,26.79
470,8.31,7.0,9.42
474,11.55,3.0,2.69
475,61.75,60.0,60.87
476,52.34,70.0,59.14
478,19.19,17.0,19.31
479,31.7,43.0,35.42
480,9.49,14.0,17.48
481,18.15,3.0,3.4
482,53.69,44.0,47.66
483,54.11,53.0,56.39
484,23.31,19.0,20.52
487,10.95,2.0,2.56
492,77.12,82.0,79.3
493,81.21,83.0,81.56
494,39.49,56.0,39.96
495,67.53,84.0,78.92
496,75.91,76.0,81.17
497,84.86,96.0,88.5
498,78.96,80.0,81.6
499,74.69,75.0,78.9
500,73.68,78.0,77.69
501,41.14,40.0,44.88
503,83.27,94.0,86.88
506,82.63,88.0,83.22
508,24.13,2.0,4.72
509,39.43,37.0,42.09
510,67.76,76.0,70.36
511,74.61,80.0,76.39
514,68.14,72.0,59.08
515,45.7,56.0,53.14
516,74.19,91.0,86.39
518,51.69,57.0,55.53
519,64.49,73.0,72.06
520,67.97,64.0,69.15
521,83.52,90.0,75.92
522,33.85,32.0,36.64
524,67.21,77.0,70.72
525,74.89,70.0,73.6
526,80.14,72.0,77.7
527,68.17,67.0,68.62
528,70.42,70.0,75.45
529,8.77,2.0,1.53
530,17.24,19.0,23.5
531,31.29,38.0,33.66
533,32.99,33.0,32.03
534,45.73,47.0,45.93
535,65.44,63.0,63.3
536,4.23,2.0,-0.41
539,4.07,4.0,3.57
540,5.12,3.0,2.78
541,4.39,2.0,1.96
543,5.28,2.0,1.67
544,3.93,3.0,3.33
545,7.75,2.0,2.12
546,3.45,2.0,1.95
547,2.9,2.0,1.92
548,4.79,3.0,2.49
550,6.1,16.0,18.81
551,4.3,2.0,1.52
553,9.16,11.0,9.7
554,4.36,2.0,2.07
555,3.0,2.0,2.34
556,3.45,2.0,1.82
557,9.47,17.0,16.16
558,3.68,3.0,3.42
560,16.06,5.0,6.41
563,0.68,2.0,2.06
566,3.04,2.0,2.36
568,1.8,2.0,2.24
570,3.04,2.0,2.42
574,1.46,2.0,2.28
575,3.74,2.0,2.34
577,5.52,2.0,1.79
578,9.47,10.0,11.37
580,6.04,3.0,3.29
581,3.55,2.0,1.94
582,2.96,3.0,2.9
583,5.02,2.0,1.94
586,2.3,2.0,2.4
588,10.54,3.0,3.31
590,19.79,31.0,29.07
591,3.2,3.0,2.94
592,14.35,22.0,21.1
593,12.63,3.0,3.13
594,7.56,16.0,14.92
596,3.5,2.0,2.09
597,2.41,3.0,3.22
598,7.72,2.0,2.39
599,16.59,25.0,23.25
600,16.17,29.0,27.78
601,2.49,2.0,1.96
604,8.51,3.0,3.16
605,4.19,2.0,2.43
607,18.18,8.0,8.84
608,13.76,3.0,3.24
610,28.15,38.0,36.17
612,29.7,23.0,24.95
613,35.52,29.0,30.44
615,38.35,53.0,50.97
616,30.09,35.0,29.82
618,24.82,24.0,28.71
619,13.96,2.0,3.51
622,28.2,28.0,31.75
623,56.8,58.0,58.88
625,45.9,42.0,41.79
626,50.0,41.0,47.7
627,51.31,64.0,61.88
628,64.53,75.0,61.29
629,62.55,65.0,62.88
631,48.31,52.0,53.63
632,48.93,54.0,50.67
633,43.36,50.0,48.77
634,51.23,58.0,52.98
635,49.99,50.0,50.18
636,34.6,49.0,43.65
639,29.87,2.0,7.91
640,27.21,2.0,2.18
641,20.22,3.0,6.22
643,63.96,87.0,82.4
645,56.4,63.0,60.37
646,64.05,54.0,60.02
647,54.99,59.0,51.93
650,62.87,82.0,67.53
652,66.21,57.0,50.61
656,69.68,76.0,73.15
657,60.05,52.0,55.94
661,50.85,55.0,50.61
662,42.3,29.0,28.66
663,79.22,96.0,82.53
664,47.6,53.0,45.9
665,49.21,44.0,47.35
666,46.25,49.0,44.23
667,45.85,44.0,46.37
