,éûçèï 
1865,inf
1868,inf
1870,inf
1874,inf
1877,inf
1878,inf
1885,inf
1887,79.79
1888,inf
1890,inf
1899,inf
1901,inf
1903,inf
1905,inf
1907,inf
1909,inf
1915,inf
1919,inf
1924,inf
1926,inf
1928,inf
1931,inf
1935,inf
1939,inf
1943,inf
1944,inf
1948,inf
1954,inf
1960,90.41
1966,inf
1967,97.21
1968,inf
1970,inf
1974,inf
1975,inf
1976,inf
1977,inf
1979,inf
1980,1.65
1982,90.74
1983,inf
1984,inf
1987,inf
1988,inf
1990,inf
1997,inf
2004,inf
2006,inf
2007,inf
2012,inf
2019,inf
2020,inf
2021,inf
2023,inf
2025,92.21
2033,inf
2034,inf
2035,inf
2039,inf
2041,inf
2045,inf
2046,inf
2047,inf
2048,inf
2052,inf
2057,inf
2061,inf
2064,inf
2075,inf
2082,inf
2083,inf
2086,inf
2097,inf
2099,inf
2104,inf
2105,inf
2106,inf
2108,inf
2112,inf
2121,inf
2122,69.45
2128,2.33
2132,inf
2135,inf
2139,inf
2141,inf
2143,inf
2144,inf
2145,inf
2150,inf
2152,24.55
2153,inf
2158,inf
2159,inf
2162,inf
2165,inf
2166,inf
2170,inf
2175,inf
2179,95.69
2189,inf
2199,inf
2205,inf
2215,inf
2221,inf
2224,inf
2230,inf
2233,inf
2234,inf
2237,inf
2238,inf
2245,inf
2252,inf
2253,inf
2259,inf
2260,inf
2265,inf
2266,inf
2270,inf
2271,inf
2275,inf
2276,inf
2280,95.92
2281,inf
2283,inf
2286,inf
2289,inf
2290,inf
2293,inf
2294,inf
2295,inf
2296,inf
2297,inf
2299,inf
2305,inf
2306,inf
2307,inf
2309,inf
2320,47.46
2323,inf
2325,inf
2327,inf
2337,inf
2340,43.44
2347,inf
2348,inf
2349,inf
2362,inf
2365,inf
2368,inf
2374,inf
2377,inf
2381,inf
2385,inf
2387,inf
2392,inf
2400,inf
2401,inf
2408,inf
2410,inf
2415,inf
2416,inf
2417,inf
2419,inf
2421,inf
2426,inf
2427,inf
2431,inf
2437,inf
2450,inf
2452,inf
2453,inf
2454,inf
2455,inf
2457,36.02
2458,5.7
2473,inf
2475,inf
2478,98.23
2481,inf
2488,25.77
2493,inf
2496,99.33
2497,inf
2498,inf
2504,inf
2510,39.04
2513,81.75
2514,inf
2518,inf
2524,inf
2528,inf
2530,15.16
2531,17.5
2534,10.65
2536,68.67
2537,18.4
2540,inf
2546,inf
2548,inf
2556,2.89
2557,59.28
2559,10.99
2561,15.15
2562,inf
2563,inf
2567,inf
2577,inf
2580,inf
2586,inf
2593,inf
2597,inf
2598,inf
2602,115.62
2603,inf
2604,inf
2605,inf
2606,inf
2608,inf
2609,inf
2611,inf
2612,inf
2614,inf
2615,inf
2621,inf
2623,inf
2628,23.93
2632,9.39
2636,inf
2641,inf
2645,inf
2647,inf
2651,103.03
2658,inf
2659,inf
2661,inf
2662,inf
2663,inf
2674,27.34
2677,4.89
2678,49.99
2679,11.64
2683,inf
2689,inf
2690,inf
2691,inf
2694,107.66
2704,inf
2705,inf
2708,inf
2709,inf
2711,inf
2712,inf
2714,inf
2718,inf
2719,inf
2720,inf
2723,inf
2726,inf
2730,inf
2735,inf
2740,inf
2741,inf
2747,inf
2748,inf
2749,109.09
2751,inf
2753,inf
2755,inf
2758,inf
2761,inf
2762,inf
2765,inf
2767,inf
2772,inf
2773,inf
2775,inf
2777,inf
2781,inf
2784,inf
2788,inf
2790,inf
2797,57.51
2799,43.89
2800,46.76
2804,inf
2807,inf
2810,inf
2812,inf
2813,inf
2818,41.4
2825,5.37
2826,inf
2829,inf
2831,inf
2839,inf
2843,16.67
2844,16.55
2847,4.89
2852,inf
2856,inf
2861,inf
2863,inf
2867,3.72
2871,4.03
2873,60.98
2874,inf
2875,inf
2888,42.06
2891,42.18
2892,23.92
2894,2.32
2896,66.5
2897,66.83
2900,inf
2901,inf
2903,inf
2904,inf
2908,inf
2916,inf
2918,inf
2924,inf
2925,88.23
2927,inf
2935,inf
2937,inf
2948,inf
2951,inf
2956,inf
2957,inf
2961,49.74
2969,57.83
2970,inf
2973,inf
2977,inf
2979,inf
2982,inf
2983,inf
2984,56.23
2988,1.42
2989,21.87
2990,0.53
2991,0.94
2994,inf
2996,inf
2998,inf
3004,inf
3010,4.78
3028,inf
3033,0.69
3034,5.18
3037,10.47
3039,31.51
3043,inf
3049,inf
3051,inf
3052,inf
3055,inf
3058,9.27
3059,2.7
3062,1.64
3063,5.05
3065,77.47
3067,inf
3068,inf
3074,inf
3076,inf
3077,inf
3079,inf
3080,inf
3083,inf
3086,inf
3088,inf
3095,inf
3098,inf
3102,inf
3107,inf
3109,inf
3113,inf
3117,inf
3118,99.95
3124,inf
3131,inf
3132,inf
3133,inf
3134,inf
3141,inf
3142,inf
3152,62.7
3153,5.31
3155,105.09
3156,1.83
3158,13.28
3159,21.3
3167,inf
3171,inf
3177,25.69
3180,20.77
3184,51.83
3187,inf
3191,inf
3194,inf
3202,25.19
3204,65.17
3206,13.94
3211,inf
3212,inf
3224,inf
3226,inf
3232,inf
3233,inf
3234,inf
3235,inf
3236,inf
3237,inf
3242,inf
3244,inf
3246,inf
3248,inf
3253,inf
3260,inf
3272,inf
3277,94.06
3278,inf
3282,inf
3291,inf
3295,inf
3301,inf
3302,90.2
3306,inf
3315,inf
3323,inf
3331,inf
3337,inf
3340,inf
3345,25.57
3347,34.16
3349,54.45
3356,inf
3357,inf
3359,inf
3361,inf
3367,inf
3369,94.41
3371,23.6
3373,23.89
3378,inf
3380,inf
3385,inf
3389,inf
3390,inf
3393,20.99
3396,9.86
3404,inf
3405,inf
3408,inf
3409,inf
3411,inf
3413,inf
3417,inf
3419,inf
3424,inf
3426,inf
3429,inf
3432,inf
3440,inf
3441,inf
3444,inf
3449,inf
3450,inf
3453,inf
3455,inf
3459,inf
3461,inf
3463,89.75
3464,54.77
3466,30.95
3468,67.66
3469,15.1
3472,30.25
3475,99.65
3476,inf
3477,inf
3483,inf
3487,inf
3494,90.72
