,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,定格5%発揮時間数(冷房),全負荷運転時間数(冷房),夏期平均設定温度,夏期最高設定温度,夏期最低設定温度,夏期最高設定温度-夏期平均設定温度,夏期平均設定温度-夏期最低設定温度,夏期最高設定温度-夏期最低設定温度,夏期平均室内温度,夏期最高室内温度,夏期最低室内温度,夏期最高室内温度-夏期平均室内温度,夏期平均室内温度-夏期最低室内温度,夏期最高室内温度-夏期最低室内温度,夏期入力比
EHP3-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,3,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,1042,1,22.97711749,24,22,1.022882514,0.977117486,2,24.42780055,27.3,19.1,2.872199454,5.327800546,8.2,0.024891936
EHP4-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,4,事務室,1,13.6,6.23,13.5,45,22.5,50,263,1355,9,25.87552671,26.33333333,22.33333333,0.457806628,3.542193372,4,26.48336749,28.9,0,2.416632514,26.48336749,28.9,0.007370269
EHP4-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,4,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,1247,2,25.87821038,26.8,23.4,0.921789617,2.478210383,3.4,26.29771175,29.22,14.04,2.922288251,12.25771175,15.18,0.004718701
EHP4-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1292,0,26.44672131,27.5,25.5,1.053278689,0.946721311,2,27.81501025,33.3,18.85,5.484989754,8.965010246,14.45,0.012728927
EHP4-4,RXYP615AA,8,北東,0.707106,0.707106,1,4,事務室,1,16.3,7.47,18,61.5,30.75,69,351,1435,80,26.41769126,27.5,24.5,1.082308743,1.917691257,3,27.68165984,33.15,16.95,5.468340164,10.73165984,16.2,0.010401581
EHP4-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,994,0,26.17588798,28.25,21,2.074112022,5.175887978,7.25,27.36436134,31.5,17.9,4.135638661,9.464361339,13.6,0.007777079
EHP4-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,4,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,1157,75,25.80191257,29,23,3.198087432,2.801912568,6,26.54655055,28.9,19.2,2.353449454,7.346550546,9.7,0.034190808
EHP5-1,RXYP560AA,9,南西,-0.707106,-0.707106,1,5,共用,1,15.4,7.05,16.7,56,28,63,263,1473,27,22.22411202,25.6,18,3.375887978,4.224112022,7.6,25.6143306,29.46,14.6,3.845669399,11.0143306,14.86,0.007332029
EHP5-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,5,共用,1,21.4,9.8,23.7,73,36.5,82.5,450,1401,7,25.04125683,27.4,21.8,2.358743169,3.241256831,5.6,25.89541667,29.58,17.34,3.684583333,8.555416667,12.24,0.007468815
EHP5-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,5,共用,1,5.24,2.29,6.33,22.4,11.2,25,64,628,0,25.33230874,27,22,1.667691257,3.332308743,5,27.47223361,32.8,18.4,5.327766393,9.072233607,14.4,0.013423956
EHP6-1,RXYP500AA,5,南西,-0.707106,-0.707106,1,6,共用,1,15.9,7.28,16.6,50,25,56,206,1518,0,25.19818011,27.5,22.25,2.301819891,2.948180109,5.25,27.83578808,35.0375,0,7.201711919,27.83578808,35.0375,0.005824698
EHP6-2,RXYP800AA,10,南東,0.707106,-0.707106,-1,6,共用,1,24.5,11.2,26.1,80,40,90,450,928,0,24.27605874,25.3,21.7,1.023941257,2.576058743,3.6,28.59788593,35.65,22.88,7.052114071,5.717885929,12.77,0.003311726
EHP6-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,6,共用,1,5.24,2.29,6.33,22.4,11.2,25,61,308,10,26.22711749,27,24,0.772882514,2.227117486,3,29.58275273,37.95,22.35,8.367247268,7.232752732,15.6,0.00716431
