,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,年平均設定温度,年最高設定温度,年最低設定温度,年最高設定温度-年平均設定温度,年平均設定温度-年最低設定温度,年最高設定温度-年最低設定温度,年平均室内温度,年最高室内温度,年最低室内温度,年最高室内温度-年平均室内温度,年平均室内温度-年最低室内温度,年最高室内温度-年最低室内温度,夏期定格5%発揮時間数,夏期全負荷運転時間数,冬期定格5%発揮時間数,冬期全負荷運転時間数,夏期平均室内温度,冬期平均設定温度
EHP3-4,RXYP615AA,8,北東,0.707106,0.707106,1,3,製本室,1,16.3,7.47,18,61.5,30.75,69,351,20.00079982,27,20,6.999200183,0.000799817,7,22.69470034,28.025,0,5.330299658,22.69470034,28.025,1471,980,1256,0,24.8983265,20
EHP3-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,3,製本室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,20.00022852,22,20,1.999771481,0.000228519,2,21.40701484,28.2,0,6.79298516,21.40701484,28.2,1276,5,482,0,23.77520492,20
EHP3-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,3,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,22.55923683,28,20,5.440763167,2.559236833,8,23.31817352,28.1,0,4.781826484,23.31817352,28.1,1042,1,163,0,24.42780055,21.0334022
EHP4-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,4,事務室,1,13.6,6.23,13.5,45,22.5,50,263,25.71366545,28,21.33333333,2.286334552,4.380332115,6.666666667,25.60144977,40.93333333,0,15.33188356,25.60144977,40.93333333,1355,9,671,0,26.48336749,25.5748393
EHP4-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,4,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,24.71717126,27.6,19.4,2.882828744,5.317171256,8.2,25.61811644,40.9,0,15.28188356,25.61811644,40.9,1247,2,703,0,26.29771175,23.16570248
EHP4-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,26.15474694,30,21,3.845253056,5.154746944,9,24.33019406,40.45,0,16.11980594,24.33019406,40.45,1292,0,1399,0,27.81501025,26.49690083
EHP4-4,RXYP615AA,8,北東,0.707106,0.707106,1,4,事務室,1,16.3,7.47,18,61.5,30.75,69,351,24.23057809,30,20,5.769421912,4.230578088,10,24.96350171,40.725,0,15.76149829,24.96350171,40.725,1435,80,1723,34,27.68165984,23.86905992
EHP4-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,26.30640923,30,22.5,3.693590769,3.806409231,7.5,25.06378425,38.5,0,13.43621575,25.06378425,38.5,994,0,1539,11,27.36436134,26.85365014
EHP4-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,4,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,25.77333486,30,22,4.226665143,3.773334857,8,25.1363242,31.1,0,5.963675799,25.1363242,31.1,1157,75,650,0,26.54655055,25.73415978
EHP5-1,RXYP560AA,9,南西,-0.707106,-0.707106,1,5,共用,1,15.4,7.05,16.7,56,28,63,263,22.67307209,28.4,18,5.72692791,4.67307209,10.4,23.42033562,31.84,0,8.419664384,23.42033562,31.84,1473,27,325,0,25.6143306,22.83360882
EHP5-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,5,共用,1,21.4,9.8,23.7,73,36.5,82.5,450,24.37527705,29.4,17.8,5.024722952,6.575277048,11.6,24.8068105,37.28,0,12.4731895,24.8068105,37.28,1401,7,1189,0,25.89541667,23.69022039
EHP5-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,5,共用,1,5.24,2.29,6.33,22.4,11.2,25,64,24.20061693,27,20.5,2.799383069,3.700616931,6.5,23.82039954,32.8,0,8.979600457,23.82039954,32.8,628,0,776,0,27.47223361,22.97486226
EHP6-1,RXYP500AA,5,南西,-0.707106,-0.707106,1,6,共用,1,15.9,7.28,16.6,50,25,56,206,24.745028,29.625,19.25,4.879971997,5.495028003,10.375,24.2191153,35.0375,0,10.8183847,24.2191153,35.0375,1518,0,1269,0,27.83578808,24.42139042
EHP6-2,RXYP800AA,10,南東,0.707106,-0.707106,-1,6,共用,1,24.5,11.2,26.1,80,40,90,450,23.26868502,25.3,18.5,2.031314978,4.768685022,6.8,24.94439498,35.65,0,10.70560502,24.94439498,35.65,928,0,1458,0,28.59788593,22.63044077
EHP6-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,6,共用,1,5.24,2.29,6.33,22.4,11.2,25,61,25.43487947,27,22,1.56512053,3.43487947,5,23.67675799,37.95,0,14.27324201,23.67675799,37.95,308,10,414,6,29.58275273,24.5886708
