,型番名,型番,方角,方角(cos),方角(sin),方角(tan),フロア,用途名,用途,冷房定格電力kW,50%容量時定格冷房電力kW,暖房定格電力kW,冷房定格能力kW,50%容量時冷房能力kW,暖房定格能力kW,処理面積,定格5%発揮時間数(暖房),全負荷運転時間数(暖房),冬期平均設定温度,冬期最高設定温度,冬期最低設定温度,冬期最高設定温度-冬期平均設定温度,冬期平均設定温度-冬期最低設定温度,冬期最高設定温度-冬期最低設定温度,冬期平均室内温度,冬期最高室内温度,冬期最低室内温度,冬期最高室内温度-冬期平均室内温度,冬期平均室内温度-冬期最低室内温度,冬期最高室内温度-冬期最低室内温度,冬期入力比
EHP3-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,3,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,163,0,21.0334022,25,20,3.966597796,1.033402204,5,21.68722452,28.1,17.4,6.412775482,4.287224518,10.7,0.001436163
EHP4-1,RXYP450AA,1,南西,-0.707106,-0.707106,1,4,事務室,1,13.6,6.23,13.5,45,22.5,50,263,671,0,25.5748393,26.66666667,22.33333333,1.091827365,3.241505969,4.333333333,24.43100321,40.93333333,17.3,16.50233012,7.131003214,23.63333333,0.002961943
EHP4-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,4,事務室,1,21.4,9.8,23.7,73,36.5,82.5,450,703,0,23.16570248,27.2,19.4,4.034297521,3.765702479,7.8,25.04466942,40.9,18.02,15.85533058,7.024669421,22.88,0.002764992
EHP4-3,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,175,1399,0,26.49690083,30,24,3.503099174,2.496900826,6,21.52117769,40.45,0.85,18.92882231,20.67117769,39.6,0.01797998
EHP4-4,RXYP615AA,8,北東,0.707106,0.707106,1,4,事務室,1,16.3,7.47,18,61.5,30.75,69,351,1723,34,23.86905992,30,21.25,6.130940083,2.619059917,8.75,22.87943354,40.725,9.175,17.84556646,13.70443354,31.55,0.01146522
EHP4-5,RXYP335AA,7,北西,-0.707106,0.707106,-1,4,事務室,1,10.1,4.63,10.1,33.5,16.75,37.5,128,1539,11,26.85365014,30,24,3.146349862,2.853650138,6,23.76738981,37.5,8.5,13.73261019,15.26738981,29,0.026518902
EHP4-6,RXYP224AA,2,南西,-0.707106,-0.707106,1,4,事務室,1,5.24,2.29,6.33,22.4,11.2,25,88,650,0,25.73415978,30,22,4.26584022,3.73415978,8,23.22575758,27.1,17.4,3.874242424,5.825757576,9.7,0.014110841
EHP5-1,RXYP560AA,9,南西,-0.707106,-0.707106,1,5,,1,15.4,7.05,16.7,56,28,63,263,325,0,22.83360882,27.6,18,4.766391185,4.833608815,9.6,20.87456612,30.66,12.5,9.785433884,8.374566116,18.16,0.000442916
EHP5-2,RXYP730AA,6,南東,0.707106,-0.707106,-1,5,,1,21.4,9.8,23.7,73,36.5,82.5,450,1189,0,23.69022039,28,18,4.309779614,5.690220386,10,23.75606749,36.5,16.74,12.74393251,7.016067493,19.76,0.005487412
EHP5-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,5,,1,5.24,2.29,6.33,22.4,11.2,25,64,776,0,22.97486226,27,21.5,4.025137741,1.474862259,5.5,20.06210399,28.35,13.35,8.287896006,6.712103994,15,0.013404728
EHP6-1,RXYP500AA,5,南西,-0.707106,-0.707106,1,6,,1,15.9,7.28,16.6,50,25,56,206,1269,0,24.42139042,29.25,19.875,4.82860958,4.54639042,9.375,20.85379218,30.075,0,9.221207817,20.85379218,30.075,0.00585358
EHP6-2,RXYP800AA,10,南東,0.707106,-0.707106,-1,6,,1,24.5,11.2,26.1,80,40,90,450,1458,0,22.63044077,24.4,18.7,1.769559229,3.930440771,5.7,21.53373623,28.68,11.53,7.146263774,10.00373623,17.15,0.005811907
EHP6-3,RXYP224AA,2,南西,-0.707106,-0.707106,1,6,,1,5.24,2.29,6.33,22.4,11.2,25,61,414,6,24.5886708,25.5,22,0.911329201,2.588670799,3.5,17.7072314,27.85,9.65,10.1427686,8.057231405,18.2,0.008736112
