,“ú•Ê
0,13.31
1,91.85
2,33.13
3,198.32
4,122.53
7,32.01
14,80.03
17,45.15
18,60.59
30,31.19
34,36.44
35,154.63
38,148.0
40,26.67
42,51.86
47,18.22
50,71.58
57,131.66
66,58.4
81,59.33
82,13.19
83,23.37
86,50.79
87,134.48
89,28.23
95,29.44
99,291.72
101,44.46
104,54.19
105,30.0
106,24.86
108,119.61
110,35.35
111,30.88
113,102.12
116,24.4
117,14.04
121,141.18
126,23.62
129,35.97
133,121.26
134,91.04
138,4.56
139,84.95
144,67.28
148,63.39
151,74.82
159,86.69
160,5.25
164,112.96
167,24.36
168,8.61
176,32.69
178,0.34
181,1.17
185,12.31
186,36.63
195,26.12
196,89.33
201,0.25
202,31.0
203,35.4
210,60.91
214,44.93
215,33.18
220,21.76
226,53.31
228,40.28
229,2.06
230,32.95
236,27.11
237,21.65
242,52.76
243,86.51
251,45.31
253,13.01
255,76.29
256,25.84
264,32.31
268,18.37
270,18.89
274,124.46
279,26.93
281,27.56
282,40.63
283,29.97
284,9.33
285,54.58
288,75.4
290,41.39
292,55.24
296,42.19
305,47.19
306,218.57
309,27.7
316,67.76
318,48.61
322,58.72
323,75.06
326,62.01
327,24.54
329,83.93
331,21.97
334,48.52
335,270.61
341,24.78
347,48.81
354,52.55
359,5.67
362,20.68
364,49.1
