,“ú•Ê
1,69.92
2,59.11
6,27.52
7,30.97
9,23.34
16,70.08
17,89.76
18,139.24
19,25.6
26,192.08
29,112.72
30,29.37
31,30.34
32,42.05
38,8.99
41,117.26
44,11.62
45,52.88
54,175.54
55,5.68
56,18.83
59,59.62
61,240.92
66,35.56
68,112.23
72,28.49
73,6.59
79,40.99
84,32.53
91,46.25
98,215.61
99,279.46
100,498.66
101,127.96
103,38.21
105,46.97
107,180.47
119,36.95
120,48.7
122,461.44
124,44.05
129,108.07
130,102.26
138,10.66
140,167.59
141,73.3
142,192.76
144,44.06
146,66.89
151,47.58
153,15.27
154,7.41
155,2.09
163,56.52
166,7.12
171,inf
178,15.43
180,29.51
181,25.17
185,56.23
186,21.52
190,30.8
192,22.42
202,12.85
209,17.82
212,4.56
213,1.1
215,1.47
217,13.52
221,22.53
235,3.99
239,19.68
240,9.83
243,46.84
249,21.74
251,49.1
254,26.83
255,39.79
266,48.31
269,43.11
272,45.39
274,20.05
275,42.72
276,31.09
280,31.64
282,48.64
283,28.33
286,48.41
287,40.49
288,59.85
292,33.67
296,14.75
298,53.89
301,32.99
307,1.02
309,35.46
312,15.94
314,86.34
328,20.19
329,58.62
332,38.72
333,60.37
339,10.1
343,122.55
344,129.28
346,32.16
350,26.43
353,18.01
357,91.08
358,73.08
363,57.26
