,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1801,inf,inf,inf,inf
1802,inf,inf,inf,inf
1804,inf,inf,inf,inf
1805,inf,inf,inf,inf
1806,inf,inf,inf,inf
1807,inf,inf,inf,inf
1809,17.08,11.81,8.38,18.53
1813,2.85,3.82,1.46,5.09
1814,5.23,3.53,1.53,3.7
1815,20.24,13.81,9.63,14.32
1816,5.88,9.92,6.49,6.65
1817,19.96,20.6,19.24,20.92
1818,46.55,13.49,39.83,39.63
1819,45.34,33.53,37.39,36.2
1820,25.28,25.44,12.84,8.05
1822,inf,inf,inf,inf
1823,inf,inf,inf,inf
1824,inf,inf,inf,inf
1826,inf,inf,inf,inf
1828,inf,inf,inf,inf
1829,inf,inf,inf,inf
1830,inf,inf,inf,inf
1832,33.62,53.02,100.84,125.31
1833,14.77,9.62,6.64,10.28
1834,2.28,5.84,4.3,8.96
1836,18.24,15.06,21.07,19.79
1838,1.51,5.44,7.32,6.51
1839,2.62,9.42,4.68,10.1
1840,27.54,26.16,24.83,22.54
1841,19.72,17.35,24.27,18.89
1843,26.52,18.1,33.05,27.22
1844,54.04,47.41,74.14,66.71
1846,inf,inf,inf,inf
1847,inf,inf,inf,inf
1848,inf,inf,inf,inf
1855,3.38,7.74,35.37,40.04
1856,19.45,21.82,12.84,14.89
1857,7.97,5.86,8.21,17.8
1858,4.75,2.28,5.04,1.04
1859,2.96,4.18,1.85,2.73
1860,20.37,14.14,17.04,14.72
1861,4.0,1.47,6.46,0.58
1862,3.01,2.78,3.64,0.3
1863,22.35,20.9,19.1,12.83
1865,51.13,24.21,51.73,34.26
1870,inf,inf,inf,inf
1871,inf,inf,inf,inf
1872,82.9,80.59,1.58,4.04
1874,inf,inf,inf,inf
1875,inf,inf,inf,inf
1876,inf,inf,inf,inf
1877,inf,inf,inf,inf
1878,62.48,71.03,76.49,75.96
1879,19.43,43.84,104.39,95.19
1880,5.87,22.8,24.91,9.52
1883,54.69,17.14,43.47,0.94
1884,6.77,2.77,7.1,3.53
1885,6.79,6.08,6.02,6.84
1886,12.93,1.27,10.61,4.26
1888,3.99,6.07,1.33,5.05
1889,1.18,10.41,6.75,10.84
1890,16.99,32.96,6.44,10.47
1891,28.78,28.66,15.92,16.95
1893,53.18,56.58,8.68,15.23
1894,inf,inf,inf,inf
1896,inf,inf,inf,inf
1897,inf,inf,inf,inf
1898,inf,inf,inf,inf
1901,78.24,79.44,1.35,2.98
1902,inf,inf,inf,inf
1903,inf,inf,inf,inf
1904,inf,inf,inf,inf
1906,9.93,15.64,2.75,3.72
1909,2.1,1.31,1.85,2.87
1910,27.88,29.06,30.58,29.92
1912,6.48,5.51,6.22,2.54
1913,0.53,2.66,1.93,3.41
1914,36.31,29.55,63.17,57.01
1916,inf,inf,inf,inf
1917,41.22,35.26,39.28,29.63
1918,inf,inf,inf,inf
1919,inf,inf,inf,inf
1921,inf,inf,inf,inf
1922,inf,inf,inf,inf
1923,88.38,86.55,7.59,9.29
1924,inf,inf,inf,inf
1925,inf,inf,inf,inf
1926,inf,inf,inf,inf
1932,50.47,8.37,71.21,57.51
1934,40.83,28.62,38.39,44.36
1935,57.21,41.56,50.6,47.29
1936,12.55,4.99,20.48,38.71
1937,4.11,26.82,36.46,43.86
1938,inf,inf,inf,inf
1939,40.95,47.15,19.36,22.95
1940,inf,inf,inf,inf
1941,inf,inf,inf,inf
1942,inf,inf,inf,inf
1943,inf,inf,inf,inf
1944,inf,inf,inf,inf
1946,inf,inf,inf,inf
1947,inf,inf,inf,inf
1948,inf,inf,inf,inf
1949,inf,inf,inf,inf
1950,inf,inf,inf,inf
1953,39.62,4.7,69.1,74.67
1954,47.79,5.67,60.32,73.18
1956,inf,inf,inf,inf
1957,16.26,22.95,70.44,79.13
1958,inf,inf,inf,inf
1959,23.36,18.91,12.35,4.42
1960,31.42,18.27,15.89,14.39
1961,45.98,41.83,18.79,15.91
1962,inf,inf,inf,inf
1963,inf,inf,inf,inf
1964,inf,inf,inf,inf
1965,inf,inf,inf,inf
1966,86.85,84.94,2.04,2.36
1968,inf,inf,inf,inf
1969,inf,inf,inf,inf
1971,inf,inf,inf,inf
1972,84.17,83.56,1.35,4.02
1973,inf,inf,inf,inf
1975,44.01,40.23,48.14,46.6
1976,43.25,42.54,6.5,15.26
1977,10.45,6.58,4.04,3.0
1978,1.05,7.76,0.69,5.85
1980,6.46,10.34,7.79,1.55
1981,16.46,1.06,19.67,5.92
1982,15.64,6.8,18.53,11.9
1984,20.09,17.13,22.84,17.74
1986,26.77,2.88,14.85,8.53
1991,inf,inf,inf,inf
1992,inf,inf,inf,inf
1993,inf,inf,inf,inf
1995,inf,inf,inf,inf
1998,inf,inf,inf,inf
1999,inf,inf,inf,inf
2000,inf,inf,inf,inf
2006,16.53,9.3,19.96,16.35
2007,24.44,21.65,23.57,34.44
2008,4.51,2.64,5.31,1.91
2009,6.74,2.31,6.68,7.21
2010,17.58,26.32,5.84,46.91
2011,7.91,42.17,14.21,35.39
2015,inf,inf,inf,inf
2016,inf,inf,inf,inf
2017,inf,inf,inf,inf
2018,inf,inf,inf,inf
2020,75.59,78.46,2.19,1.93
2022,inf,inf,inf,inf
2023,60.87,73.33,25.58,33.21
2024,30.73,49.93,1.51,9.25
2025,0.79,13.79,9.26,9.88
2027,18.52,28.58,16.46,26.39
2028,5.2,14.36,12.89,6.85
2029,8.54,11.87,7.34,20.93
2030,11.47,6.51,4.23,7.13
2031,1.61,4.57,4.1,14.99
2032,22.11,13.88,13.47,1.24
2034,inf,inf,inf,inf
2035,inf,inf,inf,inf
2037,inf,inf,inf,inf
2038,inf,inf,inf,inf
2039,inf,inf,inf,inf
2040,inf,inf,inf,inf
2041,inf,inf,inf,inf
2042,83.17,81.93,0.41,0.02
2043,inf,inf,inf,inf
2044,inf,inf,inf,inf
2045,inf,inf,inf,inf
2047,57.24,23.62,3.4,4.85
2048,62.4,54.07,33.23,38.37
2049,1.77,5.51,9.57,0.67
2050,1.79,28.23,7.22,13.48
2051,7.27,22.27,1.81,17.47
2052,29.5,4.78,19.01,14.94
2053,37.65,25.62,43.13,34.24
2054,0.05,4.55,1.58,5.02
2055,1.04,5.57,1.94,3.2
2057,46.35,44.67,50.47,41.36
2060,inf,inf,inf,inf
2061,inf,inf,inf,inf
2062,83.42,85.5,7.38,7.44
2063,inf,inf,inf,inf
2064,inf,inf,inf,inf
2065,inf,inf,inf,inf
2066,inf,inf,inf,inf
2067,inf,inf,inf,inf
2069,inf,inf,inf,inf
2070,inf,inf,inf,inf
2072,35.87,35.12,12.33,7.31
2074,19.02,25.13,12.41,30.91
2075,0.06,14.69,0.33,17.65
2076,8.73,7.92,10.55,2.2
2077,21.0,4.88,19.49,7.91
2078,39.67,47.29,55.85,55.32
2079,29.16,29.26,31.67,38.22
2081,92.51,84.8,86.98,99.41
2082,17.17,11.68,14.82,15.43
2084,17.0,18.46,27.08,24.45
2085,49.36,46.04,34.9,32.59
2087,inf,inf,inf,inf
2090,inf,inf,inf,inf
2091,inf,inf,inf,inf
2092,81.54,84.67,6.16,8.16
2093,inf,inf,inf,inf
2095,inf,inf,inf,inf
2097,inf,inf,inf,inf
2098,10.05,0.03,136.16,130.99
2099,inf,inf,inf,inf
2100,inf,inf,inf,inf
2101,38.3,38.67,31.48,28.78
2102,16.61,24.0,12.51,9.18
2104,13.73,21.87,95.84,101.71
2106,12.18,17.88,16.64,13.98
2107,30.15,30.48,64.46,83.14
2108,inf,inf,inf,inf
2109,inf,inf,inf,inf
2110,inf,inf,inf,inf
2112,inf,inf,inf,inf
2113,83.63,83.28,2.59,0.49
2114,inf,inf,inf,inf
2115,inf,inf,inf,inf
2116,inf,inf,inf,inf
2117,inf,inf,inf,inf
2118,inf,inf,inf,inf
2124,3.3,11.74,7.46,1.49
2125,2.44,11.11,8.12,1.3
2126,100.59,128.42,100.31,102.53
2127,22.57,26.22,30.4,29.78
2129,96.5,77.83,89.07,89.2
2131,inf,inf,inf,inf
2132,inf,inf,inf,inf
2133,inf,inf,inf,inf
2134,81.23,89.28,4.96,3.82
2135,inf,inf,inf,inf
2136,inf,inf,inf,inf
2140,73.44,73.33,5.02,3.21
2141,inf,inf,inf,inf
2142,inf,inf,inf,inf
2143,36.11,44.52,25.26,8.34
2145,9.22,7.24,6.81,12.65
2146,68.22,35.06,50.67,39.03
2148,15.79,8.41,14.51,13.51
2150,37.35,42.24,39.79,45.61
2151,14.05,19.4,14.76,18.11
2152,2.09,7.96,1.68,12.0
2153,17.08,11.34,10.14,3.76
2155,21.7,7.56,17.06,17.71
2158,inf,inf,inf,inf
2159,inf,inf,inf,inf
2161,inf,inf,inf,inf
2162,72.3,80.91,1.55,3.54
2164,inf,inf,inf,inf
2167,51.75,29.77,39.71,26.64
2168,5.8,20.52,1.46,0.94
2169,87.72,79.45,65.61,83.47
2170,3.87,9.41,6.86,8.33
2172,22.68,16.88,14.37,16.2
2173,24.33,17.04,17.19,20.33
2174,6.87,9.9,11.33,10.85
2175,23.5,16.17,27.17,21.51
2176,12.26,16.07,15.77,20.48
2180,inf,inf,inf,inf
2181,29.19,0.24,79.13,83.9
2183,inf,inf,inf,inf
2184,inf,inf,inf,inf
2185,inf,inf,inf,inf
2190,inf,inf,inf,inf
2191,inf,inf,inf,inf
2192,inf,inf,inf,inf
2193,18.03,20.71,16.85,18.48
2194,25.0,33.02,27.58,35.98
2195,15.18,9.97,15.35,10.83
2196,2.58,12.45,2.32,7.13
2199,22.05,13.04,29.83,21.25
2201,21.29,10.84,31.57,12.4
2202,29.58,13.12,37.94,44.61
2203,3.65,0.6,6.56,6.41
2204,32.66,25.58,7.19,9.16
2205,46.35,45.8,8.78,9.67
2206,inf,inf,inf,inf
2207,inf,inf,inf,inf
2208,inf,inf,inf,inf
2209,81.8,80.23,0.37,0.35
2210,inf,inf,inf,inf
2211,inf,inf,inf,inf
2213,inf,inf,inf,inf
2214,inf,inf,inf,inf
2215,10.24,3.19,3.86,1.35
2216,25.29,17.57,22.32,15.11
2217,2.56,1.36,0.11,2.6
2218,3.27,10.61,6.39,7.8
2219,21.57,7.24,17.21,12.67
2220,21.45,9.59,19.0,14.68
2221,1.58,7.06,1.19,2.08
2222,9.82,5.59,5.66,5.62
2223,5.22,4.55,3.88,6.49
2225,6.47,2.69,6.19,8.33
2226,13.07,9.27,4.64,8.69
2227,26.39,23.28,24.9,15.59
2228,41.15,69.46,71.51,60.49
2229,7.24,13.33,58.75,63.43
2233,71.03,76.6,5.55,1.71
2236,inf,inf,inf,inf
2237,inf,inf,inf,inf
2238,56.67,42.72,0.32,13.72
2239,29.84,37.59,37.33,30.59
2240,29.73,41.02,34.42,32.75
2241,6.96,2.69,15.37,2.41
2242,1.93,0.48,2.57,0.02
2243,14.36,12.11,14.42,8.66
2244,32.76,32.36,32.27,39.47
2245,7.45,6.75,0.29,9.44
2246,11.1,11.11,21.03,8.7
2247,26.46,29.69,15.9,19.62
2249,18.51,0.58,9.32,14.31
2251,45.2,41.89,36.28,38.07
2254,72.71,64.26,10.47,21.9
2256,inf,inf,inf,inf
2257,inf,inf,inf,inf
2260,86.02,87.3,3.2,0.91
2261,inf,inf,inf,inf
2262,inf,inf,inf,inf
2263,inf,inf,inf,inf
2264,inf,inf,inf,inf
2265,41.84,35.53,3.14,7.44
2266,54.03,49.38,34.5,37.67
2267,35.52,44.04,37.61,39.2
2268,0.27,17.73,6.91,3.45
2269,14.65,5.88,16.98,12.92
2270,23.71,16.34,12.21,23.08
2271,12.29,12.39,9.85,11.98
2272,35.86,32.46,36.41,30.43
2273,inf,inf,inf,inf
2274,51.64,68.83,48.51,51.87
2275,36.73,27.07,24.44,17.92
2276,65.03,66.02,41.2,38.34
2278,inf,inf,inf,inf
2279,inf,inf,inf,inf
2282,84.09,85.76,2.56,5.31
2283,inf,inf,inf,inf
2284,inf,inf,inf,inf
2285,inf,inf,inf,inf
2287,inf,inf,inf,inf
2291,50.59,65.42,106.76,108.0
2292,14.77,15.94,5.21,2.38
2293,86.19,76.6,89.67,96.74
2298,9.4,9.64,50.55,51.94
2299,inf,inf,inf,inf
2300,inf,inf,inf,inf
2301,inf,inf,inf,inf
2303,70.78,63.9,4.73,2.95
2305,inf,inf,inf,inf
2306,inf,inf,inf,inf
2309,54.48,49.9,22.57,20.26
2312,27.67,0.69,30.83,37.28
2313,4.35,1.64,0.61,9.76
2316,53.82,33.6,43.81,30.75
2318,11.37,6.92,16.95,14.46
2319,28.89,24.78,27.97,23.31
2320,27.27,35.12,35.31,17.66
2321,19.83,11.97,12.96,4.54
2322,0.35,10.69,21.67,20.03
2323,21.86,21.49,26.06,28.18
2324,41.74,44.32,39.45,39.91
2326,inf,inf,inf,inf
2327,inf,inf,inf,inf
2328,inf,inf,inf,inf
2330,inf,inf,inf,inf
2331,80.86,81.93,9.9,8.94
2332,inf,inf,inf,inf
2333,inf,inf,inf,inf
2334,inf,inf,inf,inf
