リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,26.8,60,0,26,28.3,60,60,26,25.4,60,9
26,26,60,60,26,28.7,60,60,26,25.1,60,9
26,25.8,60,60,26,29,60,60,26,25.2,60,9
26,25.7,60,60,26,29,60,60,26,25.2,60,10
26,25.4,60,28,26,27.7,60,60,26,25.2,60,12
26,25.8,60,0,26,27.2,60,60,26,25.3,60,12
26,25.8,60,0,26,27.1,60,60,26,25.4,60,10
26,25.4,60,29,26,26.9,60,60,26,24.8,60,12
26,17.9,0,0,26,23.7,0,0,26,26.6,60,14
26,16.3,0,0,26,24.9,0,0,26,25.3,0,0
26,22.3,0,0,26,24.7,0,0,26,25.8,0,0
26,24,0,0,26,24.7,0,0,26,25.7,0,0
26,25.1,0,0,26,25.3,0,0,26,25.8,0,0
26,25.2,0,0,26,25.3,0,0,26,25.8,0,0
26,25.4,0,0,26,26,0,0,26,26,0,0
26,25.4,0,0,26,26.4,0,0,26,26.1,0,0
26,25.3,0,0,26,26.8,0,0,26,26.2,0,0
26,25.7,0,0,26,26.8,0,0,26,26.2,0,0
26,25.8,0,0,26,27.1,0,0,26,26.3,0,0
26,25.9,0,0,26,27,0,0,26,26.4,0,0
26,26,0,0,26,27.1,0,0,26,26.5,0,0
26,26.2,0,0,26,27,0,0,26,26.8,0,0
26,26.2,0,0,26,27,0,0,26,26.7,0,0
26,25.9,60,0,26,26.7,60,50,26,26.1,60,9
26,26.1,0,0,26,26.6,0,0,26,24.6,0,0
26,26.1,60,0,26,27.7,60,56,26,25.6,60,9
26,26.6,0,0,26,28.5,0,0,26,26,0,0
26,26.2,60,42,26,29.1,60,57,26,25.6,60,11
26,26.1,0,0,26,29.2,0,0,26,25.3,0,0
26,25.9,60,0,26,28.1,60,57,26,25.6,60,10
26,26.2,0,0,26,27.3,0,0,26,25.1,0,0
26,26.2,60,0,26,28,60,57,26,25.7,60,10
26,24.3,0,0,26,27.7,0,0,26,26.3,0,0
26,24.1,0,0,26,27.6,0,0,26,27.7,0,0
26,25.9,0,0,26,27.2,0,0,26,27.5,0,0
26,26.1,0,0,26,27.2,0,0,26,27.3,0,0
26,25.9,0,0,26,26.9,0,0,26,26.8,0,0
26,25.6,0,0,26,26.6,0,0,26,26.5,0,0
26,25.4,0,0,26,26.7,0,0,26,26.4,0,0
26,25.3,0,0,26,26.7,0,0,26,26.4,0,0
26,25.3,0,0,26,26.5,0,0,26,26.3,0,0
26,25.3,0,0,26,26.5,0,0,26,26.2,0,0
26,25.3,0,0,26,26.6,0,0,26,26.2,0,0
26,25.4,0,0,26,26.7,0,0,26,26.3,0,0
26,25.5,0,0,26,27,0,0,26,26.3,0,0
26,25.6,0,0,26,26.8,0,0,26,26.3,0,0
26,25.8,0,0,26,26.9,0,0,26,26.3,0,0
26,25.9,60,0,26,26.6,60,28,26,26,60,10
26,25.7,60,15,26,26.2,60,60,26,24.6,60,13
26,25.4,60,4,26,26.1,60,60,26,25.7,60,5
