リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
20,27.2,0,0,20,27.2,0,0,24,27.4,0,0,24,26.8,0,0,22,26.5,0,0,22,26.4,0,0,23,27,0,0,24,27.2,0,0,24,26.9,0,0
20,27.2,0,0,20,27.2,0,0,24,27.5,0,0,24,26.8,0,0,22,26.6,0,0,22,26.4,0,0,23,27,0,0,24,27.2,0,0,24,27,0,0
20,27.2,0,0,20,27.2,0,0,24,27.5,0,0,24,26.9,0,0,22,26.6,0,0,22,26.5,0,0,23,27.1,0,0,24,27.3,0,0,24,27.1,0,0
20,27.2,0,0,20,27.3,0,0,24,27.6,0,0,24,26.9,0,0,22,26.7,0,0,22,26.5,0,0,23,27.1,0,0,24,27.3,0,0,24,27.1,0,0
23,26.2,27,27,23,26.4,27,27,23,26.7,27,27,23,25.8,27,27,23,26.1,27,27,23,26,27,27,23,26,27,27,23,26.5,27,27,23,26.1,27,27
23,25.5,60,60,23,24,60,60,23,24.9,60,60,23,24.1,60,60,23,24.7,60,60,23,23.6,60,60,23,23.9,60,60,23,24.4,60,60,23,23.2,60,43
23,24.8,60,60,23,23.6,60,60,23,24.4,60,60,23,23.8,60,60,23,24.1,60,60,23,23.2,60,60,23,23.7,60,60,23,24.3,60,60,23,23.3,60,52
23,24.7,60,60,23,23.4,60,60,23,24.3,60,60,23,23.8,60,60,23,23.8,60,60,23,22.9,60,60,23,23.2,60,60,23,24,60,60,23,22.8,60,60
23,24.5,60,60,23,23.3,60,60,23,24.1,60,51,23,23.6,60,51,23,23.6,60,51,23,22.7,60,50,23,23,60,60,23,23.9,60,60,23,22.7,60,43
23,24.6,60,60,23,23,60,60,24,25.6,60,0,24,24.9,60,0,24,24.3,60,0,24,24.4,60,0,23,23.4,60,60,23,23.8,60,60,23,23.1,60,21
23,24.7,60,60,23,23.2,60,60,24,25.8,60,35,24,24.8,60,35,24,24.5,60,35,24,24.4,60,21,23,23.6,60,60,23,23.7,60,60,23,23,60,12
23,24.5,60,60,23,23.2,60,60,24,25,60,60,24,23.9,60,19,24,23.8,60,60,24,23.6,60,0,23,23.1,60,60,23,23.3,60,60,23,23.1,60,0
23,24.3,60,60,23,22.9,60,60,24,25.1,60,60,24,24,60,16,24,23.6,60,60,24,23.6,60,0,23,23,60,37,23,23.3,60,60,23,23,60,0
23,24.2,60,60,23,22.8,60,44,24,24.9,60,60,24,23.9,60,25,24,24.1,60,60,24,23.4,60,7,23,24.1,60,9,23,23.9,60,60,23,22.8,60,7
23,24.3,0,0,23,23.5,0,0,24,25.1,0,0,24,24.4,0,0,24,24.3,0,0,24,23.6,0,0,23,24.5,0,0,23,24.1,0,0,23,22.8,0,0
23,25.5,0,0,23,25.3,0,0,24,26.1,0,0,24,26.2,0,0,24,24.8,0,0,24,25.6,0,0,23,26,0,0,23,25.4,0,0,23,26.2,0,0
23,26.1,0,0,23,26,0,0,24,26.7,0,0,24,26.5,0,0,24,25.3,0,0,24,25.8,0,0,23,26.2,0,0,23,26.2,0,0,23,26.8,0,0
23,26.2,0,0,23,26.1,0,0,24,26.9,0,0,24,26.4,0,0,24,25.6,0,0,24,25.8,0,0,23,26.2,0,0,23,26.2,0,0,23,26.7,0,0
23,26.2,0,0,23,26.2,0,0,24,27,0,0,24,26.3,0,0,24,25.6,0,0,24,25.9,0,0,23,26.2,0,0,23,26.4,0,0,23,26.6,0,0
23,26.3,0,0,23,26.2,0,0,24,27,0,0,24,26.3,0,0,24,25.8,0,0,24,25.9,0,0,23,26.2,0,0,23,26.4,0,0,23,26.6,0,0
23,26.4,0,0,23,26.2,0,0,24,27.1,0,0,24,26.3,0,0,24,25.9,0,0,24,26,0,0,23,26.2,0,0,23,26.5,0,0,23,26.5,0,0
23,26.5,0,0,23,26.3,0,0,24,27.1,0,0,24,26.3,0,0,24,25.9,0,0,24,26,0,0,23,26.2,0,0,23,26.5,0,0,23,26.6,0,0
23,26.5,0,0,23,26.4,0,0,24,27.1,0,0,24,26.3,0,0,24,26,0,0,24,26.1,0,0,23,26.3,0,0,23,26.6,0,0,23,26.5,0,0
23,26.6,0,0,23,26.4,0,0,24,27.2,0,0,24,26.4,0,0,24,26.1,0,0,24,26.1,0,0,23,26.3,0,0,23,26.7,0,0,23,26.5,0,0
23,26.6,0,0,23,26.5,0,0,24,27.2,0,0,24,26.4,0,0,24,26.2,0,0,24,26.1,0,0,23,26.4,0,0,23,26.8,0,0,23,26.6,0,0
23,26.6,0,0,23,26.6,0,0,24,27.2,0,0,24,26.4,0,0,24,26.2,0,0,24,26.2,0,0,23,26.4,0,0,23,26.8,0,0,23,26.6,0,0
23,26.7,0,0,23,26.7,0,0,24,27.2,0,0,24,26.5,0,0,24,26.2,0,0,24,26.2,0,0,23,26.5,0,0,23,26.9,0,0,23,26.7,0,0
23,26.8,0,0,23,26.8,0,0,24,27.3,0,0,24,26.5,0,0,24,26.3,0,0,24,26.2,0,0,23,26.5,0,0,23,26.9,0,0,23,26.7,0,0
23,25.6,28,27,23,25.5,28,28,24,26.6,28,28,24,25.2,28,27,24,25.8,28,28,24,25.7,28,28,23,25.8,28,28,23,26.6,28,28,23,26.3,28,28
23,25.1,60,60,23,24,60,60,24,25.2,60,60,24,24.1,60,60,24,24.8,60,60,24,24.2,60,60,23,24.3,60,60,23,25.2,60,60,23,24.5,60,60
23,24.7,60,60,23,23.6,60,60,24,25,60,60,24,23.8,60,60,24,24.3,60,60,24,23.9,60,2,23,23.6,60,60,23,24.5,60,60,23,23.7,60,60
23,24.6,60,60,23,23.5,60,60,24,25,60,60,24,23.8,60,60,24,24,60,60,24,23.9,60,0,23,23.5,60,60,23,24.1,60,60,23,23,60,60
23,24.7,60,60,23,23.7,60,60,24,25.2,60,60,24,24.1,60,60,24,24,60,60,24,23.9,60,0,23,23.4,60,60,23,24.1,60,60,23,23,60,60
23,24.6,60,60,23,23.6,60,60,24,25.1,60,60,24,24,60,60,24,24,60,60,24,23.6,60,0,23,23.4,60,60,23,23.7,60,60,23,22.7,60,40
23,24.5,60,60,23,23.2,60,60,24,25.2,60,60,24,24,60,26,24,23.8,60,60,24,23.9,60,0,23,23.1,60,60,23,23.7,60,60,23,23.2,60,10
23,24.3,60,60,23,23,60,60,24,25,60,60,24,23.9,60,19,24,23.7,60,60,24,23.7,60,0,23,23,60,60,23,23.6,60,60,23,23,60,6
23,24.2,60,60,23,22.8,60,60,24,24.8,60,60,24,23.9,60,24,24,23.7,60,47,24,23.5,60,6,23,22.9,60,60,23,23.4,60,60,23,23.1,60,7
23,24.3,60,60,23,23.1,60,40,24,24.9,60,60,24,24.1,60,23,24,24.2,60,35,24,23.9,60,8,23,23.3,60,60,23,23.4,60,60,23,23.2,60,21
23,24.3,0,0,23,22.8,0,0,24,24.9,0,0,24,24.4,0,0,24,24.2,0,0,24,23.2,0,0,23,23.2,0,0,23,23.4,0,0,23,22.6,0,0
23,25.4,0,0,23,24.8,0,0,24,26.1,0,0,24,25.6,0,0,24,24.9,0,0,24,25.7,0,0,23,24.7,0,0,23,25.3,0,0,23,25.3,0,0
23,26,0,0,23,25.5,0,0,24,26.7,0,0,24,26.1,0,0,24,25.3,0,0,24,25.8,0,0,23,25.1,0,0,23,26,0,0,23,26,0,0
23,26.2,0,0,23,25.8,0,0,24,26.9,0,0,24,26.2,0,0,24,25.5,0,0,24,25.8,0,0,23,25.3,0,0,23,26.1,0,0,23,26,0,0
23,26.2,0,0,23,25.9,0,0,24,26.9,0,0,24,26.1,0,0,24,25.6,0,0,24,25.8,0,0,23,25.3,0,0,23,26.2,0,0,23,25.8,0,0
23,26.2,0,0,23,25.9,0,0,24,26.9,0,0,24,26.2,0,0,24,25.7,0,0,24,25.8,0,0,23,25.4,0,0,23,26.2,0,0,23,25.8,0,0
23,26.2,0,0,23,26,0,0,24,26.9,0,0,24,26.2,0,0,24,25.7,0,0,24,25.8,0,0,23,25.6,0,0,23,26.2,0,0,23,25.8,0,0
23,26.2,0,0,23,26.1,0,0,24,27,0,0,24,26.2,0,0,24,25.8,0,0,24,25.9,0,0,23,25.7,0,0,23,26.2,0,0,23,25.8,0,0
23,26.3,0,0,23,26.2,0,0,24,27,0,0,24,26.2,0,0,24,25.9,0,0,24,25.9,0,0,23,25.8,0,0,23,26.2,0,0,23,25.8,0,0
23,26.3,0,0,23,26.2,0,0,24,27,0,0,24,26.2,0,0,24,25.9,0,0,24,25.9,0,0,23,25.8,0,0,23,26.2,0,0,23,25.8,0,0
23,26.4,0,0,23,26.3,0,0,24,27,0,0,24,26.2,0,0,24,25.9,0,0,24,25.9,0,0,23,25.9,0,0,23,26.2,0,0,23,25.8,0,0
23,26.4,0,0,23,26.3,0,0,24,27,0,0,24,26.3,0,0,24,26,0,0,24,26,0,0,23,25.8,0,0,23,26.2,0,0,23,25.8,0,0
23,26.4,0,0,23,26.4,0,0,24,27.1,0,0,24,26.3,0,0,24,26,0,0,24,26,0,0,23,25.9,0,0,23,26.2,0,0,23,25.9,0,0
23,24.9,56,56,23,24,56,56,24,25,56,56,24,24.2,56,39,24,24.6,56,56,24,23.6,56,19,23,23.7,56,56,23,24.3,56,56,23,23.5,56,38
23,24.3,60,60,23,23,60,60,24,24.7,60,60,24,23.9,60,16,24,24,60,60,24,23.2,60,0,23,23.3,60,60,23,23.5,60,60,23,23,60,0
23,24.5,60,60,23,22.9,60,60,24,24.9,60,60,24,24,60,40,24,24,60,60,24,23.6,60,0,23,23.2,60,60,23,23.6,60,60,23,23,60,29
23,24.4,60,60,23,23,60,60,24,25,60,60,24,23.9,60,38,24,24.3,60,60,24,23.9,60,0,23,23.2,60,60,23,23.8,60,60,23,23.2,60,28
23,24.4,60,60,23,22.9,60,60,24,24.8,60,60,24,23.6,60,60,24,23.9,60,60,24,23.8,60,0,23,23,60,60,23,23.6,60,60,23,22.9,60,18
23,24.3,60,60,23,23,60,60,24,24.9,60,60,24,23.6,60,55,24,24.3,60,60,24,24,60,0,23,23.2,60,60,23,23.7,60,60,23,22.9,60,52
23,24.3,60,60,23,22.8,60,48,24,24.9,60,60,24,23.9,60,43,24,23.9,60,60,24,23.8,60,0,23,23.2,60,60,23,23.3,60,60,23,22.8,60,7
23,24.3,60,60,23,23,60,55,24,24.7,60,60,24,23.8,60,60,24,24.1,60,60,24,23.8,60,0,23,23.2,60,60,23,23.2,60,60,23,23.3,60,0
23,24.2,60,60,23,23,60,41,24,24.7,60,60,24,23.9,60,31,24,23.8,60,60,24,23.4,60,7,23,22.9,60,60,23,23.1,60,60,23,23,60,7
23,24.3,60,60,23,22.8,60,60,24,24.8,60,60,24,23.9,60,28,24,24.1,60,60,24,23.7,60,0,23,23.1,60,60,23,23.4,60,60,23,23.3,60,14
23,24.2,60,60,23,22.7,60,46,24,24.9,60,60,24,24,60,22,24,24.1,60,60,24,23.6,60,0,23,23.1,60,60,23,23.2,60,60,23,23,60,3
23,24.2,0,0,23,23.2,0,0,24,24.9,0,0,24,24.1,0,0,24,24.1,0,0,24,23.7,0,0,23,23.1,0,0,23,23.2,0,0,23,23.2,0,0
23,25.4,0,0,23,24.9,0,0,24,25.9,0,0,24,25.4,0,0,24,24.6,0,0,24,25.7,0,0,23,24.5,0,0,23,25,0,0,23,26,0,0
23,25.8,0,0,23,25.5,0,0,24,26.4,0,0,24,25.9,0,0,24,25.1,0,0,24,25.8,0,0,23,24.8,0,0,23,25.6,0,0,23,26.4,0,0
23,26,0,0,23,25.7,0,0,24,26.7,0,0,24,26.1,0,0,24,25.4,0,0,24,25.8,0,0,23,24.9,0,0,23,25.8,0,0,23,26.4,0,0
23,26,0,0,23,25.8,0,0,24,26.7,0,0,24,26,0,0,24,25.4,0,0,24,25.8,0,0,23,25,0,0,23,25.9,0,0,23,26.2,0,0
23,26.1,0,0,23,25.9,0,0,24,26.7,0,0,24,26.1,0,0,24,25.5,0,0,24,25.8,0,0,23,25.1,0,0,23,25.9,0,0,23,26.2,0,0
23,26.2,0,0,23,26,0,0,24,26.7,0,0,24,26.1,0,0,24,25.6,0,0,24,25.8,0,0,23,25.2,0,0,23,25.9,0,0,23,26.2,0,0
