リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,26.2,0,0,25,25.5,0,0,25,25.8,60,60
25,24.2,60,60,25,24.4,60,60,25,25.2,60,60
25,23.4,60,60,25,24.4,60,60,25,25.3,60,60
25,23.2,60,60,25,24.2,60,60,25,25.2,60,60
25,23.4,60,60,25,24.2,60,60,25,24.8,60,60
25,23.1,60,60,25,23.1,60,60,25,24.4,60,60
25,23,60,60,25,22.7,60,60,25,24.3,60,60
25,22.9,60,60,25,22.6,60,60,25,24.2,60,60
25,23,60,60,25,22.6,60,32,25,24,60,60
25,22.9,0,0,25,23.9,0,0,25,27.2,0,0
25,22.5,0,0,25,23,0,0,25,21.2,0,0
25,25.1,0,0,25,27.1,0,0,25,26.2,0,0
25,25.1,0,0,25,27.3,0,0,25,26.5,0,0
25,25.7,0,0,25,27.2,0,0,25,26.6,0,0
25,25.8,0,0,25,27.2,0,0,25,26.5,0,0
25,25.7,0,0,25,26.8,0,0,25,26.9,0,0
25,25.8,0,0,25,26.9,0,0,25,26.7,0,0
25,25.8,0,0,25,26.9,0,0,25,26.5,0,0
25,25.9,0,0,25,26.8,0,0,25,27.2,0,0
25,25.8,0,0,25,27,0,0,25,27.2,0,0
25,25.8,0,0,25,26.9,0,0,25,27.3,0,0
25,25.8,0,0,25,27,0,0,25,27.6,0,0
25,25.7,0,0,25,26.9,0,0,25,27.6,0,0
25,25.9,0,0,25,27,0,0,25,27.6,0,0
25,25.9,0,0,25,26.9,0,0,25,24.1,60,60
27,24.9,60,3,27,23.4,60,1,27,24,60,0
27,27.5,0,0,27,23.7,0,0,27,18.8,0,0
27,25.3,60,0,27,23.6,60,0,27,24.9,60,0
27,27.4,0,0,27,25.8,0,0,27,25.5,0,0
27,25.4,60,0,27,23.9,60,0,27,25.1,60,0
27,27.6,0,0,27,26.6,0,0,27,23.2,0,0
27,25.2,60,0,27,23.9,60,0,27,24.8,60,0
27,26.2,0,0,27,25.7,0,0,27,22.9,0,0
27,24.8,0,0,27,25.4,0,0,27,25.5,0,0
27,25.8,0,0,27,26,0,0,27,26.6,0,0
27,25.8,0,0,27,26.3,0,0,27,26.5,0,0
27,25.8,0,0,27,26.6,0,0,27,26.5,0,0
27,25.8,0,0,27,26.4,0,0,27,26.6,0,0
27,26,0,0,27,26.4,0,0,27,26.6,0,0
27,26,0,0,27,26.6,0,0,27,27,0,0
27,26.2,0,0,27,26.6,0,0,27,27.2,0,0
27,26.3,0,0,27,26.8,0,0,27,27.4,0,0
27,26.4,0,0,27,26.7,0,0,27,27.5,0,0
27,26.2,0,0,27,26.7,0,0,27,27.6,0,0
27,26.2,0,0,27,26.7,0,0,27,27.5,0,0
27,26.3,0,0,27,26.8,0,0,27,27.5,0,0
27,26.3,0,0,27,26.9,0,0,27,27.6,0,0
27,26.6,0,0,27,27.1,0,0,27,27.5,0,0
27,26.2,0,0,27,26.9,0,0,27,25.2,60,8
25,23.2,60,60,25,23,60,60,25,23.9,60,60
25,22.5,60,60,25,22.8,60,8,25,24,60,60
25,22.6,60,60,25,23.3,60,15,25,24.3,60,60
25,22.6,60,60,25,22.8,60,15,25,24.1,60,60
25,22.7,60,60,25,23,60,5,25,23.5,60,60
25,22.7,60,60,25,23,60,35,25,23.5,60,60
25,22.6,60,60,25,22.9,60,31,25,23.3,60,60
25,22.7,60,60,25,22.6,60,32,25,23.6,60,60
25,25.7,0,0,25,23.7,0,0,25,21.1,0,0
25,25.8,0,0,25,22.4,0,0,25,26.2,0,0
25,26,0,0,25,24.9,0,0,25,26.1,0,0
25,25.8,0,0,25,25.6,0,0,25,25.8,0,0
25,25.7,0,0,25,26,0,0,25,26.6,0,0
25,25.9,0,0,25,26,0,0,25,26.2,0,0
25,25.7,0,0,25,25.9,0,0,25,26.2,0,0
25,25.7,0,0,25,26.2,0,0,25,26.2,0,0
25,25.7,0,0,25,26.5,0,0,25,26.1,0,0
25,25.6,0,0,25,26.6,0,0,25,26.1,0,0
25,25.6,0,0,25,26.5,0,0,25,25.9,0,0
25,25.5,0,0,25,26.5,0,0,25,26.1,0,0
25,25.6,0,0,25,26.6,0,0,25,26.3,0,0
25,25.6,0,0,25,26.6,0,0,25,26.6,0,0
25,26.1,0,0,25,26.6,0,0,25,26.9,0,0
25,25.7,1,1,25,24,1,1,25,23.6,60,60
27,24,60,1,27,24,60,0,27,24,60,0
27,27.2,0,0,27,26,0,0,27,24.5,0,0
27,25,60,0,27,24.1,60,0,27,24.9,60,0
27,28.1,0,0,27,25.9,0,0,27,22.2,0,0
27,24.8,60,0,27,24.3,60,0,27,25.2,60,0
27,27.7,0,0,27,25.5,0,0,27,20.5,0,0
27,24.6,60,0,27,23.8,60,0,27,25,60,0
27,27.5,0,0,27,25.8,0,0,27,25.4,0,0
27,26,0,0,27,25.1,0,0,27,25,0,0
27,25.9,0,0,27,25.7,0,0,27,26.5,0,0
27,25.5,0,0,27,26,0,0,27,26.5,0,0
27,25.3,0,0,27,26.2,0,0,27,26.6,0,0
27,25.8,0,0,27,26.2,0,0,27,26.6,0,0
27,25.9,0,0,27,26.3,0,0,27,26.6,0,0
27,26,0,0,27,26.4,0,0,27,26.7,0,0
27,26.2,0,0,27,26.5,0,0,27,26.9,0,0
27,26.5,0,0,27,26.6,0,0,27,27,0,0
27,26.5,0,0,27,26.6,0,0,27,27.1,0,0
27,26.5,0,0,27,26.5,0,0,27,27.2,0,0
27,26.2,0,0,27,26.5,0,0,27,27.2,0,0
27,26.2,0,0,27,26.5,0,0,27,27.2,0,0
27,26.3,0,0,27,26.7,0,0,27,27.2,0,0
27,26.3,0,0,27,26.7,0,0,27,27.3,0,0
27,26.4,0,0,27,26.6,1,0,27,27.3,0,0
27,26.1,0,0,27,24.3,60,0,27,27.6,0,0
27,26.2,0,0,27,23.6,60,0,27,27.3,0,0
27,26.1,0,0,27,23.4,60,0,27,26.9,0,0
27,25.8,0,0,27,23.1,60,0,27,27.2,0,0
27,25.9,0,0,27,23.1,60,0,27,27.4,0,0
27,25.9,0,0,27,23.2,60,0,27,27.2,0,0
27,25.9,0,0,27,23.3,60,0,27,27.2,0,0
27,25.8,0,0,27,23.2,59,0,27,26.8,0,0
27,25.7,0,0,27,25.2,0,0,27,26.7,0,0
27,25.7,0,0,27,26.1,0,0,27,26.8,0,0
27,25.7,0,0,27,26.3,0,0,27,27,0,0
27,25.9,0,0,27,26.6,0,0,27,27.1,0,0
27,26.1,0,0,27,26.4,0,0,27,27.1,0,0
27,26.1,0,0,27,26.6,0,0,27,27.2,0,0
27,26.1,0,0,27,26.6,0,0,27,27.3,0,0
27,26.4,0,0,27,27,0,0,27,27.3,0,0
27,26.5,0,0,27,27.2,0,0,27,27.6,0,0
27,26.7,0,0,27,27.2,0,0,27,27.5,0,0
27,26.6,0,0,27,27.2,0,0,27,27.4,0,0
27,26.6,0,0,27,27.1,0,0,27,27.5,0,0
27,26.5,0,0,27,27.1,0,0,27,27.4,0,0
27,26.3,0,0,27,27.1,0,0,27,27.5,0,0
27,26.5,0,0,27,26.9,0,0,27,27.6,0,0
27,26.3,0,0,27,27.2,0,0,27,27.4,0,0
27,26.3,0,0,27,27.2,0,0,27,27.6,0,0
27,26.2,0,0,27,27.2,0,0,27,27.3,0,0
27,26.2,0,0,27,27.2,0,0,27,27.2,0,0
27,26.4,0,0,27,27.3,0,0,27,27.2,0,0
27,26.6,0,0,27,27.4,0,0,27,27.2,0,0
27,26.7,0,0,27,27.7,0,0,27,27.9,0,0
27,26.5,0,0,27,27.6,0,0,27,27.5,0,0
27,26.5,0,0,27,27.3,0,0,27,27.2,0,0
27,26.6,0,0,27,27.4,0,0,27,27.2,0,0
27,26.4,0,0,27,27.5,0,0,27,27.4,0,0
27,26.5,0,0,27,27.2,0,0,27,27.1,0,0
27,26.4,0,0,27,27.2,0,0,27,27.1,0,0
27,26.5,0,0,27,27.2,0,0,27,27.2,0,0
27,26.6,0,0,27,27.2,0,0,27,27.3,0,0
27,26.7,0,0,27,27.2,0,0,27,27.6,0,0
27,26.8,0,0,27,27.4,0,0,27,27.6,0,0
27,27,0,0,27,27.8,0,0,27,27.7,0,0
27,27.1,0,0,27,27.6,0,0,27,27.8,0,0
27,26.9,0,0,27,27.5,0,0,27,27.9,0,0
27,26.8,0,0,27,27.4,0,0,27,28,0,0
27,26.8,0,0,27,27.4,0,0,27,27.9,0,0
27,26.7,0,0,27,27.6,0,0,27,28,0,0
27,26.5,0,0,27,27.4,0,0,27,27.6,1,1
27,26.6,1,0,27,22.2,1,0,27,25,60,8
27,24.7,60,0,27,24.5,60,0,27,25.4,60,0
27,27.5,0,0,27,26.3,0,0,27,26.4,0,0
27,25.3,60,0,27,24.4,60,0,27,25.8,60,0
27,27.9,0,0,27,26.4,0,0,27,27.2,0,0
27,25.1,60,0,27,24,60,0,27,24.7,60,0
27,28.1,0,0,27,25.9,0,0,27,22.1,0,0
27,25.2,60,0,27,23.8,60,0,27,25.5,60,0
27,27,0,0,27,26.2,0,0,27,26.6,0,0
27,25,0,0,27,25.4,0,0,27,25.8,0,0
27,26.2,0,0,27,26.2,0,0,27,27.1,0,0
27,26.4,0,0,27,26.8,0,0,27,26.8,0,0
