リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,25.8,0,0,25,27.1,0,0,25,26.7,0,0,25,26.2,0,0
25,26.2,0,0,25,27.2,0,0,25,26.9,0,0,25,26.7,0,0
25,26.4,0,0,25,27.3,0,0,25,27,0,0,25,27,0,0
25,26.7,0,0,25,27.4,0,0,25,27,0,0,25,27.2,0,0
25,26.8,0,0,25,27.6,0,0,25,27.1,0,0,25,27.4,0,0
25,27,0,0,25,27.7,0,0,25,27.2,0,0,25,27.5,0,0
25,25.5,15,13,25,25.7,15,14,25,26,15,15,25,25.1,15,10
25,25,60,30,25,25,60,26,25,24.7,60,55,25,24.7,60,0
25,25,60,27,25,25,60,31,25,24.9,60,10,25,25,60,40
25,25,60,33,25,25.1,60,22,25,25.2,60,0,25,25.1,60,46
25,25,60,21,25,25.1,60,19,25,25.2,60,0,25,24.8,60,60
25,25.1,60,21,25,25,60,28,25,25.1,60,9,25,24.8,60,39
25,25,60,21,25,25.1,60,24,25,25.3,60,0,25,24.8,60,60
25,25,60,35,25,25,60,22,25,25,60,10,25,24.8,60,38
25,24.9,60,24,25,25.1,60,18,25,25.2,60,0,25,24.8,60,60
25,24.9,60,31,25,25,60,14,25,25.1,60,10,25,24.6,60,46
25,25,60,29,25,25,60,25,25,25.1,60,0,25,25,60,52
25,25,60,24,25,25.1,60,14,25,25.1,60,0,25,24.7,60,49
25,25,53,49,25,25.7,53,53,25,26.2,0,0,25,22.8,0,0
25,24.8,60,60,25,25.6,60,60,25,22,0,0,25,20.9,0,0
25,24.7,0,0,25,25.6,0,0,25,25.3,0,0,25,22.3,0,0
25,24.2,0,0,25,25.1,0,0,25,26,0,0,25,24.4,0,0
25,25.3,0,0,25,26.2,0,0,25,26.2,0,0,25,25.8,0,0
25,25.7,0,0,25,26.6,0,0,25,26.5,0,0,25,26.3,0,0
25,26,0,0,25,26.9,0,0,25,26.6,0,0,25,26.7,0,0
25,26,0,0,25,27,0,0,25,26.7,0,0,25,26.8,0,0
25,25.8,0,0,25,27.1,0,0,25,26.9,0,0,25,26.9,0,0
25,26.1,0,0,25,27.2,0,0,25,27,0,0,25,27.1,0,0
25,26.2,0,0,25,27.2,0,0,25,27,0,0,25,27,0,0
25,26.6,0,0,25,27.4,0,0,25,27.1,0,0,25,27.2,0,0
25,26.8,0,0,25,27.6,0,0,25,27.2,0,0,25,27.3,0,0
25,27.1,0,0,25,27.8,0,0,25,27.2,0,0,25,27.4,0,0
25,27.2,0,0,25,27.9,0,0,25,27.2,0,0,25,27.4,0,0
25,27.1,47,47,25,27,47,47,25,26.3,47,47,25,26.7,47,47
25,26.7,60,60,25,26.6,60,60,25,25.6,60,60,25,25.8,60,60
25,26.5,60,60,25,26.3,60,60,25,25.3,60,60,25,25.1,60,60
25,26.4,60,60,25,26.2,60,60,25,25.2,60,60,25,25,60,60
25,26.3,60,60,25,26.1,60,60,25,25.2,60,60,25,25.3,60,60
25,26.3,60,60,25,26.1,60,60,25,25,60,60,25,25.2,60,60
25,26.1,60,60,25,26.1,60,60,25,25,60,60,25,25.1,60,60
25,26,60,60,25,25.9,60,60,25,24.9,60,60,25,24.9,60,60
25,25.6,60,60,25,25.7,60,60,25,24.7,60,60,25,24.7,60,60
25,25.5,0,0,25,25.6,0,0,25,24.6,0,0,25,24.6,0,0
25,25.3,0,0,25,26,0,0,25,24.2,0,0,25,24.6,0,0
25,25.2,0,0,25,26.2,0,0,25,24.3,0,0,25,24.2,0,0
25,25.6,0,0,25,26.7,0,0,25,25.4,0,0,25,25.5,0,0
25,25.6,0,0,25,26.9,0,0,25,26.1,0,0,25,26,0,0
25,25.8,0,0,25,27,0,0,25,26.3,0,0,25,26.3,0,0
25,25.9,0,0,25,27.1,0,0,25,26.4,0,0,25,26.4,0,0
25,26.2,0,0,25,27.2,0,0,25,26.5,0,0,25,26.5,0,0
25,26.3,0,0,25,27.2,0,0,25,26.6,0,0,25,26.7,0,0
25,26.5,0,0,25,27.3,0,0,25,26.7,0,0,25,26.8,0,0
25,26.6,0,0,25,27.4,0,0,25,26.7,0,0,25,27,0,0
25,26.7,0,0,25,27.5,0,0,25,26.8,0,0,25,27.2,0,0
25,26.9,0,0,25,27.6,0,0,25,26.9,0,0,25,27.2,0,0
25,26.9,0,0,25,27.7,0,0,25,27,0,0,25,27.2,0,0
25,26.9,0,0,25,27.7,0,0,25,27,0,0,25,27.3,0,0
25,27.2,13,13,25,27.3,13,13,25,26.5,13,13,25,26.8,13,13
25,25.4,0,0,25,25.9,0,0,25,22.8,0,0,25,23.2,0,0
25,24.6,0,0,25,25.1,0,0,25,22.2,0,0,25,24.1,0,0
25,25.7,0,0,25,26.5,0,0,25,24,0,0,25,25.9,0,0
25,26.2,0,0,25,26.9,0,0,25,24.5,0,0,25,26.4,0,0
25,26.3,0,0,25,27.1,0,0,25,24.8,0,0,25,26.8,0,0
25,26.4,0,0,25,27.3,0,0,25,25.3,0,0,25,27,0,0
25,26.4,0,0,25,27.5,0,0,25,25.6,0,0,25,27.1,0,0
25,25.5,0,0,25,27.4,0,0,25,26,0,0,25,26.9,0,0
25,26.2,0,0,25,27.8,0,0,25,26.8,0,0,25,26.8,0,0
25,26,0,0,25,27.9,0,0,25,26.9,0,0,25,27.2,0,0
25,26.8,0,0,25,28.1,0,0,25,27.2,0,0,25,27.2,0,0
25,27,0,0,25,28.1,0,0,25,27.1,0,0,25,27.2,0,0
25,27.2,0,0,25,28.3,0,0,25,27.2,0,0,25,27.5,0,0
25,27.5,0,0,25,28.4,0,0,25,27.4,0,0,25,27.7,0,0
25,27.7,0,0,25,28.5,0,0,25,27.4,0,0,25,27.9,0,0
25,27.8,0,0,25,28.6,0,0,25,27.4,0,0,25,28,0,0
25,27.9,0,0,25,28.6,0,0,25,27.6,0,0,25,28.1,0,0
25,27.9,0,0,25,28.7,0,0,25,27.6,0,0,25,28.1,0,0
25,28,0,0,25,28.8,0,0,25,27.6,0,0,25,28.1,0,0
25,28,0,0,25,28.8,0,0,25,27.7,0,0,25,28.2,0,0
25,28,0,0,25,28.8,0,0,25,27.7,0,0,25,28.2,0,0
25,26.6,40,40,25,27.1,40,40,25,26.6,40,40,25,26.9,40,40
25,25,60,60,25,25.8,60,60,25,25.9,60,60,25,26.2,60,60
25,24.7,60,52,25,25.4,60,60,25,25.6,60,60,25,25.8,60,60
25,25,60,12,25,24.9,60,60,25,24.8,60,60,25,24.8,60,11
25,25,60,26,25,24.8,60,60,25,24.8,60,33,25,25.3,60,21
25,25,60,21,25,24.9,60,35,25,25.2,60,9,25,24.9,60,38
25,25,60,15,25,24.9,60,39,25,25.4,60,2,25,25.1,60,60
25,24.9,60,33,25,25.2,60,21,25,24.7,60,50,25,24.8,60,4
25,24.7,60,10,25,24.7,60,44,25,24.9,60,8,25,24.8,60,44
25,25.1,60,28,25,25.1,60,24,25,25.3,60,0,25,25.1,60,52
25,25,60,7,25,24.7,60,60,25,25.3,60,0,25,24.8,60,60
25,25.2,58,49,25,25.6,58,48,25,26.2,0,0,25,21.7,0,0
25,24.8,60,60,25,25.7,60,60,25,16.9,0,0,25,15.8,0,0
25,24.8,0,0,25,25.7,0,0,25,24.2,0,0,25,21.3,0,0
25,24.3,0,0,25,24.7,0,0,25,25.4,0,0,25,22.8,0,0
25,24.6,0,0,25,25.7,0,0,25,26.1,0,0,25,23.6,0,0
25,25.4,0,0,25,26.5,0,0,25,26.5,0,0,25,25.3,0,0
25,25.7,0,0,25,26.9,0,0,25,26.7,0,0,25,26,0,0
25,25.7,0,0,25,27.2,0,0,25,26.8,0,0,25,26.4,0,0
25,25.8,0,0,25,27.2,0,0,25,26.8,0,0,25,26.6,0,0
25,26,0,0,25,27.3,0,0,25,26.9,0,0,25,26.8,0,0
25,26.2,0,0,25,27.3,0,0,25,27,0,0,25,26.9,0,0
25,26.5,0,0,25,27.5,0,0,25,27.1,0,0,25,27.1,0,0
25,26.3,21,21,25,26.6,21,21,25,26.3,21,21,25,26.4,21,21
25,25,60,57,25,25.6,60,60,25,25.6,60,60,25,25.8,60,60
25,24.9,60,10,25,25.2,60,40,25,25.1,60,60,25,25.1,60,37
25,25,60,27,25,24.8,60,54,25,24.7,60,60,25,25.1,60,6
25,24.7,60,38,25,25,60,39,25,24.9,60,21,25,25,60,43
25,24.8,60,22,25,24.9,60,35,25,24.7,47,47,25,24.7,47,4
25,25.1,60,25,25,25,60,60,25,21.8,0,0,25,26.1,0,0
25,24.7,60,60,25,25.3,60,60,25,22.3,0,0,25,26.2,0,0
25,24.6,60,21,25,25,60,60,25,24.9,42,26,25,25.4,42,42
25,24.8,60,58,25,25,60,19,25,24.8,60,60,25,24.7,60,37
25,24.8,60,1,25,24.7,60,42,25,24.8,60,43,25,25,60,39
25,24.9,60,28,25,25.2,60,30,25,25.2,60,0,25,25.1,60,60
25,25.3,53,18,25,25.6,53,48,25,18.5,0,0,25,17.8,0,0
25,24.7,59,59,25,25.6,59,59,25,24.5,0,0,25,21.7,0,0
25,24.8,0,0,25,25.5,0,0,25,25,0,0,25,22.8,0,0
25,24,0,0,25,24.9,0,0,25,25.5,0,0,25,22.8,0,0
25,24.2,0,0,25,25.5,0,0,25,25.9,0,0,25,23.8,0,0
25,24.8,0,0,25,26.2,0,0,25,26.2,0,0,25,25.3,0,0
25,25.1,0,0,25,26.7,0,0,25,26.4,0,0,25,26,0,0
25,25.3,0,0,25,26.8,0,0,25,26.5,0,0,25,26.3,0,0
25,25.5,0,0,25,26.9,0,0,25,26.6,0,0,25,26.5,0,0
25,25.8,0,0,25,27,0,0,25,26.7,0,0,25,26.7,0,0
25,26.1,0,0,25,27.1,0,0,25,26.8,0,0,25,26.8,0,0
25,26.2,0,0,25,27.2,0,0,25,26.8,0,0,25,26.8,0,0
