リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,28.6,0,0,26,27.7,0,0,26,27.3,0,0,25,28,0,0
26,28.4,0,0,26,27.6,0,0,26,27.2,0,0,25,27.8,0,0
26,28.3,0,0,26,27.5,0,0,26,27.2,0,0,25,27.7,0,0
26,28.1,0,0,26,27.4,0,0,26,27.2,0,0,25,27.7,0,0
26,28.1,0,0,26,27.4,0,0,26,27.2,0,0,25,27.6,0,0
26,28.1,0,0,26,27.4,0,0,26,27.2,0,0,25,27.6,0,0
26,28.5,0,0,26,27.4,0,0,26,27.2,0,0,25,27.7,0,0
26,28.5,0,0,26,27.5,0,0,26,27.2,0,0,25,27.7,0,0
26,27.4,0,0,26,26.7,18,0,26,26.5,0,0,25,27.7,0,0
26,28,0,0,26,26.9,60,0,26,26.4,0,0,25,27.7,0,0
26,28.2,0,0,25,27,60,8,25,26.4,23,12,25,26.8,0,0
26,26,0,0,25,24.5,60,60,25,23.9,60,60,25,26,46,45
26,25.9,0,0,26,23.8,60,60,26,23.4,60,60,25,24.8,60,60
26,25.6,0,0,26,25.2,60,3,26,24.2,60,7,25,24.4,60,60
26,27.2,0,0,26,26.4,60,0,26,25.6,60,0,25,24.7,60,60
26,27.9,0,0,26,27,60,0,26,26.4,60,0,25,24.8,60,60
26,28.6,0,0,26,27.2,60,0,26,26.6,60,0,25,24.8,60,60
26,28.9,0,0,26,27.1,60,0,26,26.6,60,0,25,24.6,60,60
26,28.9,0,0,26,27.1,60,0,26,26.8,60,0,25,24.7,60,60
25,27.9,17,17,26,27.1,60,6,26,26.8,60,6,25,24.7,60,60
25,26.4,54,54,26,25.7,60,0,26,25.6,60,0,25,24.4,60,60
25,26.1,0,0,26,26.2,51,0,26,26.1,51,0,25,24.3,60,60
25,26.3,0,0,26,26.6,0,0,26,26.4,0,0,25,24.1,0,0
25,26.9,0,0,26,27.3,0,0,26,27.1,0,0,25,26.4,0,0
25,27.2,0,0,26,27.3,0,0,26,27,0,0,25,26.6,0,0
25,27.3,0,0,26,27.2,0,0,26,27,0,0,25,26.7,0,0
25,27.4,0,0,26,27.2,0,0,26,26.9,0,0,25,26.8,0,0
25,27.6,0,0,26,27.2,0,0,26,26.9,0,0,25,26.8,0,0
25,27.7,0,0,26,27.2,0,0,26,27,0,0,25,26.9,0,0
25,27.7,0,0,26,27.2,0,0,26,26.9,0,0,25,26.9,0,0
25,27.7,0,0,26,27.2,0,0,26,27,0,0,25,27,0,0
25,27.7,0,0,26,27.3,0,0,26,27,0,0,25,26.8,0,0
25,27.4,9,9,26,27.3,0,0,26,26.9,0,0,23,25.3,17,17
25,26.3,60,60,26,27.1,0,0,26,26.9,0,0,25,24.9,60,60
25,26.6,60,5,26,27.1,0,0,26,26.9,0,0,25,25.3,60,16
25,27.1,60,40,26,27.2,0,0,26,26.6,0,0,24,25.4,60,53
25,27.2,60,0,26,26.9,0,0,26,26.2,0,0,24,24.7,60,60
23,27.3,60,39,26,27.3,0,0,26,26.6,0,0,24,24.8,60,60
23,26.1,60,60,26,27.1,0,0,26,26.7,0,0,24,24.6,60,60
23,25.9,60,60,26,26.6,0,0,26,26.1,0,0,24,24.6,60,60
