リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,24.6,60,45,25,25.2,60,16,24,22.5,60,38,24,23.3,60,60,24,22.3,60,60
25,24,60,43,25,25,60,12,24,21.8,60,60,24,23,60,60,23,22.1,60,60
25,23.9,60,46,25,25.1,60,8,24,21.5,60,59,24,22.8,60,60,23,21.9,60,60
25,24.1,60,60,25,24.5,60,46,25,22.2,60,7,25,23.2,60,60,25,22.3,60,49
23,23.9,60,60,23,24.3,60,54,25,23.1,60,47,25,23.4,60,60,25,23.2,60,33
23,23.4,60,60,23,24.1,60,60,25,23.8,17,0,25,23.2,17,17,25,23.8,17,0
23,23.2,60,60,23,24,60,60,25,25.3,0,0,25,24.8,0,0,25,25.3,0,0
23,23.1,60,60,23,24,60,60,25,25.4,0,0,25,25,0,0,25,25.6,0,0
23,22.8,59,59,23,23.9,59,59,25,25.4,0,0,25,25.2,0,0,25,25.7,0,0
23,22.8,0,0,23,23.9,0,0,25,25.3,0,0,25,25.3,0,0,25,25.8,0,0
23,24.5,0,0,23,25.3,0,0,25,25.4,0,0,25,25.2,0,0,25,25.7,0,0
23,25,0,0,23,25.6,0,0,25,25.5,0,0,25,25.3,0,0,25,25.7,0,0
23,25.1,0,0,23,25.7,0,0,25,25.5,0,0,25,25.3,0,0,25,25.8,0,0
23,25.2,0,0,23,25.8,0,0,25,25.5,0,0,25,25.3,0,0,25,25.8,0,0
23,25.3,0,0,23,25.9,0,0,25,25.6,0,0,25,25.3,0,0,25,25.8,0,0
23,25.4,0,0,23,25.9,0,0,25,25.6,0,0,25,25.3,0,0,25,25.8,0,0
23,25.5,0,0,23,26,0,0,25,25.6,0,0,25,25.4,0,0,25,25.9,0,0
23,25.5,0,0,23,26,0,0,25,25.6,0,0,25,25.4,0,0,25,25.9,0,0
23,25.6,0,0,23,26.1,0,0,25,25.6,0,0,25,25.5,0,0,25,26,0,0
26,24.7,36,7,26,25.1,36,2,25,23.8,43,0,25,23.8,43,43,25,23.9,43,24
26,25.1,60,0,26,25.5,60,0,26,24.6,60,4,26,24.1,60,15,26,24.5,60,3
26,25.2,60,27,26,25.7,60,0,25,23.4,60,60,25,24.1,60,60,25,23.6,60,60
26,24.3,60,57,26,25.5,60,0,25,23.2,60,43,25,23.9,60,60,25,23.3,60,43
26,24.1,60,6,26,24.9,60,6,26,24.6,60,6,26,24,60,60,26,24.5,60,6
26,25.1,60,0,26,25.6,60,0,26,24.3,60,0,25,24,60,60,25,24.1,60,44
26,24.9,60,42,26,25.6,60,0,25,23.4,60,0,25,23.8,60,60,25,23.3,60,60
26,24.4,60,39,26,25.5,60,0,25,23.8,60,19,25,23.7,60,60,25,23.6,60,26
23,23.9,60,60,23,24.6,60,60,26,24.5,60,6,25,23.7,60,60,26,24.4,60,6
23,23.1,60,60,23,24.1,60,60,26,24.9,53,0,25,23.3,53,53,26,24.9,53,0
24,23.7,60,60,24,24.6,60,36,26,24.9,42,0,25,22.8,0,0,26,25.2,42,0
24,23.6,60,60,24,24.7,60,60,26,25.1,35,0,25,23.3,0,0,26,25.3,35,0
24,23.3,60,60,24,24.4,60,60,26,26.1,0,0,25,24.6,0,0,26,26.1,0,0
24,23.3,59,59,24,24.3,59,59,26,26,0,0,25,24.9,0,0,26,26.2,0,0
24,23.5,0,0,24,24.4,0,0,26,25.2,0,0,25,24.3,0,0,26,25.1,0,0
24,24.7,0,0,24,25.5,0,0,26,25.1,0,0,25,24.3,0,0,26,24.8,0,0
24,25,0,0,24,25.7,0,0,26,25.3,0,0,25,24.6,0,0,26,25.3,0,0
24,25.2,0,0,24,25.8,0,0,26,25.4,0,0,25,24.8,0,0,26,25.4,0,0
24,25.3,0,0,24,25.8,0,0,26,25.5,0,0,25,24.9,0,0,26,25.6,0,0
24,25.3,0,0,24,25.9,0,0,26,25.5,0,0,25,25,0,0,26,25.6,0,0
24,25.3,0,0,24,25.9,0,0,26,25.6,0,0,25,25.1,0,0,26,25.7,0,0
24,25.4,0,0,24,25.9,0,0,26,25.6,0,0,25,25.1,0,0,26,25.8,0,0
24,25.4,0,0,24,26,0,0,26,25.6,0,0,25,25.2,0,0,26,25.8,0,0
24,25.5,0,0,24,26,0,0,26,25.7,0,0,25,25.3,0,0,26,25.9,0,0
26,24.5,42,15,26,25.1,42,2,26,25.6,0,0,25,25.3,0,0,26,25.9,0,0
26,25,60,0,26,25.4,60,0,26,25.4,0,0,25,25.3,0,0,26,26,0,0
26,24.8,60,40,26,25.5,60,0,26,25.4,0,0,25,25.3,0,0,26,26,0,0
26,24.2,60,41,26,25.4,60,0,26,25.4,0,0,25,25.3,0,0,26,26.1,0,0
26,24.7,60,0,26,25.1,60,0,26,25.4,0,0,25,25.3,0,0,26,26.1,0,0
26,25.1,60,0,26,25.5,60,0,26,25.6,0,0,25,25.3,0,0,26,26.2,0,0
26,25,60,16,26,25.4,60,12,26,25.7,0,0,25,25.3,0,0,26,26.2,0,0
26,25.2,60,0,26,25.5,60,0,26,25.7,0,0,25,25.3,0,0,26,26.2,0,0
24,24.5,60,52,24,25.1,60,48,26,25.7,0,0,25,25.3,0,0,26,26.1,0,0
24,23.8,60,60,24,24.4,60,60,26,25.7,0,0,25,25.3,0,0,26,26.2,0,0
24,23.6,60,60,24,24.3,60,60,26,24.4,22,6,25,25.3,0,0,26,24.8,22,6
24,23.6,60,60,24,24.4,60,60,26,24.6,39,0,25,22.2,0,0,26,24.6,39,0
24,23.5,60,54,24,24.3,60,54,26,25.9,0,0,25,24.4,0,0,26,25.9,0,0
25,24.2,59,37,25,25,59,10,26,25.8,0,0,25,24.9,0,0,26,26.1,0,0
25,23.9,0,0,25,24.7,0,0,26,25.8,0,0,25,24.9,0,0,26,26.1,0,0
25,25,0,0,25,25.8,0,0,26,25.8,0,0,25,25.1,0,0,26,26,0,0
25,25.2,0,0,25,25.9,0,0,26,25.8,0,0,25,25.2,0,0,26,26,0,0
25,25.3,0,0,25,26,0,0,26,25.8,0,0,25,25.3,0,0,26,26,0,0
25,25.4,0,0,25,26,0,0,26,25.8,0,0,25,25.3,0,0,26,26,0,0
25,25.5,0,0,25,26,0,0,26,25.8,0,0,25,25.3,0,0,26,26,0,0
25,25.5,0,0,25,26.1,0,0,26,25.8,0,0,25,25.3,0,0,26,26,0,0
25,25.6,0,0,25,26.1,0,0,26,25.8,0,0,25,25.4,0,0,26,26.1,0,0
25,25.6,0,0,25,26.1,0,0,26,25.8,0,0,25,25.4,0,0,26,26.1,0,0
25,25.6,0,0,25,26.2,0,0,26,25.8,0,0,25,25.5,0,0,26,26.1,0,0
25,25.8,1,1,25,26.2,0,0,26,25.9,0,0,25,25.5,0,0,26,26.1,0,0
25,23.8,53,53,25,24.8,53,10,26,25.8,0,0,25,25.5,0,0,26,26.2,0,0
25,24.1,60,24,25,25.3,60,0,26,25.8,0,0,25,25.5,0,0,26,26.1,0,0
25,23.6,60,57,25,25.2,60,6,26,25.1,19,6,25,24.5,0,0,26,25.2,19,6
25,23.7,60,0,25,24.6,60,0,26,25,60,0,25,22.2,0,0,26,24.8,60,0
25,24,60,48,25,25.4,60,0,26,25.4,60,0,25,23.7,0,0,26,25.5,60,0
25,23.5,60,60,25,25.3,60,0,26,25.4,15,0,25,24.3,0,0,26,25.6,15,0
25,23.5,60,49,25,25.2,60,0,26,26.2,0,0,25,25,0,0,26,26.4,0,0
25,24.1,60,49,25,25.4,60,10,26,25.2,39,0,25,24.2,39,39,26,25.5,39,0
25,23.9,60,60,25,25.1,60,12,26,24.9,60,1,25,23.5,60,60,26,25.2,60,1
25,23.7,60,60,25,24.8,60,9,26,24.4,56,6,25,23.6,56,17,26,24.4,56,6
25,23.8,60,60,25,24.8,60,31,25,25.9,0,0,25,25.1,0,0,25,25.7,0,0
25,23.8,60,60,25,25.1,60,12,25,26.1,0,0,25,25.7,0,0,25,26.2,0,0
25,23.8,60,60,25,25,60,18,25,26,0,0,25,25.5,0,0,25,26.2,0,0
25,23.7,0,0,25,24.5,0,0,25,26,0,0,25,25.6,0,0,25,26.2,0,0
25,24.8,0,0,25,25.8,0,0,25,25.9,0,0,25,25.4,0,0,25,26.1,0,0
25,25,0,0,25,26,0,0,25,25.9,0,0,25,25.4,0,0,25,26.1,0,0
25,25.2,0,0,25,26,0,0,25,25.9,0,0,25,25.4,0,0,25,26.1,0,0
25,25.3,0,0,25,26,0,0,25,25.9,0,0,25,25.5,0,0,25,26.1,0,0
25,25.3,0,0,25,26,0,0,25,25.9,0,0,25,25.5,0,0,25,26.1,0,0
25,25.3,0,0,25,26.1,0,0,25,25.9,0,0,25,25.5,0,0,25,26.1,0,0
25,25.4,0,0,25,26.1,0,0,25,25.9,0,0,25,25.5,0,0,25,26.1,0,0
25,25.4,0,0,25,26.1,0,0,25,25.9,0,0,25,25.6,0,0,25,26.1,0,0
24,24.1,31,31,24,24.6,31,31,25,25.9,3,0,25,25.6,3,0,25,26.1,3,0
24,23.6,60,40,24,24.3,60,42,25,24.7,60,10,25,24.5,60,10,25,24.9,60,10
24,23.6,60,60,24,24.1,60,60,25,23.8,60,1,25,23.4,60,20,25,23.8,60,0
24,23.3,60,46,24,24.1,60,60,25,23.4,60,54,25,23.9,60,57,25,23.7,60,51
24,24,60,0,24,23.7,60,60,25,22.3,60,14,25,23.1,60,60,25,22.5,60,60
24,24.3,60,0,24,23.7,60,60,25,22.7,60,0,25,23.3,60,60,25,22.6,60,60
24,24.4,60,0,24,23.8,60,60,25,22.9,60,0,25,23.2,60,60,25,22.7,60,44
24,24.5,60,21,24,24.1,60,60,25,23.9,60,26,25,23.4,60,60,25,23.8,60,24
24,23.7,60,60,24,23.7,60,60,25,22.3,60,47,25,23.2,60,60,25,22.5,60,60
24,23.4,60,60,24,23.6,60,60,25,22.6,60,4,25,23.5,60,60,25,22.5,60,60
24,23.2,11,11,24,23.6,11,11,25,22.7,60,2,25,23.4,60,60,25,22.4,60,60
24,23.5,0,0,24,23.7,0,0,25,22.5,3,0,25,23.4,3,3,25,22.1,3,3
24,24.7,0,0,24,25,0,0,25,25,0,0,25,24.5,0,0,25,23.8,0,0
24,25.2,0,0,24,25.5,0,0,25,25.3,0,0,25,24.7,0,0,25,24.4,0,0
24,25.4,0,0,24,25.7,0,0,25,25.3,0,0,25,24.8,0,0,25,24.7,0,0
24,25.6,0,0,24,25.8,0,0,25,25.3,0,0,25,24.9,0,0,25,24.9,0,0
24,25.5,0,0,24,25.9,0,0,25,25.3,0,0,25,25,0,0,25,25,0,0
24,25.4,0,0,24,25.9,0,0,25,25.3,0,0,25,25.1,0,0,25,25.2,0,0
24,25.4,0,0,24,25.8,0,0,25,25.3,0,0,25,25.1,0,0,25,25.2,0,0
24,25.4,0,0,24,25.8,0,0,25,25.4,0,0,25,25.1,0,0,25,25.3,0,0
24,25.4,0,0,24,25.8,0,0,25,25.4,0,0,25,25.2,0,0,25,25.3,0,0
24,25.5,0,0,24,25.8,0,0,25,25.4,0,0,25,25.2,0,0,25,25.3,0,0
24,25.4,0,0,24,25.8,0,0,25,25.4,0,0,25,25.2,0,0,25,25.3,0,0
24,25.4,0,0,24,25.9,0,0,25,25.4,0,0,25,25.3,0,0,25,25.3,0,0
23,23.8,33,33,23,24.3,33,33,25,25.4,0,0,25,25.3,0,0,25,25.4,0,0
23,22.9,60,60,23,23.7,60,60,25,24.4,58,0,25,24.3,57,0,25,24.5,57,0
23,23.2,60,52,26,24.4,60,18,25,24.6,60,18,25,24.5,60,20,25,24.7,60,7
25,23.9,60,60,25,24.7,60,6,25,22.6,60,60,25,23.6,60,60,25,22.7,60,60
26,24.3,60,60,26,24.8,60,0,25,22.5,60,14,25,23.6,60,60,25,22.5,60,60
26,24.1,60,60,26,25.2,60,0,25,22.8,60,0,25,23.6,60,60,25,22.5,60,60
23,24.1,60,60,23,25.2,60,21,25,22.8,60,0,24,23.6,60,60,24,22.4,60,60
23,23.5,60,60,23,24,60,60,24,22.7,60,17,24,23.8,60,60,24,22.5,60,60
23,23.8,60,60,23,23.9,60,60,24,22.5,60,60,24,23.8,60,60,24,22.5,60,60
23,23.9,60,60,23,23.9,60,60,23,22.5,60,60,24,23.8,60,60,23,22.6,60,60
23,23.8,60,60,23,23.9,60,60,23,22.2,60,60,24,23.4,60,60,23,22.3,60,60
23,23.3,60,32,23,23.5,60,32,23,21.5,60,60,24,22.8,60,60,23,21.8,60,60
25,23.8,60,50,25,24.8,60,0,23,20.6,60,60,24,22.8,60,14,23,21,60,60
25,23.4,60,60,25,25.1,60,0,23,20.7,60,60,24,24,60,0,23,21,60,60
25,23.4,44,44,25,24.4,44,12,23,20.8,21,21,24,24.2,21,0,23,21,21,21
25,23.9,0,0,25,25.2,0,0,23,23.6,0,0,24,25.3,0,0,23,22.8,0,0
25,24.4,0,0,25,25.7,0,0,23,24.2,0,0,24,25.4,0,0,23,23.6,0,0
25,24.6,0,0,25,25.8,0,0,23,24.5,0,0,24,25.4,0,0,23,24,0,0
25,24.9,0,0,25,25.9,0,0,23,24.8,0,0,24,25.4,0,0,23,24.4,0,0
25,25.1,0,0,25,25.9,0,0,23,24.9,0,0,24,25.3,0,0,23,24.5,0,0
25,25.2,0,0,25,25.9,0,0,23,25,0,0,24,25.4,0,0,23,24.7,0,0
25,25.3,0,0,25,25.9,0,0,23,25.1,0,0,24,25.4,0,0,23,24.8,0,0
25,25.3,0,0,25,26,0,0,23,25.2,0,0,24,25.5,0,0,23,25,0,0
25,25.4,0,0,25,26,0,0,23,25.3,0,0,24,25.5,0,0,23,25.1,0,0
25,24.4,34,34,25,24.7,34,17,23,24.9,0,0,24,25.7,0,0,23,25.2,0,0
25,23.8,60,60,25,25,60,0,23,22.2,39,39,24,23.4,39,39,23,22.6,39,39
25,23.8,60,60,25,25.1,60,28,24,22.2,60,18,24,23.1,60,21,24,22.3,60,19
25,23.8,60,60,25,25,60,27,24,21.9,60,60,23,23.1,60,60,24,22,60,60
25,23.9,60,60,25,24.6,60,60,24,21.5,60,60,23,23.3,60,60,24,21.6,60,60
24,23.9,60,60,24,24.6,60,55,25,22.7,60,34,24,23.6,60,60,25,22.7,60,30
24,23.5,60,60,24,24.4,60,60,25,22.4,60,39,25,23.6,60,60,24,22.3,60,53
23,23,60,60,23,24.1,60,60,25,23.5,60,36,25,23.7,60,60,25,23.4,60,8
23,23.3,60,60,23,24.5,60,60,25,23.4,60,41,25,23.6,60,60,25,23.8,60,15
23,23.2,60,60,23,23.8,60,60,25,22.3,60,60,25,23.5,60,60,25,22.5,60,60
23,22.7,60,60,23,23.9,60,60,25,22.9,60,7,25,23.5,60,60,25,22.6,60,34
23,22.7,60,31,23,23.9,60,31,25,24.5,37,0,25,23.3,37,37,25,24.2,36,0
24,24,60,24,24,24.6,60,24,25,25.7,0,0,25,24.6,0,0,25,25.3,0,0
25,24.6,60,29,25,25.1,60,30,25,25.5,0,0,25,25.2,0,0,25,25.5,0,0
25,23.8,36,36,25,24.5,36,12,25,25.5,0,0,25,25.3,0,0,25,25.5,0,0
25,24.3,0,0,25,25.4,0,0,25,25.5,0,0,25,25.3,0,0,25,25.5,0,0
25,24.6,0,0,25,25.8,0,0,25,25.6,0,0,25,25.4,0,0,25,25.5,0,0
25,24.8,0,0,25,26,0,0,25,25.6,0,0,25,25.5,0,0,25,25.5,0,0
25,25.1,0,0,25,26,0,0,25,25.6,0,0,25,25.5,0,0,25,25.6,0,0
25,25.2,0,0,25,26.1,0,0,25,25.6,0,0,25,25.6,0,0,25,25.6,0,0
25,25.3,0,0,25,26.1,0,0,25,25.7,0,0,25,25.7,0,0,25,25.6,0,0
25,25.3,0,0,25,26.1,0,0,25,25.7,0,0,25,25.8,0,0,25,25.7,0,0
25,25.4,0,0,25,26.1,0,0,25,25.7,0,0,25,25.8,0,0,25,25.7,0,0
25,25.5,0,0,25,26.2,0,0,25,25.8,0,0,25,25.9,0,0,25,25.7,0,0
25,25.5,0,0,25,26.2,0,0,25,25.8,0,0,25,25.9,0,0,25,25.8,0,0
25,25,14,14,25,25.7,14,14,25,23.7,23,23,25,24.6,23,23,25,24,24,23
26,24.5,60,1,25,24.6,60,40,25,24.1,60,13,25,23.6,60,60,25,24.1,60,0
26,25,60,0,25,24.5,60,60,24,22.9,60,60,24,23.8,60,60,24,23.3,60,49
26,25.1,60,0,25,24.3,60,46,24,21.7,60,60,24,23.1,60,60,24,21.8,60,60
26,25.2,60,0,26,25.2,60,0,24,21.4,60,60,24,22.8,60,60,24,21.6,60,60
24,23.8,60,60,24,25.1,60,13,24,22.7,60,22,24,23.5,60,26,24,22.8,60,22
25,23.4,60,60,25,25.3,60,0,26,23.9,60,14,26,24.9,60,39,25,23.9,60,37
25,23.4,60,60,25,25.2,60,0,26,22.7,60,0,26,23.8,60,60,25,22.3,60,60
24,23.4,60,60,24,24.7,60,46,26,22.7,60,6,26,23.8,60,60,25,22.5,60,46
23,23.1,60,58,23,23.7,60,58,26,23.3,60,0,26,24.1,60,47,25,22.9,60,60
23,23.5,60,43,23,24.1,60,38,26,23.1,35,0,26,24.9,35,0,25,22.5,35,35
23,23.1,60,60,23,24.1,60,60,25,25.5,0,0,25,26.2,0,0,25,24.5,0,0
23,22.7,60,60,23,24,60,60,25,25.7,0,0,25,26.2,0,0,25,25.1,0,0
23,22.8,60,60,23,24,60,60,25,25.7,0,0,25,26.1,0,0,25,25.3,0,0
23,23.2,0,0,23,24,0,0,25,24.8,0,0,25,25.2,0,0,25,24.3,0,0
23,24.5,0,0,23,25.3,0,0,25,25.1,0,0,25,25.2,0,0,25,24.1,0,0
23,24.7,0,0,23,25.5,0,0,25,25.3,0,0,25,25.3,0,0,25,24.5,0,0
23,24.9,0,0,23,25.7,0,0,25,25.4,0,0,25,25.5,0,0,25,24.9,0,0
23,25.2,0,0,23,25.8,0,0,25,25.5,0,0,25,25.7,0,0,25,25.2,0,0
23,25.3,0,0,23,25.9,0,0,25,25.6,0,0,25,25.7,0,0,25,25.3,0,0
23,25.3,0,0,23,25.9,0,0,25,25.6,0,0,25,25.8,0,0,25,25.4,0,0
23,25.3,0,0,23,26,0,0,25,25.7,0,0,25,25.9,0,0,25,25.5,0,0
23,25.4,0,0,23,26,0,0,25,25.8,0,0,25,26,0,0,25,25.7,0,0
23,25.5,0,0,23,26.1,0,0,25,25.8,0,0,25,26,0,0,25,25.7,0,0
25,24.1,34,34,25,24.6,34,34,25,23.7,24,24,25,24.7,24,24,25,24,25,16
25,23.9,60,32,25,24.5,60,22,25,23.8,60,32,25,23.9,60,60,25,23.9,60,22
25,23.6,60,26,25,24.4,60,15,25,22.5,60,34,25,24,60,60,25,22.7,60,60
25,23.5,60,52,25,24.6,60,27,25,23.1,60,0,25,24.4,60,60,25,22.5,60,60
26,23.8,60,0,25,23.8,60,37,26,23,60,0,26,24.3,60,60,25,22.4,60,45
26,24.3,60,0,25,23.9,60,42,26,23.2,60,0,25,24.2,60,60,25,22.6,60,58
26,24.4,60,0,25,24.2,60,27,26,23,60,0,25,24.1,60,60,25,22.3,60,60
24,24.4,60,6,24,23.9,60,36,26,23,60,0,25,24.1,60,60,25,22.2,60,60
24,23,60,60,24,23.4,60,60,26,23.1,60,7,25,24.1,60,60,25,22.7,60,40
24,22.7,60,60,24,23.4,60,60,26,23,60,0,25,23.7,60,60,25,22.3,60,60
24,22.8,60,60,24,23.7,60,31,26,23,60,0,25,23.5,60,60,25,22.4,60,42
24,22.9,60,60,24,24.1,60,32,26,24.7,27,0,25,23.4,27,27,25,24.3,27,0
24,23.2,60,48,24,24.3,60,48,26,26.1,0,0,25,24.8,0,0,25,25.5,0,0
26,24.4,60,0,25,24.7,60,37,26,26,0,0,25,25.2,0,0,25,25.7,0,0
26,24.5,0,0,25,24.4,0,0,26,26,0,0,25,25.3,0,0,25,25.8,0,0
26,25.6,0,0,25,25.3,0,0,26,25.9,0,0,25,25.4,0,0,25,25.6,0,0
26,25.5,0,0,25,25.4,0,0,26,25.9,0,0,25,25.6,0,0,25,25.6,0,0
26,25.5,0,0,25,25.6,0,0,26,25.9,0,0,25,25.5,0,0,25,25.6,0,0
26,25.4,0,0,25,25.7,0,0,26,25.9,0,0,25,25.6,0,0,25,25.7,0,0
26,25.4,0,0,25,25.7,0,0,26,25.9,0,0,25,25.7,0,0,25,25.7,0,0
26,25.4,0,0,25,25.8,0,0,26,25.9,0,0,25,25.8,0,0,25,25.8,0,0
26,25.5,0,0,25,25.8,0,0,26,25.9,0,0,25,25.9,0,0,25,25.9,0,0
26,25.5,0,0,25,26,0,0,26,26,0,0,25,26,0,0,25,25.9,0,0
26,25.6,0,0,25,26,0,0,26,26,0,0,25,26,0,0,25,26,0,0
26,24.8,41,0,25,24.8,41,41,26,26,0,0,25,26,0,0,25,26.1,0,0
26,24.9,60,0,25,24.9,60,32,26,26.2,0,0,25,26.2,0,0,25,26.3,0,0
26,25.2,60,0,25,24.9,60,43,26,26.2,0,0,25,26.2,0,0,25,26.5,0,0
26,25,60,5,25,24.8,60,40,26,26.3,0,0,25,26.3,0,0,25,26.6,0,0
26,24.8,60,0,25,24.4,60,41,26,23.6,30,12,25,25,30,30,25,23.6,30,30
26,25.2,60,0,25,24.5,60,60,26,23,52,0,25,24,52,52,25,22.4,52,40
26,25.3,60,0,25,24.7,60,60,26,25.9,0,0,25,25.6,0,0,25,24.9,0,0
24,25,60,26,24,24.8,60,60,26,26.3,0,0,25,26.1,0,0,25,25.9,0,0
24,24,60,60,24,24.6,60,60,26,26.4,0,0,25,26.2,0,0,25,26.2,0,0
24,24,60,60,24,24.6,60,60,26,26.5,0,0,25,26.3,0,0,25,26.4,0,0
24,24.1,60,60,24,24.6,60,60,26,25.3,0,0,25,25.5,0,0,25,25.2,0,0
24,23.8,60,60,24,24.6,60,60,26,25.6,0,0,25,25.8,0,0,25,25.5,0,0
24,23.6,60,60,24,24.5,60,60,26,25.8,0,0,25,26,0,0,25,25.8,0,0
24,23.5,60,60,24,24.5,60,60,26,25.5,0,0,25,25.8,0,0,25,25.5,0,0
24,23.7,0,0,24,24.5,0,0,26,25.3,0,0,25,25.5,0,0,25,25.1,0,0
24,25,0,0,24,25.3,0,0,26,25.6,0,0,25,25.5,0,0,25,25.1,0,0
24,25.3,0,0,24,25.7,0,0,26,25.8,0,0,25,25.9,0,0,25,25.6,0,0
24,25.4,0,0,24,25.9,0,0,26,26,0,0,25,26.1,0,0,25,26,0,0
24,25.5,0,0,24,26,0,0,26,26.2,0,0,25,26.2,0,0,25,26.1,0,0
24,25.6,0,0,24,26.1,0,0,26,26.2,0,0,25,26.3,0,0,25,26.2,0,0
24,25.6,0,0,24,26.1,0,0,26,26.2,0,0,25,26.3,0,0,25,26.3,0,0
24,25.7,0,0,24,26.2,0,0,26,26.3,0,0,25,26.4,0,0,25,26.4,0,0
24,25.7,0,0,24,26.2,0,0,26,26.3,0,0,25,26.6,0,0,25,26.5,0,0
24,25.7,0,0,24,26.3,0,0,26,26.4,0,0,25,26.6,0,0,25,26.6,0,0
26,24.8,43,12,25,25.1,43,43,26,26.4,0,0,25,26.6,0,0,25,26.6,0,0
26,25,60,0,25,24.9,60,34,26,26.4,0,0,25,26.6,0,0,25,26.7,0,0
26,25.2,60,0,25,24.8,60,60,26,26.4,0,0,25,26.6,0,0,25,26.6,0,0
26,24.9,60,0,25,24.7,60,54,26,26.3,0,0,25,26.7,0,0,25,26.7,0,0
26,24.9,60,0,25,24.7,60,49,26,26.4,0,0,25,26.7,0,0,25,26.8,0,0
26,25.3,60,0,25,24.9,60,53,26,26.6,0,0,25,26.9,0,0,25,27,0,0
26,25,60,4,25,25,60,34,26,25.8,0,0,25,25.9,0,0,25,25.8,0,0
26,25,60,0,25,25,60,33,26,26,0,0,25,26,0,0,25,25.9,0,0
26,25,60,12,25,25,60,60,26,26.3,0,0,25,26.8,0,0,25,26.3,0,0
24,23.8,60,60,24,24.8,60,60,26,26.2,0,0,25,26.9,0,0,25,26.4,0,0
24,23.6,60,60,24,24.7,60,41,26,26.3,0,0,25,26.9,0,0,25,26.7,0,0
24,23.7,60,60,24,24.8,60,40,26,26.3,0,0,25,26.9,0,0,25,27,0,0
24,23.5,60,60,24,24.1,60,60,25,23.8,59,59,25,24.7,59,59,25,24.1,59,59
24,23.5,60,60,24,24.4,60,36,25,23.2,10,5,25,23.6,10,10,25,23.3,10,0
24,23.4,0,0,24,24.4,0,0,25,25.3,0,0,25,25.3,0,0,25,25.7,0,0
24,24.9,0,0,24,25.5,0,0,25,25.9,0,0,25,26,0,0,25,26.2,0,0
24,25.2,0,0,24,25.7,0,0,25,26.2,0,0,25,26.2,0,0,25,26.5,0,0
24,25.4,0,0,24,25.9,0,0,25,26.3,0,0,25,26.4,0,0,25,26.6,0,0
24,25.5,0,0,24,26,0,0,25,26.4,0,0,25,26.4,0,0,25,26.7,0,0
24,25.7,0,0,24,26.1,0,0,25,26.4,0,0,25,26.5,0,0,25,26.7,0,0
24,25.7,0,0,24,26.1,0,0,25,26.5,0,0,25,26.5,0,0,25,26.7,0,0
24,25.8,0,0,24,26.2,0,0,25,26.5,0,0,25,26.6,0,0,25,26.8,0,0
24,25.9,0,0,24,26.2,0,0,25,26.5,0,0,25,26.7,0,0,25,26.8,0,0
23,24.2,34,34,24,25,34,34,25,25.7,0,0,25,26,0,0,25,25.9,0,0
23,23.6,60,60,24,24.8,60,26,25,25.4,0,0,25,25.8,0,0,25,25.3,0,0
24,23.9,60,60,25,25.5,60,0,24,23.1,50,50,24,24.4,50,50,24,23.3,50,50
25,23.6,60,60,25,25.2,60,24,24,22.6,60,60,24,24.2,60,60,24,22.7,60,60
25,23.7,60,60,25,25.2,60,5,24,22.5,60,60,24,24.5,60,60,24,22.6,60,60
25,23.9,60,24,25,25.3,60,21,24,22,60,60,24,24.1,60,60,24,22.2,60,60
24,24.8,60,39,24,24.5,60,60,24,22.4,60,60,24,24.5,60,60,24,22.6,60,60
24,24.1,60,60,24,24.5,60,60,24,23.1,60,60,24,25,60,60,24,23.2,60,60
24,24.8,60,60,24,25,60,60,24,23.2,60,60,24,25,60,60,24,23.3,60,60
24,24.2,60,60,24,24.3,60,60,24,23.2,60,60,24,25.1,60,60,24,23.3,60,60
24,24,60,60,24,24.1,60,33,24,22.6,60,60,24,24.5,60,60,24,22.8,60,60
25,24.1,60,60,25,24.9,60,9,24,21.9,40,40,24,23.4,40,40,24,22.1,40,40
25,25.1,60,4,25,25.1,60,4,24,21.7,0,0,24,22.6,0,0,24,22.7,0,0
25,25.8,60,21,25,25.7,60,21,24,24,0,0,24,24.8,0,0,24,25.3,0,0
25,24.6,41,41,25,25.1,41,41,24,24.2,0,0,24,24.9,0,0,24,25.4,0,0
25,24.8,0,0,25,25.4,0,0,24,25.1,0,0,24,25.8,0,0,24,25.7,0,0
25,25.1,0,0,25,25.6,0,0,24,25.6,0,0,24,26.2,0,0,24,25.8,0,0
25,25.3,0,0,25,25.8,0,0,24,25.7,0,0,24,26.2,0,0,24,26,0,0
25,25.5,0,0,25,26.1,0,0,24,25.9,0,0,24,26.3,0,0,24,26.2,0,0
25,25.7,0,0,25,26.2,0,0,24,25.8,0,0,24,26.4,0,0,24,26.2,0,0
25,25.8,0,0,25,26.2,0,0,24,25.9,0,0,24,26.4,0,0,24,26.2,0,0
25,25.8,0,0,25,26.3,0,0,24,25.8,0,0,24,26.4,0,0,24,26.3,0,0
