リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
27,33.2,0,0,27,33,0,0,26,33.4,0,0
27,33.3,0,0,27,33.2,0,0,26,33.6,0,0
27,33.5,0,0,27,33.3,0,0,26,33.8,0,0
27,33.6,0,0,27,33.4,0,0,26,33.9,0,0
27,33.6,0,0,27,33.5,0,0,26,34,0,0
27,33.7,0,0,27,33.6,0,0,26,34.1,0,0
27,33.8,0,0,27,33.6,0,0,26,34.2,0,0
27,34.2,1,1,27,33.7,1,1,26,33.5,1,1
27,29.4,60,60,27,29.6,60,60,26,30,60,60
27,28.1,60,60,27,28.2,60,60,26,28.7,60,60
27,27.9,60,60,27,28.1,60,60,26,28.3,60,60
27,27.8,60,60,27,28.2,60,60,26,28.2,60,60
27,27.8,60,60,27,28.5,60,60,26,28.2,60,60
27,27.7,60,60,27,28.1,60,60,26,28.2,60,60
27,27.8,60,60,27,28.3,60,60,26,28.2,60,60
27,27.9,60,60,27,28.4,60,60,26,28.3,60,60
27,27.9,60,60,27,28.3,60,60,26,28.3,60,60
27,27.7,60,60,27,27.9,60,60,26,28.1,60,60
27,28.3,53,53,27,28.2,53,53,26,28.9,53,53
27,27.8,60,60,27,27.5,60,60,26,28.2,60,60
27,27.6,0,0,27,27.3,0,0,26,28.1,0,0
27,31.5,0,0,27,31.5,0,0,26,31.9,0,0
27,33.2,0,0,27,33.1,0,0,26,33.9,0,0
27,33.3,0,0,27,33.3,0,0,26,34.1,0,0
27,33.5,0,0,27,33.5,0,0,26,34.2,0,0
27,33.6,0,0,27,33.5,0,0,26,34.2,0,0
27,33.8,0,0,27,33.6,0,0,26,34.2,0,0
27,33.9,0,0,27,33.7,0,0,26,34.2,0,0
27,33.9,0,0,27,33.7,0,0,26,34.3,0,0
27,33.9,0,0,27,33.8,0,0,26,34.3,0,0
27,34,0,0,27,33.8,0,0,26,34.3,0,0
27,34.1,0,0,27,33.8,0,0,26,34.4,0,0
27,34.2,0,0,27,33.9,0,0,26,34.4,0,0
27,34.2,0,0,27,33.9,0,0,26,34.4,0,0
27,33.9,0,0,27,33.6,0,0,26,32.7,0,0
27,33.8,0,0,27,33.5,0,0,26,32.4,0,0
27,32.1,0,0,27,31.6,0,0,26,29.2,0,0
27,31.6,0,0,27,31.2,0,0,26,29.1,0,0
27,30.9,0,0,27,30.6,0,0,26,30.5,0,0
27,30.2,0,0,27,31.2,0,0,26,31.3,0,0
27,30.3,0,0,27,31.5,0,0,26,31.5,0,0
27,31,0,0,27,31.9,0,0,26,31.6,0,0
27,32.3,0,0,27,32.8,0,0,26,32.6,0,0
27,33.3,0,0,27,33.6,0,0,26,33.6,0,0
27,33.1,0,0,27,33.3,0,0,26,33.1,0,0
27,33.9,0,0,27,34,0,0,26,34.1,0,0
27,33.8,0,0,27,33.9,0,0,26,34,0,0
27,34.1,0,0,27,34.2,0,0,26,34.5,0,0
27,34.2,0,0,27,34.2,0,0,26,34.7,0,0
27,34.5,0,0,27,34.3,0,0,26,34.8,0,0
27,34.6,0,0,27,34.4,0,0,26,34.9,0,0
27,34.7,0,0,27,34.5,0,0,26,35,0,0
27,34.7,0,0,27,34.5,0,0,26,35,0,0
27,34.7,0,0,27,34.5,0,0,26,35,0,0
27,32.8,20,20,27,32.3,20,20,26,33.1,20,20
27,30.1,60,60,27,29.8,60,60,26,31.4,60,60
27,28.8,60,60,27,28.9,60,60,26,29.9,60,60
27,27.8,60,60,27,27.8,60,60,26,28.5,60,60
26,27.6,60,60,26,27.5,60,60,26,27.9,60,60
26,27.8,60,60,26,27.9,60,60,26,28.1,60,60
26,28,60,60,26,28.4,60,60,26,28.3,60,60
25,28,60,60,25,28.3,60,60,26,28,60,60
25,27.7,60,60,25,27.7,60,60,26,27.9,60,60
25,27.7,60,60,25,28,60,60,26,27.8,60,60
25,28,60,60,25,28.6,60,60,26,27.8,60,60
25,28.1,60,60,25,28.6,60,60,26,27.9,60,60
25,28.9,56,56,25,28.5,56,56,25,29.4,56,56
25,28.7,60,60,25,28.4,60,60,25,29.8,60,60
25,29.6,0,0,25,29.2,0,0,25,30.1,0,0
25,30.2,0,0,25,30.3,0,0,25,31,0,0
25,32.3,0,0,25,32.1,0,0,25,32.8,0,0
25,32.4,0,0,25,32.2,0,0,25,32.9,0,0
25,32.6,0,0,25,32.4,0,0,25,33,0,0
25,32.7,0,0,25,32.5,0,0,25,33,0,0
25,32.7,0,0,25,32.5,0,0,25,33,0,0
25,32.7,0,0,25,32.5,0,0,25,33,0,0
25,32.7,0,0,25,32.4,0,0,25,33,0,0
25,32.7,0,0,25,32.4,0,0,25,33,0,0
25,31.1,14,14,25,31.2,14,14,25,31.5,14,14
25,27.8,60,60,25,28.2,60,60,25,28.1,60,60
25,26.7,60,60,25,26.8,60,60,25,27.1,60,60
27,27.1,60,20,27,27,60,60,25,27.3,60,60
27,27,60,60,27,27.3,60,60,25,27.3,60,60
27,26.9,60,60,27,27.2,60,60,25,27.3,60,60
27,26.9,60,60,27,27.6,60,60,27,27.3,60,60
27,26.8,60,60,27,27.5,60,60,27,27.2,60,60
27,27.1,60,21,27,27.5,60,60,27,27.3,60,60
27,26.9,60,60,27,27.4,60,60,27,27.2,60,60
27,26.8,60,60,27,27.4,60,60,27,27.1,60,60
27,26.7,60,60,27,27.3,60,60,27,26.9,60,60
27,26.6,0,0,27,27.2,0,0,27,26.9,0,0
27,28,0,0,27,27.1,0,0,27,25.1,0,0
27,28.5,0,0,27,28.1,0,0,27,26.9,0,0
27,29.3,0,0,27,28.8,0,0,27,26.8,0,0
27,29.9,0,0,27,29.7,0,0,27,28.8,0,0
27,30.1,0,0,27,30,0,0,27,29.8,0,0
27,30.4,0,0,27,30.1,0,0,27,30,0,0
27,30.4,0,0,27,30.2,0,0,27,30.1,0,0
27,30.5,0,0,27,30.3,0,0,27,30.3,0,0
27,30.6,0,0,27,30.3,0,0,27,30.4,0,0
27,30.6,0,0,27,30.3,0,0,27,30.3,0,0
27,30.6,0,0,27,30.3,0,0,27,30.3,0,0
27,29.4,15,15,27,29.6,15,15,27,29.5,15,15
27,27.2,60,48,27,27.9,60,60,27,27.7,60,48
27,26.8,60,0,27,26.9,60,60,27,27.2,60,27
27,27,60,52,27,27.2,60,60,27,27.2,60,60
27,26.9,60,60,27,27.2,60,60,27,27.2,60,60
27,26.8,60,60,27,27.2,60,60,27,27.2,60,60
27,26.8,60,54,27,27.2,60,60,27,27.1,60,60
27,27.1,60,18,27,27.2,60,60,27,27.2,60,60
27,26.8,60,60,27,27,60,60,27,27,60,60
27,26.9,60,36,27,27,60,60,27,26.9,60,60
27,27.1,60,53,27,27.1,60,60,27,27,60,60
27,26.8,60,60,27,27.1,60,60,27,26.8,60,60
27,27.8,39,39,27,28,39,39,27,28.1,39,39
27,26.8,60,60,27,26.9,60,60,27,26.6,60,14
27,26.6,0,0,27,26.7,0,0,27,26.5,0,0
27,29.1,0,0,27,29,0,0,27,29.7,0,0
27,30.1,0,0,27,29.9,0,0,27,30.6,0,0
27,30.3,0,0,27,30,0,0,27,30.8,0,0
27,30.5,0,0,27,30.1,0,0,27,30.9,0,0
27,30.7,0,0,27,30.2,0,0,27,31,0,0
27,30.5,0,0,27,30.1,0,0,27,30.7,0,0
27,30.4,0,0,27,30.1,0,0,27,30.5,0,0
27,30.3,0,0,27,30.1,0,0,27,30.4,0,0
27,30.3,0,0,27,30,0,0,27,30.4,0,0
27,29.2,14,14,27,29.1,14,14,27,29.3,14,14
27,27.3,60,58,27,28.1,60,60,27,28.4,60,60
27,26.5,60,0,27,26.9,60,60,27,26.7,60,17
27,27,60,41,27,26.8,60,60,27,27.2,60,0
27,26.7,60,60,27,26.8,60,60,27,27.2,60,47
27,27.1,60,30,27,26.9,60,8,27,26.8,60,60
27,27.3,60,60,27,27.4,60,8,27,27,60,60
27,26.7,60,50,27,26.9,60,60,27,26.8,60,60
27,27.1,60,8,27,26.9,60,60,27,26.7,60,31
27,26.9,60,60,27,26.8,60,60,27,27.2,60,0
27,26.8,60,52,27,26.7,60,60,27,27.3,60,15
27,27.1,60,37,27,26.8,60,60,27,26.7,60,46
27,27,51,51,27,26.9,51,43,27,27.1,51,42
27,26.9,60,60,27,26.9,60,0,27,26.7,60,20
27,27,0,0,27,27.2,0,0,27,26.8,0,0
27,28.9,0,0,27,29.2,0,0,27,29.3,0,0
27,29.4,0,0,27,29.5,0,0,27,29.9,0,0
27,29.6,0,0,27,29.6,0,0,27,30,0,0
27,29.5,0,0,27,29.5,0,0,27,29.8,0,0
27,29.5,0,0,27,29.5,0,0,27,29.7,0,0
27,29.6,0,0,27,29.4,0,0,27,29.7,0,0
27,29.6,0,0,27,29.4,0,0,27,29.7,0,0
27,29.6,0,0,27,29.4,0,0,27,29.6,0,0
27,29.6,0,0,27,29.4,0,0,27,29.6,0,0
27,28.5,15,15,27,28.4,15,15,27,28.5,15,15
27,27,60,39,27,27.3,60,60,27,27.8,60,60
27,26.6,60,0,27,26.7,60,3,27,26.5,60,2
27,27,60,60,27,27,60,0,27,26.8,60,0
27,27,60,60,27,27.3,60,18,27,27,60,0
27,26.8,60,34,27,26.7,60,60,27,26.8,60,22
27,27,60,41,27,26.6,60,40,27,27.3,60,0
27,26.8,60,60,27,26.8,60,0,27,27.2,60,0
27,26.8,60,60,27,27,60,21,27,27,60,10
27,26.9,60,14,27,26.7,60,60,27,27.1,60,13
27,27.1,60,42,27,26.5,60,36,27,26.8,60,60
27,27,60,60,27,27,60,13,27,26.9,60,60
27,27.2,56,56,27,27.3,56,54,27,27.3,56,45
27,26.6,60,60,27,26.6,60,28,27,26.7,60,60
27,27,0,0,27,27,0,0,27,26.5,0,0
27,27,0,0,27,27.6,0,0,27,24.3,0,0
27,27.8,0,0,27,28.2,0,0,27,26.3,0,0
27,28.7,0,0,27,29,0,0,27,28.5,0,0
27,29.1,0,0,27,29.2,0,0,27,28.8,0,0
27,29.2,0,0,27,29.2,0,0,27,28.9,0,0
27,29.2,0,0,27,29.3,0,0,27,29,0,0
27,29.3,0,0,27,29.3,0,0,27,29,0,0
27,29.3,0,0,27,29.3,0,0,27,29.2,0,0
27,29.5,0,0,27,29.3,0,0,27,29.3,0,0
27,29.5,0,0,27,29.3,0,0,27,29.4,0,0
27,29,6,6,27,28.8,6,6,27,29,6,6
27,27,60,53,27,27.1,60,53,27,26.9,60,40
27,27.2,60,37,27,27,60,0,27,26.8,60,60
27,27.2,60,60,27,27.2,60,0,27,26.8,60,60
27,27.1,60,60,27,27.3,60,0,27,26.7,60,60
27,26.8,60,60,27,26.9,60,33,27,26.7,60,60
27,26.9,60,60,27,27,60,0,27,26.9,60,60
27,27.2,60,60,27,27.2,60,0,27,26.9,60,60
27,26.8,60,59,27,27.1,60,53,27,26.7,60,60
27,27,60,3,27,26.7,60,48,27,26.7,60,57
27,27.5,60,60,27,27.2,60,14,27,27.2,60,0
27,27.3,59,53,27,27.4,59,54,27,27.3,59,40
27,26.7,60,60,27,26.8,60,57,27,26.3,60,1
27,26.5,0,0,27,26.5,0,0,27,26.2,0,0
27,28.8,0,0,27,28.6,0,0,27,29.2,0,0
27,29.9,0,0,27,29.4,0,0,27,30,0,0
27,29.8,0,0,27,29.5,0,0,27,30.1,0,0
27,29.8,0,0,27,29.5,0,0,27,30.2,0,0
27,29.8,0,0,27,29.6,0,0,27,30,0,0
27,29.9,0,0,27,29.6,0,0,27,30,0,0
27,29.9,0,0,27,29.6,0,0,27,30,0,0
27,29.9,0,0,27,29.7,0,0,27,30,0,0
27,29.9,0,0,27,29.6,0,0,27,30,0,0
27,30,0,0,27,29.6,0,0,27,30,0,0
27,28.9,0,0,27,27.5,0,0,27,29.9,0,0
27,27.1,0,0,27,25.5,0,0,27,29.8,0,0
27,26.2,0,0,27,25.8,0,0,27,29.8,0,0
27,26.7,0,0,27,26.9,0,0,27,28.7,0,0
27,27.3,0,0,27,27,0,0,27,28.4,0,0
27,28.1,0,0,27,27.3,0,0,27,28.2,0,0
27,28.4,0,0,27,27.6,0,0,27,28.3,0,0
27,28.3,0,0,27,27.8,0,0,27,28.3,0,0
27,28.7,0,0,27,28,0,0,27,28.3,0,0
27,28.6,0,0,27,28.1,0,0,27,28.5,0,0
27,28.4,0,0,27,28.1,0,0,27,28.2,0,0
27,28.8,0,0,27,28.5,0,0,27,28.6,0,0
27,30,0,0,27,29.8,0,0,27,29.7,0,0
27,30.4,0,0,27,30.2,0,0,27,30,0,0
27,30,0,0,27,29.9,0,0,27,29.9,0,0
27,30.3,0,0,27,30.2,0,0,27,30.1,0,0
27,30.4,0,0,27,30.3,0,0,27,30.3,0,0
27,30.7,0,0,27,30.5,0,0,27,30.7,0,0
27,30.9,0,0,27,30.6,0,0,27,30.9,0,0
27,30.9,0,0,27,30.6,0,0,27,30.9,0,0
27,31,0,0,27,30.7,0,0,27,31,0,0
27,31,0,0,27,30.6,0,0,27,31,0,0
27,31,0,0,27,30.7,0,0,27,31.1,0,0
27,29.3,20,20,27,29.4,20,20,27,29.4,20,20
27,27.3,60,50,27,27.5,60,60,27,28.4,60,60
27,27,60,19,27,26.8,60,60,27,28.1,60,60
27,27.1,60,27,27,27.1,60,60,27,28.2,60,60
27,27.3,60,60,27,27.3,60,60,27,27.7,60,60
27,27.4,60,45,27,27.4,60,60,27,27.5,60,60
28,28.1,60,0,28,27.6,60,60,28,27.7,60,54
28,27.9,60,49,28,27.7,60,60,28,27.9,60,49
28,27.7,60,60,28,27.8,60,60,28,27.8,60,56
