リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
25,26.5,0,0,25,25.4,0,0,25,27.3,0,0,25,27.1,0,0,25,28,0,0,25,27.2,0,0
25,26.5,0,0,25,25.6,0,0,25,27.3,0,0,25,27.1,0,0,25,28.1,0,0,25,27.4,0,0
25,26.5,0,0,25,25.8,0,0,25,27.4,0,0,25,27.1,0,0,25,28.3,0,0,25,27.6,0,0
25,26.6,0,0,25,26,0,0,25,27.4,0,0,25,27.1,0,0,25,28.5,0,0,25,27.8,0,0
25,26.6,0,0,25,26,0,0,25,27.4,0,0,25,27.1,0,0,25,28.6,0,0,25,27.9,0,0
25,26.8,0,0,25,26.2,0,0,25,27.5,0,0,25,27.2,0,0,25,28.7,0,0,25,28,0,0
25,26.9,0,0,25,26.2,0,0,25,27.6,0,0,25,27.3,0,0,25,28.7,0,0,25,28.1,0,0
25,26.9,0,0,25,26.2,0,0,25,27.6,0,0,25,26.7,5,5,25,28.9,0,0,25,28.1,0,0
25,26.8,0,0,25,22.8,0,0,25,28,0,0,25,25.1,60,53,26,27.8,19,19,26,25.4,19,12
25,26.7,0,0,25,22.5,0,0,25,28.1,0,0,25,24.7,60,28,27,26.8,60,60,27,25.8,60,20
25,25.1,53,35,25,22.3,0,0,25,25.1,53,25,26,25.2,60,0,27,26.8,60,60,27,26.5,60,0
25,24.9,60,19,25,21.9,0,0,25,24.9,60,22,26,25.6,60,4,27,26.9,60,60,27,26.6,60,12
25,25,60,18,25,22.5,0,0,25,24.9,60,19,25,25.8,60,24,27,27.3,60,60,27,27,60,0
24,24.4,60,40,25,22.2,0,0,24,24.3,60,33,26,25.2,60,16,26,27.4,60,60,26,26.7,60,48
