リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,28.7,0,0,26,27.6,0,0
26,28.5,0,0,26,27.5,0,0
26,28.5,0,0,26,27.4,0,0
26,28.3,0,0,26,27.3,0,0
26,28.3,0,0,26,27.1,0,0
26,28.2,0,0,26,27,0,0
26,28.1,0,0,26,26.9,0,0
26,28,0,0,26,27.1,0,0
26,28,0,0,26,27.2,0,0
26,27.9,0,0,26,27.2,0,0
26,28,0,0,26,27.2,0,0
26,28,0,0,26,27.2,0,0
26,27.1,60,22,26,26.4,60,57
26,27.4,0,0,26,27.1,0,0
26,26.6,60,20,26,26.7,60,57
26,27.9,0,0,26,27.5,0,0
26,26.5,60,21,26,26.9,60,57
26,27.7,0,0,26,28.1,0,0
26,26.4,60,19,26,27.3,60,57
26,28.1,0,0,26,28.4,0,0
26,27.5,60,21,26,27.2,60,57
26,28.4,0,0,26,28,0,0
26,29.5,0,0,26,27.5,0,0
26,29.2,0,0,26,27.3,0,0
26,28.6,0,0,26,27,0,0
26,28.4,0,0,26,26.6,0,0
26,28.4,0,0,26,26.7,0,0
26,28.3,0,0,26,26.9,0,0
26,28.4,0,0,26,27,0,0
26,28.1,0,0,26,27,0,0
26,28.1,0,0,26,26.9,0,0
26,28,0,0,26,26.4,0,0
26,28,0,0,26,26.8,0,0
26,28,0,0,26,26.7,0,0
26,27.9,0,0,26,27.1,0,0
26,28,0,0,26,27.2,0,0
26,28.1,0,0,26,27.3,0,0
26,28.1,0,0,26,27.7,0,0
26,28.1,0,0,26,27.8,0,0
26,28.1,0,0,26,28,0,0
26,28.2,0,0,26,28.1,0,0
26,28.6,0,0,26,28.1,0,0
26,28.7,0,0,26,27.9,0,0
26,28.6,0,0,26,28,0,0
26,28.4,0,0,26,27.8,0,0
26,28.8,0,0,26,28.1,0,0
26,28.6,0,0,26,27.7,0,0
26,28.8,0,0,26,27.5,0,0
26,28.9,0,0,26,27.3,0,0
26,28.3,0,0,26,27.4,0,0
26,28.6,0,0,26,27.8,0,0
26,28.6,0,0,26,27.6,0,0
26,28.6,0,0,26,27.7,0,0
26,28.5,0,0,26,28,0,0
26,28.3,0,0,26,27.9,0,0
26,28.1,0,0,26,28,0,0
26,27.8,0,0,26,27.7,0,0
26,27.8,0,0,26,27.7,0,0
26,27.9,0,0,26,27.9,0,0
26,28,0,0,26,28,0,0
26,28.2,0,0,26,28.1,0,0
26,28.5,0,0,26,28.2,0,0
26,28.7,0,0,26,28.4,0,0
26,29,0,0,26,28.4,0,0
26,28.9,0,0,26,28.4,0,0
26,28.3,0,0,26,28.1,0,0
26,28.3,0,0,26,28,0,0
26,28.1,0,0,26,28,0,0
26,28.6,0,0,26,28,0,0
26,28.2,0,0,26,28.1,0,0
26,28.5,0,0,26,28.1,0,0
26,28.1,0,0,26,28.1,0,0
26,28.1,0,0,26,28.1,0,0
26,28.3,0,0,26,28,0,0
26,28.6,0,0,26,28,0,0
26,28,0,0,26,27.8,0,0
26,27.8,0,0,26,28,0,0
26,27.8,0,0,26,28,0,0
26,28,0,0,26,28.1,0,0
26,28,0,0,26,28.2,0,0
26,28,0,0,26,28.2,0,0
26,28.1,0,0,26,28.2,0,0
26,28.5,0,0,26,28.4,0,0
26,29.4,1,0,26,30.1,1,0
26,26.5,60,20,26,27.8,60,57
26,28.1,0,0,26,28.8,0,0
26,27.9,60,22,26,28.8,60,7
26,30.7,0,0,26,31,0,0
26,27.4,60,23,26,28.4,60,57
26,30,0,0,26,30.3,0,0
26,27.3,60,24,26,28.5,60,57
26,29,0,0,26,30,0,0
26,26.9,60,20,26,28.5,60,57
26,28.6,0,0,26,29,0,0
26,30.7,0,0,26,29.7,0,0
26,30.2,0,0,26,29.1,0,0
26,29.6,0,0,26,28.1,0,0
26,29.4,0,0,26,28,0,0
26,29.2,0,0,26,27.6,0,0
26,29,0,0,26,27.6,0,0
26,29,0,0,26,27.8,0,0
26,28.6,0,0,26,27.4,0,0
26,28.6,0,0,26,27.6,0,0
26,28.7,0,0,26,27.7,0,0
26,28.5,0,0,26,27.6,0,0
26,28.4,0,0,26,27.4,0,0
26,28.2,0,0,26,27.7,0,0
26,28.8,1,0,26,28.4,1,0
26,26.8,60,21,26,27.6,60,57
26,26,60,17,26,27.3,60,60
26,26.7,60,19,26,27.5,60,49
26,26.2,60,20,26,27.1,60,60
26,26.9,60,14,26,27.2,60,49
26,26.5,60,17,26,27,60,60
26,26.4,60,18,26,27,60,50
26,26.3,60,19,26,27.2,60,59
26,26.1,60,16,26,26.8,60,60
26,26.4,59,19,26,26.9,59,48
26,27,0,0,26,25.8,0,0
26,29.2,0,0,26,28.2,0,0
26,29.2,0,0,26,27.3,0,0
26,28.1,0,0,26,24.4,0,0
26,28,0,0,26,24.5,0,0
26,27.8,0,0,26,25.1,0,0
26,27.3,0,0,26,25,0,0
26,27.7,0,0,26,25.7,0,0
26,27.9,0,0,26,25.8,0,0
26,27.9,0,0,26,25.8,0,0
26,28.1,0,0,26,26,0,0
26,28,0,0,26,26.2,0,0
26,28,0,0,26,26.4,0,0
26,28.6,1,0,26,27,1,0
26,27.9,60,4,26,26.1,60,57
26,28.8,0,0,26,27.3,0,0
26,28.2,60,4,26,26.6,60,32
26,28.9,0,0,26,27.5,0,0
26,26.9,60,14,26,26.3,60,47
26,29.4,0,0,26,28.1,0,0
26,27,60,19,26,26.6,60,30
26,28.1,0,0,26,27.8,0,0
26,27.3,60,19,26,26.8,60,17
26,27.3,0,0,26,27.2,0,0
26,28.7,0,0,26,27.2,0,0
26,28.4,0,0,26,26.5,0,0
26,28,0,0,26,26.2,0,0
26,27.8,0,0,26,26.2,0,0
26,27.8,0,0,26,26.3,0,0
26,27.9,0,0,26,26.3,0,0
26,27.9,0,0,26,26.1,0,0
26,27.8,0,0,26,25.4,0,0
26,27.9,0,0,26,25.5,0,0
26,27.8,0,0,26,25.4,0,0
26,27.7,0,0,26,25.4,0,0
26,27.8,0,0,26,25.5,0,0
26,27.6,0,0,26,25.4,0,0
26,27.6,1,0,26,26.2,1,0
26,27.5,60,12,26,26.5,60,0
26,27.5,60,19,26,26.8,60,0
26,27.5,60,23,26,26.9,60,0
26,26.3,60,10,26,26.1,60,57
26,26.4,60,18,26,25.7,60,45
26,27.6,60,8,26,26.5,60,0
26,28,60,0,26,26.5,60,0
26,28,60,0,26,26.5,60,0
26,28.1,60,0,26,26.5,60,0
26,28,59,0,26,26.5,59,0
26,28,0,0,26,27.4,0,0
26,29,0,0,26,28.8,0,0
26,28.5,0,0,26,27.6,0,0
26,28,0,0,26,27.2,0,0
26,27.7,0,0,26,26.7,0,0
26,27.7,0,0,26,26.5,0,0
26,27.9,0,0,26,26.2,0,0
26,27.7,0,0,26,26.2,0,0
26,27.5,0,0,26,26.1,0,0
26,27.5,0,0,26,26.1,0,0
26,27.4,0,0,26,26.1,0,0
26,27.4,0,0,26,25.9,0,0
26,27.4,0,0,26,25.9,0,0
26,27.3,0,0,26,25.9,0,0
26,27.7,60,0,26,26.4,60,0
26,28.1,0,0,26,26.9,0,0
26,28.1,60,0,26,26.5,60,0
26,29,0,0,26,29,0,0
26,27.6,60,17,26,26.6,60,0
26,28.7,0,0,26,28.3,0,0
26,27.5,60,21,26,26.8,60,0
26,27.3,0,0,26,26.6,0,0
26,27.8,60,3,26,26.6,60,0
26,29.2,0,0,26,29.1,0,0
26,28.9,0,0,26,28.8,0,0
26,28.2,0,0,26,27.6,0,0
26,27.9,0,0,26,26.7,0,0
26,27.5,0,0,26,26,0,0
26,27.4,0,0,26,25.9,0,0
26,27.4,0,0,26,25.8,0,0
26,27.3,0,0,26,25.7,0,0
26,27.2,0,0,26,25.8,0,0
26,27.2,0,0,26,25.9,0,0
26,27.1,0,0,26,25.8,0,0
26,27.1,0,0,26,25.9,0,0
26,27.1,0,0,26,25.8,0,0
26,26.9,0,0,26,25.8,0,0
26,26.7,0,0,26,25.6,0,0
26,26.7,0,0,26,25.8,0,0
26,27,0,0,26,25.9,0,0
26,27.2,0,0,26,26,0,0
26,27.1,0,0,26,26.1,0,0
26,26.9,0,0,26,25.9,0,0
26,26.8,0,0,26,25.9,0,0
26,26.8,0,0,26,25.9,0,0
26,26.9,0,0,26,25.9,0,0
26,27,0,0,26,25.8,0,0
26,27,0,0,26,25.7,0,0
26,27.1,0,0,26,25.8,0,0
26,27,0,0,26,25.4,0,0
26,26.7,0,0,26,25.1,0,0
26,26.6,0,0,26,25,0,0
26,26.5,0,0,26,25.1,0,0
26,26.1,0,0,26,25.3,0,0
26,26.2,0,0,26,25.6,0,0
26,26.4,0,0,26,25.7,0,0
26,26.5,0,0,26,25.7,0,0
26,26.5,0,0,26,25.8,0,0
26,26.5,0,0,26,25.7,0,0
26,26.6,0,0,26,25.6,0,0
26,26.6,0,0,26,25.7,0,0
26,26.6,0,0,26,25.3,0,0
26,26.7,0,0,26,25.4,0,0
26,27.1,0,0,26,26.1,0,0
26,27.2,0,0,26,26.2,0,0
26,27.3,0,0,26,26.2,0,0
26,27.3,0,0,26,26.1,0,0
26,27.5,0,0,26,26.1,0,0
26,27.8,0,0,26,26.4,0,0
26,28,0,0,26,27,0,0
26,27.9,0,0,26,27.1,0,0
26,27.7,0,0,26,26.7,0,0
26,27.4,0,0,26,26.6,0,0
26,27.8,0,0,26,26.5,0,0
26,27.6,0,0,26,26.7,0,0
26,27.4,0,0,26,26.7,0,0
26,27.3,0,0,26,26.5,0,0
26,27.2,0,0,26,26.2,0,0
26,27.2,0,0,26,26.2,0,0
26,27.2,0,0,26,26.2,0,0
26,27,0,0,26,26.2,0,0
26,27,0,0,26,26,0,0
26,26.7,0,0,26,25.9,0,0
26,27,0,0,26,26.2,0,0
26,27.2,0,0,26,26.3,0,0
26,27.4,0,0,26,26.9,0,0
26,26.2,60,15,26,26.5,60,48
26,27.4,0,0,26,26.2,0,0
26,27.5,60,20,26,27.3,60,3
26,27.6,0,0,26,27.5,0,0
26,26.6,60,18,26,27.1,60,56
26,26.3,0,0,26,26.9,0,0
26,26.6,60,16,26,27.2,60,56
26,26.2,0,0,26,27,0,0
26,26.3,60,16,26,27,60,56
26,27.1,0,0,26,26.6,0,0
26,29.7,0,0,26,28,0,0
26,29.3,0,0,26,26.4,0,0
26,29,0,0,26,26.9,0,0
26,28.6,0,0,26,26.3,0,0
26,28.6,0,0,26,26.2,0,0
26,28.7,0,0,26,26.5,0,0
26,28.5,0,0,26,26.5,0,0
26,28.2,0,0,26,26.6,0,0
26,27.9,0,0,26,26.5,0,0
26,27.9,0,0,26,26.8,0,0
26,27.6,0,0,26,26.6,0,0
26,27.4,0,0,26,26.8,0,0
26,27.9,0,0,26,26.6,0,0
26,27.8,0,0,26,27.3,0,0
26,26.4,60,14,26,26.9,60,56
26,26.2,60,15,26,26.9,60,60
26,26.4,60,20,26,27.1,60,44
26,27.4,60,19,26,27.9,60,17
26,26.1,60,14,26,27,60,60
26,26,60,14,26,26.9,60,60
26,26.4,60,19,26,27,60,35
26,26.5,60,14,26,26.9,60,46
26,26.2,60,12,26,26.6,60,60
26,26.3,60,13,26,26.4,60,60
26,27.2,0,0,26,26.8,0,0
26,29.6,0,0,26,28.3,0,0
26,28.9,0,0,26,27.5,0,0
26,28.5,0,0,26,27.4,0,0
26,28.3,0,0,26,27.1,0,0
26,28.3,0,0,26,27.1,0,0
26,28.2,0,0,26,27.2,0,0
26,28,0,0,26,27.2,0,0
26,28,0,0,26,27.2,0,0
26,27.9,0,0,26,27.2,0,0
26,27.8,0,0,26,26.9,0,0
26,27.9,0,0,26,26.8,0,0
26,27.8,0,0,26,27.2,0,0
26,27.9,0,0,26,27.2,0,0
26,26.5,60,19,26,26.9,60,50
26,26.8,0,0,26,27.1,0,0
26,28.1,60,22,26,28.5,60,4
26,29.4,0,0,26,30.9,0,0
26,27.3,60,21,26,28,60,56
26,27.2,0,0,26,27.4,0,0
26,28.5,60,24,26,28.9,60,9
26,28.1,0,0,26,29,0,0
26,27,60,21,26,28.2,60,56
26,26.3,0,0,26,27.5,0,0
26,31.1,0,0,26,30.2,0,0
26,30.7,0,0,26,29.9,0,0
26,30.1,0,0,26,29.2,0,0
26,30.3,0,0,26,29.3,0,0
26,30.1,0,0,26,29.4,0,0
26,29.9,0,0,26,29,0,0
26,29.2,0,0,26,28.5,0,0
26,28.8,0,0,26,28.1,0,0
26,28.6,0,0,26,28.1,0,0
26,28.6,0,0,26,28.1,0,0
26,28.4,0,0,26,28.1,0,0
26,28.5,0,0,26,28.1,0,0
26,28.6,0,0,26,28.2,0,0
26,28.8,0,0,26,28.7,0,0
26,26.6,60,16,26,27.2,60,57
26,26.4,60,20,26,27,60,60
26,27.6,60,22,26,28.1,60,3
26,27.2,60,20,26,28,60,28
26,27.1,60,19,26,28,60,36
26,27.2,60,23,26,28,60,25
26,27,60,20,26,28.1,60,43
26,26.5,60,21,26,27.7,60,39
26,26,60,16,26,27.2,60,60
26,26.1,60,17,26,26.9,60,60
26,25.9,0,0,26,23.4,0,0
26,28.9,0,0,26,23.7,0,0
26,28.6,0,0,26,23.9,0,0
26,28,0,0,26,24.6,0,0
26,27.6,0,0,26,23.9,0,0
26,27.3,0,0,26,24,0,0
26,27.4,0,0,26,24.4,0,0
26,27.2,0,0,26,25.2,0,0
26,27,0,0,26,26,0,0
26,27.1,0,0,26,26.2,0,0
26,27.2,0,0,26,26.4,0,0
26,27.3,0,0,26,26.5,0,0
26,27.8,0,0,26,27.2,0,0
26,28.1,0,0,26,27.4,0,0
26,26.5,60,17,26,27.3,60,57
26,24.4,0,0,26,26.9,0,0
26,27.2,60,20,26,27.2,60,44
26,30.1,0,0,26,29.5,0,0
26,27.1,60,19,26,27.6,60,44
26,29.5,0,0,26,28.9,0,0
26,26.8,60,23,26,27.9,60,44
26,24.5,0,0,26,27.5,0,0
26,27.4,60,22,26,28.2,60,45
26,28.1,0,0,26,27.7,0,0
26,30.1,0,0,26,28.2,0,0
26,30.4,0,0,26,28.6,0,0
26,30,0,0,26,27.7,0,0
26,29.4,0,0,26,25.2,0,0
26,29,0,0,26,25.3,0,0
26,28.8,0,0,26,26.2,0,0
26,28.8,0,0,26,26.9,0,0
26,28.7,0,0,26,27.1,0,0
26,28.4,0,0,26,27.2,0,0
26,28.3,0,0,26,27.3,0,0
26,28.3,0,0,26,27.3,0,0
26,28.7,0,0,26,27.9,0,0
26,28.7,0,0,26,28.1,0,0
26,28.8,0,0,26,28.1,0,0
26,29,0,0,26,28.8,0,0
26,29.1,0,0,26,29.1,0,0
26,29,0,0,26,29,0,0
26,28.5,0,0,26,28.3,0,0
26,29.2,0,0,26,29,0,0
26,29.7,0,0,26,29.3,0,0
26,30,0,0,26,29.4,0,0
26,30.1,0,0,26,29.5,0,0
26,30,0,0,26,29.4,0,0
26,30,0,0,26,29.4,0,0
26,29.7,0,0,26,28.9,0,0
26,29.6,0,0,26,28.8,0,0
26,29.4,0,0,26,28.5,0,0
26,29.1,0,0,26,28.7,0,0
26,29.5,0,0,26,28.8,0,0
26,29.5,0,0,26,28.8,0,0
26,29.4,0,0,26,28.7,0,0
26,29.4,0,0,26,28.8,0,0
26,29.3,0,0,26,28.8,0,0
26,29.4,0,0,26,29,0,0
26,29.3,0,0,26,29,0,0
26,29.1,0,0,26,28.9,0,0
26,29.1,0,0,26,29,0,0
26,29.3,0,0,26,29,0,0
26,29.1,0,0,26,29.2,0,0
26,29.2,0,0,26,29.4,0,0
26,29.2,0,0,26,29.2,0,0
26,28.8,0,0,26,29,0,0
26,28.7,0,0,26,28.8,0,0
26,28.7,0,0,26,28.7,0,0
26,28.6,0,0,26,28.6,0,0
26,28.5,0,0,26,28.7,0,0
26,29,0,0,26,29.3,0,0
26,28.5,0,0,26,28.5,0,0
26,28.5,0,0,26,28.7,0,0
26,28.7,0,0,26,28.8,0,0
26,28.4,0,0,26,28.6,0,0
26,28.4,0,0,26,28.6,0,0
26,28.9,0,0,26,28.8,0,0
26,29,0,0,26,28.8,0,0
26,28.8,0,0,26,28.9,0,0
26,28.8,0,0,26,28.8,0,0
26,28.7,0,0,26,28.8,0,0
26,28.6,0,0,26,28.8,0,0
26,28.5,0,0,26,28.8,0,0
26,28.7,0,0,26,28.9,0,0
26,28.6,0,0,26,29,0,0
26,29.3,0,0,26,29.4,0,0
26,26.9,60,19,26,28.5,60,57
26,28.1,0,0,26,29,0,0
26,26.6,60,20,26,28.6,60,57
26,29.2,0,0,26,30.2,0,0
26,27,60,24,26,28.8,60,57
26,28.7,0,0,26,30,0,0
26,26.8,60,23,26,28.6,60,57
26,28.9,0,0,26,29.7,0,0
26,27.2,60,22,26,28.5,60,57
26,29.8,0,0,26,30.1,0,0
26,30.3,0,0,26,28.2,0,0
26,30.3,0,0,26,29.3,0,0
26,30.1,0,0,26,28,0,0
26,29.7,0,0,26,26.9,0,0
26,29.2,0,0,26,26.3,0,0
26,29.4,0,0,26,26.6,0,0
26,29.5,0,0,26,27.2,0,0
26,29.3,0,0,26,27.7,0,0
26,29.1,0,0,26,28.1,0,0
26,29,0,0,26,28.1,0,0
26,28.8,0,0,26,27.6,0,0
26,28.6,0,0,26,27.7,0,0
26,28.5,0,0,26,27.3,0,0
26,28.6,0,0,26,27.8,0,0
26,26.6,60,20,26,27.4,60,57
26,26,60,15,26,26.8,60,60
26,26.5,60,21,26,26.9,60,49
26,26.1,60,12,26,26.7,60,60
26,26,60,15,26,26.5,60,60
26,26.6,60,15,26,26.9,60,49
26,26.3,60,15,26,27,60,60
26,26.2,60,17,26,27.2,60,60
26,26.5,60,19,26,27.3,60,49
26,26.2,59,15,26,27,59,59
26,27.6,0,0,26,27.8,0,0
26,30.2,0,0,26,28.4,0,0
26,29.6,0,0,26,26.1,0,0
26,28.9,0,0,26,24.8,0,0
26,28.9,0,0,26,25.1,0,0
26,29,0,0,26,26.2,0,0
26,28.8,0,0,26,26.5,0,0
26,28.6,0,0,26,26.4,0,0
26,28.4,0,0,26,26,0,0
26,28.2,0,0,26,26.1,0,0
26,28.1,0,0,26,26.5,0,0
26,28.1,0,0,26,26.6,0,0
26,28.3,0,0,26,27.1,0,0
26,28.7,1,0,26,27,1,0
26,26.7,60,19,26,27.3,60,57
26,29.5,0,0,26,29.6,0,0
26,27.1,60,22,26,27.9,60,45
26,30.3,0,0,26,29.8,0,0
26,27.1,60,21,26,28.2,60,46
26,30.1,0,0,26,29.9,0,0
26,27.3,60,22,26,28.3,60,45
26,28.6,0,0,26,29.2,0,0
26,27.4,60,21,26,28.3,60,45
26,28.3,0,0,26,28.7,0,0
26,30.2,0,0,26,28.1,0,0
26,30.2,0,0,26,28.4,0,0
26,30,0,0,26,27.6,0,0
26,29.4,0,0,26,25.6,0,0
26,28.8,0,0,26,25.3,0,0
26,28.6,0,0,26,26.2,0,0
26,28.9,0,0,26,26.8,0,0
26,28.7,0,0,26,27.4,0,0
26,28.1,0,0,26,27.2,0,0
26,28.1,0,0,26,27.4,0,0
26,28.1,0,0,26,27.4,0,0
26,28.2,0,0,26,27.5,0,0
26,28.5,0,0,26,27.8,0,0
26,29.3,1,0,26,29,1,0
26,26.6,60,18,26,27.6,60,57
26,26,60,17,26,27.4,60,60
26,26.1,60,14,26,27.6,60,60
26,26.6,60,24,26,28.1,60,37
26,26,60,17,26,27.8,60,60
26,26,60,17,26,27.8,60,60
26,26.4,60,17,26,28,60,60
26,26,60,21,26,28.2,60,49
26,26.2,60,16,26,28,60,60
26,26.1,59,16,26,27.5,59,59
26,27.7,0,0,26,28.3,0,0
26,30.1,0,0,26,29.5,0,0
26,30,0,0,26,28.2,0,0
26,29.6,0,0,26,26.8,0,0
26,29.6,0,0,26,27.7,0,0
26,29.6,0,0,26,27.8,0,0
26,29.4,0,0,26,28.1,0,0
26,29.2,0,0,26,28.1,0,0
26,28.9,0,0,26,28,0,0
26,28.9,0,0,26,27.7,0,0
26,28.6,0,0,26,27.7,0,0
26,28.6,0,0,26,27.6,0,0
26,28.7,0,0,26,27.9,0,0
26,28.8,1,0,26,28.3,1,0
26,26.6,60,16,26,27.5,60,57
26,29.7,0,0,26,29.7,0,0
26,27.2,60,20,26,28.4,60,46
26,28.4,0,0,26,30,0,0
26,26.6,60,23,26,28.8,60,45
26,29.1,0,0,26,30.5,0,0
26,26.8,60,25,26,28.7,60,57
26,28.3,0,0,26,29.8,0,0
26,27.1,60,21,26,28.6,60,57
26,28.1,0,0,26,28.8,0,0
26,31.1,0,0,26,29.9,0,0
26,31.2,0,0,26,28.8,0,0
26,30.3,0,0,26,27.3,0,0
26,29.5,0,0,26,25.6,0,0
26,29.3,0,0,26,25.8,0,0
26,29,0,0,26,26.8,0,0
26,29.1,0,0,26,27.4,0,0
26,29,0,0,26,28,0,0
26,28.9,0,0,26,28.1,0,0
26,28.8,0,0,26,28.1,0,0
26,29.4,0,0,26,28.5,0,0
26,29.5,0,0,26,28.7,0,0
26,29.5,0,0,26,29.3,0,0
26,29.7,0,0,26,29.5,0,0
26,29.8,0,0,26,29.6,0,0
26,29.6,0,0,26,29.9,0,0
26,29.4,0,0,26,29.5,0,0
26,29.6,0,0,26,29.5,0,0
26,30,0,0,26,29.5,0,0
