リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
26,26,0,0,26,26.7,0,0
26,26.4,0,0,26,26.9,0,0
26,27.2,0,0,26,27.1,0,0
26,27.5,0,0,26,27.2,0,0
26,28,0,0,26,27.4,0,0
26,27.9,0,0,26,27.4,0,0
26,27.9,0,0,26,28,0,0
26,27.8,0,0,26,27.5,0,0
26,29.5,60,57,26,26.5,60,0
26,30.4,60,60,26,26.5,60,31
26,31.5,60,60,26,25.8,60,60
26,32.4,60,60,26,25.5,60,60
26,33.2,60,60,26,25.5,60,60
26,33.3,60,60,26,25.6,60,60
26,32.9,60,60,26,25.8,60,60
26,32.4,60,60,26,25.9,60,60
26,31.9,60,60,26,25.9,60,60
26,31.2,60,60,26,25.8,60,60
26,26.1,0,0,26,24.4,0,0
26,28.7,0,0,26,27.8,0,0
26,26.2,0,0,26,27.2,0,0
26,25.2,0,0,26,26,0,0
26,25.3,0,0,26,26.1,0,0
26,25.8,0,0,26,26,0,0
26,26,0,0,26,26.2,0,0
26,26.3,0,0,26,26.2,0,0
26,26.8,0,0,26,26.7,0,0
26,27.1,0,0,26,27,0,0
26,27.2,0,0,26,27.2,0,0
26,27.2,0,0,26,27.2,0,0
26,27.3,0,0,26,27.4,0,0
26,27.5,0,0,26,27.8,0,0
26,27.9,0,0,26,28,0,0
26,28.5,0,0,26,28.6,0,0
26,28.5,0,0,26,28.5,0,0
26,28.9,0,0,26,28.2,0,0
26,28,0,0,26,27.3,0,0
26,28.2,0,0,26,27.1,0,0
26,28.7,0,0,26,27.2,0,0
26,28.4,0,0,26,26.9,0,0
26,28.4,0,0,26,26.8,0,0
26,28.6,0,0,26,26.6,0,0
26,28,0,0,26,26.6,0,0
26,27.2,0,0,26,26.5,0,0
26,27.2,0,0,26,26.5,0,0
26,26.8,0,0,26,26.5,0,0
26,27.2,0,0,26,26.7,0,0
26,27.3,0,0,26,26.8,0,0
26,27.5,0,0,26,27.1,0,0
26,27.6,0,0,26,27.3,0,0
26,27.7,0,0,26,27.4,0,0
26,27.8,0,0,26,27.5,0,0
26,27.9,0,0,26,27.5,0,0
26,27.9,0,0,26,27.6,0,0
26,28,0,0,26,27.5,0,0
26,28,0,0,26,27.7,0,0
26,28.1,0,0,26,27.3,0,0
26,29.1,0,0,26,27.8,0,0
26,29.4,0,0,26,28.1,0,0
26,28.8,7,7,26,27.9,7,7
26,28.3,2,2,26,27.6,2,2
26,29.2,0,0,26,26.3,0,0
26,29.1,0,0,26,27.2,0,0
26,29.3,0,0,26,27.4,0,0
26,28.7,0,0,26,27.4,0,0
26,28.8,0,0,26,27.8,0,0
26,28.6,0,0,26,27.7,0,0
26,28.1,0,0,26,27.3,0,0
26,28,0,0,26,27.2,0,0
26,28.1,0,0,26,27,0,0
26,27.5,0,0,26,27,0,0
26,27.8,0,0,26,27.1,0,0
26,27.8,0,0,26,27.2,0,0
26,28,0,0,26,27.3,0,0
26,28.1,0,0,26,27.3,0,0
26,28.1,0,0,26,27.3,0,0
26,28,0,0,26,27.3,0,0
26,27.9,0,0,26,27.4,0,0
26,28.1,0,0,26,27.5,0,0
26,28.1,0,0,26,27.5,0,0
26,27.3,60,57,26,26.6,60,52
26,26.2,60,60,26,26.3,60,60
26,26.3,60,60,26,25.9,60,60
26,26.8,60,60,26,25.9,60,60
26,27.3,60,60,26,25.8,60,60
26,27.8,60,60,26,25.6,60,60
26,28,60,60,26,25.3,60,60
26,28.2,60,60,26,25.3,60,60
26,28.1,60,60,26,25.4,60,60
26,28.3,60,60,26,25.5,60,60
26,26.6,0,0,26,26.7,0,0
26,26.7,0,0,26,26.9,0,0
26,26.4,0,0,26,27.1,0,0
26,25.5,0,0,26,26.7,0,0
26,25,0,0,26,25.5,0,0
26,25.2,0,0,26,25.9,0,0
26,25.7,0,0,26,25.8,0,0
26,26.3,0,0,26,26.2,0,0
26,26.3,0,0,26,26.2,0,0
26,26.6,0,0,26,26.1,0,0
26,26.2,0,0,26,25.6,0,0
26,26.2,0,0,26,25.7,0,0
26,26.9,0,0,26,26.4,0,0
26,26.7,0,0,26,26.7,0,0
26,27.2,60,57,26,26.6,60,0
26,27.8,60,60,26,26.7,60,0
26,28.3,60,60,26,26.6,60,0
26,28.6,60,60,26,26.6,60,0
26,28.6,60,60,26,26.8,60,0
26,27.1,60,60,26,26.9,60,0
26,26.6,60,60,26,26.6,60,0
26,26.6,60,60,26,26.7,60,0
26,26.5,60,60,26,25.8,60,55
26,26.1,60,60,26,25.7,60,60
26,23.8,0,0,26,24.1,0,0
26,22.7,0,0,26,23.7,0,0
26,22.9,0,0,26,22.9,0,0
26,23,0,0,26,24,0,0
26,24.1,0,0,26,24.5,0,0
26,25.7,0,0,26,24.9,0,0
26,26.3,0,0,26,25.2,0,0
26,26.5,0,0,26,25.2,0,0
26,26.6,0,0,26,25.2,0,0
26,26.5,0,0,26,25.3,0,0
26,26.4,0,0,26,25.1,0,0
26,26.4,0,0,26,25.2,0,0
26,26.2,0,0,26,25.9,0,0
26,25.9,0,0,26,27.1,0,0
26,26.4,60,17,26,26.4,60,0
26,27.2,0,0,26,29.4,0,0
26,27.4,60,55,26,26.6,60,0
26,29.2,0,0,26,29.6,0,0
26,29.3,60,56,26,26,60,56
26,29.3,0,0,26,25.7,0,0
26,27.7,60,57,26,26.6,60,0
26,28.5,0,0,26,30,0,0
26,27.9,60,57,26,26,60,57
26,27.7,0,0,26,25.6,0,0
26,28.1,0,0,26,28.1,0,0
26,27.4,0,0,26,27.2,0,0
26,27.1,0,0,26,26.9,0,0
26,26.9,0,0,26,26.4,0,0
26,26.7,0,0,26,25.9,0,0
26,26.6,0,0,26,25.6,0,0
26,26.6,0,0,26,25.3,0,0
26,26.3,0,0,26,25.3,0,0
26,26.2,0,0,26,25.6,0,0
26,26.4,0,0,26,25.8,0,0
26,26.4,0,0,26,26,0,0
26,26.5,0,0,26,26.1,0,0
