リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算,リモコン設定温度,吸込温度平均値,室内機運転時間積算,室内機サーモＯＮ時間積算
24,26.1,0,0,24,25.6,0,0,24,26,0,0,24,26.2,0,0,24,26.2,0,0,24,26.5,0,0
24,26.1,0,0,24,25.7,0,0,24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.5,0,0
24,26.2,0,0,24,25.9,0,0,24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.5,0,0
24,26.2,0,0,24,26,0,0,24,26.2,0,0,24,26.2,0,0,24,26.2,0,0,24,26.6,0,0
24,26.2,0,0,24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.2,0,0,24,26.6,0,0
24,26.3,0,0,24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.3,0,0,24,26.7,0,0
24,26.3,0,0,24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.7,0,0
24,26.3,0,0,24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.4,0,0,24,26.7,0,0
24,25,17,16,24,25.5,17,17,24,25.1,17,16,24,25.9,17,17,24,25.8,17,17,24,25.4,17,16
24,24.1,60,60,24,24,60,21,24,24.2,60,60,24,24.1,60,39,24,24,60,32,24,24.1,60,47
24,23.8,60,34,24,24.2,60,32,24,24.1,60,48,24,24.1,60,42,24,24,60,29,24,24,60,45
24,24.1,60,29,24,23.7,60,40,24,24.2,60,31,24,24,60,40,24,24.1,60,28,24,23.9,60,33
24,24.3,60,2,24,24.3,60,49,24,24.1,60,56,24,24.1,60,26,24,24,60,30,24,24,60,44
24,24,60,15,24,23.9,60,38,24,24,60,38,24,24,60,34,24,24,60,26,24,23.8,60,34
24,24.1,60,11,24,23.7,60,37,24,24.1,60,29,24,23.9,60,30,24,24,60,29,24,24,60,33
24,24.3,60,0,24,24,60,56,24,24,60,39,24,23.9,60,28,24,24.1,60,17,24,23.8,60,36
24,24.1,60,9,24,23.8,60,35,24,23.9,60,25,24,24.1,60,33,24,23.9,60,25,24,24,60,31
24,24.2,60,9,24,23.6,60,50,24,23.9,60,33,24,23.9,60,22,24,23.9,60,15,24,23.8,60,30
24,24.3,0,0,24,23.7,0,0,24,24.5,0,0,24,24.3,0,0,24,24.5,0,0,24,24.5,0,0
24,25.3,0,0,24,24.8,0,0,24,25.5,0,0,24,25.4,0,0,24,25.8,0,0,24,25.9,0,0
24,25.7,0,0,24,25.3,0,0,24,25.9,0,0,24,25.9,0,0,24,26.1,0,0,24,26.2,0,0
24,25.9,0,0,24,25.5,0,0,24,26,0,0,24,26,0,0,24,26.2,0,0,24,26.3,0,0
24,26,0,0,24,25.7,0,0,24,26.1,0,0,24,26.1,0,0,24,26.2,0,0,24,26.4,0,0
24,26,0,0,24,25.9,0,0,24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.5,0,0
24,26.1,0,0,24,26,0,0,24,26.2,0,0,24,26.2,0,0,24,26.2,0,0,24,26.5,0,0
24,26.1,0,0,24,26.1,0,0,24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.5,0,0
24,26.2,0,0,24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.2,0,0,24,26.6,0,0
24,26.2,0,0,24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.7,0,0
24,26.2,0,0,24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.3,0,0,24,26.7,0,0
24,26.2,0,0,24,26.3,0,0,24,26.3,0,0,24,26.4,0,0,24,26.3,0,0,24,26.7,0,0
24,26.4,0,0,24,26.4,0,0,24,26.4,0,0,24,26.4,0,0,24,26.4,0,0,24,26.8,0,0
24,26.4,0,0,24,26.4,0,0,24,26.4,0,0,24,26.5,0,0,24,26.5,0,0,24,26.8,0,0
24,24.4,55,50,24,24.1,55,28,24,24.6,55,55,24,24.5,55,33,24,24.5,55,31,24,24.5,55,53
24,23.9,60,44,24,24,60,23,24,24,60,60,24,23.8,60,50,24,24,60,41,24,24,60,45
24,23.6,60,40,24,23.9,60,36,24,24.1,60,51,24,24.1,60,36,24,24,60,35,24,23.8,60,60
24,24.1,60,19,24,24.1,60,43,24,24.1,60,60,24,24,60,60,24,24,60,40,24,23.8,60,60
24,24.1,60,15,24,24,60,40,24,24.1,60,46,24,23.9,60,40,24,24,60,40,24,24,60,41
24,24.1,60,14,24,23.9,60,41,24,24.1,60,47,24,23.9,60,26,24,24,60,38,24,23.9,60,39
24,24.2,60,9,24,23.9,60,48,24,24,60,49,24,24,60,21,24,23.9,60,28,24,23.8,60,48
24,24,60,0,24,24,60,19,24,24.1,60,19,24,24,60,20,24,24,60,22,24,24.2,60,8
24,24.1,60,0,24,23.9,60,25,24,24.2,60,16,24,24,60,9,24,24,60,18,24,24.2,60,8
24,23.9,60,7,24,24,60,28,24,24.1,60,57,24,24.1,60,9,24,24.1,60,20,24,24.1,60,41
