,éûçèï 
884,inf
886,inf
887,inf
890,inf
891,inf
892,inf
894,inf
895,inf
897,inf
901,inf
902,inf
903,inf
905,inf
906,inf
910,inf
911,inf
912,inf
913,inf
915,inf
916,inf
919,inf
920,inf
921,inf
924,inf
926,inf
927,inf
928,inf
929,56.13
931,inf
932,inf
933,inf
934,inf
935,inf
936,inf
937,inf
938,inf
939,39.64
940,inf
941,inf
942,inf
943,inf
944,inf
945,inf
946,inf
947,inf
948,inf
949,54.9
950,inf
952,inf
953,69.65
955,inf
957,inf
959,inf
960,inf
961,inf
966,inf
967,inf
968,inf
969,inf
970,inf
972,inf
973,inf
975,inf
976,inf
977,28.57
978,inf
979,inf
982,inf
983,inf
985,inf
986,inf
987,inf
988,inf
989,73.93
990,inf
991,inf
993,inf
994,inf
995,inf
998,inf
999,inf
1000,inf
1001,50.5
1004,inf
1006,inf
1007,inf
1008,inf
1009,inf
1010,inf
1012,inf
1018,inf
1020,inf
1021,inf
1022,inf
1023,inf
1025,49.6
1026,inf
1027,inf
1028,inf
1029,inf
1030,inf
1033,inf
1034,inf
1035,inf
1037,69.24
1038,inf
1041,inf
1042,inf
1043,inf
1044,inf
1045,inf
1046,inf
1047,inf
1050,94.76
1051,inf
1052,inf
1053,inf
1054,inf
1055,inf
1057,inf
1061,inf
1062,82.55
1063,inf
1065,inf
1066,inf
1067,inf
1068,inf
1071,inf
1073,inf
1074,83.13
1075,inf
1076,inf
1080,inf
1081,inf
1082,inf
1083,inf
1084,inf
1085,inf
1087,inf
1090,inf
1091,inf
1092,inf
1093,inf
1094,inf
1095,inf
1096,inf
1097,inf
1098,inf
1099,64.37
1100,inf
1103,inf
1104,inf
1108,inf
1109,inf
1110,inf
1112,inf
1114,inf
1115,inf
1116,inf
1117,inf
1119,48.03
1120,67.47
1121,45.52
1122,inf
1123,inf
1125,inf
1129,inf
1131,inf
1132,inf
1133,inf
1134,inf
1136,inf
1137,67.52
1138,inf
1140,inf
1141,inf
1143,inf
1144,inf
1148,75.96
1149,inf
1150,inf
1152,inf
1154,inf
1155,inf
1157,inf
1161,inf
1164,inf
1165,inf
1167,inf
1168,inf
1169,inf
1171,inf
1172,72.84
1173,inf
1174,inf
1175,inf
1179,inf
1180,inf
1181,inf
1182,inf
1183,inf
1184,58.91
1185,inf
1186,inf
1187,inf
1188,inf
1189,inf
1190,inf
1191,inf
1193,inf
1195,inf
1196,75.93
1197,inf
1198,inf
1199,inf
1202,inf
1207,inf
1208,inf
1209,29.47
1210,inf
1212,inf
1214,inf
1215,inf
1216,inf
1217,inf
1218,inf
1219,inf
1220,inf
1223,inf
1225,inf
1226,inf
1227,inf
1229,inf
1231,inf
1236,inf
1238,inf
1239,inf
1244,inf
1247,inf
1249,inf
1250,inf
1251,inf
1252,inf
1254,inf
1255,inf
1256,inf
1257,72.55
1258,inf
1260,inf
1264,inf
1265,inf
1266,inf
1268,inf
1270,inf
1271,inf
1273,inf
1275,inf
1276,inf
1277,inf
1280,inf
1282,inf
1283,inf
1284,inf
1285,inf
1289,inf
1291,74.88
1292,inf
1293,inf
1295,inf
1299,inf
1300,inf
1301,inf
1302,inf
1303,43.66
1304,inf
1305,inf
1307,inf
1308,inf
1311,inf
1314,inf
1315,inf
1316,73.44
1318,inf
1319,inf
1321,inf
1322,inf
1323,inf
1324,inf
1325,inf
1326,inf
1328,25.95
1330,inf
1331,inf
1332,inf
1333,inf
1337,inf
1339,inf
1342,inf
1343,inf
1344,inf
1346,inf
1347,inf
1348,inf
1349,inf
1350,inf
1351,inf
1352,65.42
1353,inf
1355,inf
1356,inf
1357,inf
1359,inf
1360,inf
1361,inf
1363,inf
1364,inf
1365,76.95
1366,inf
1367,inf
1369,inf
1370,inf
1371,inf
1372,inf
1373,inf
1375,inf
1376,inf
1377,41.59
1378,inf
1379,inf
1381,44.84
1382,57.13
1383,22.77
1385,inf
1386,inf
1387,inf
1388,inf
1389,inf
1390,inf
1391,inf
1394,inf
1395,inf
1396,80.69
1397,inf
1398,inf
1400,inf
1401,inf
1402,inf
1404,inf
1406,inf
1407,inf
1409,inf
1412,inf
1413,inf
1415,inf
1419,inf
1420,inf
1424,inf
1426,inf
1427,inf
1429,inf
1430,inf
1432,inf
1435,inf
1437,inf
1441,inf
1442,inf
1444,inf
1447,inf
1448,inf
1449,inf
1450,inf
1451,inf
1454,inf
1455,19.69
1456,inf
1459,28.44
1461,inf
1463,inf
1465,inf
1466,inf
1468,inf
1470,inf
1473,inf
1474,inf
1475,inf
1478,inf
1479,inf
1483,42.28
1484,inf
1486,inf
1488,inf
1490,inf
1491,inf
1492,inf
1494,inf
1495,inf
1498,inf
1502,inf
1503,inf
1505,inf
1507,inf
1508,62.69
1509,inf
1511,inf
1514,inf
1515,inf
1516,inf
1517,inf
1520,49.49
1521,inf
1523,inf
1526,inf
1527,inf
1529,inf
1530,inf
1531,inf
1532,64.57
1533,inf
1534,inf
1535,inf
1536,inf
1537,inf
1538,inf
1540,inf
1541,inf
1542,inf
1543,inf
1546,inf
1550,inf
1551,inf
1552,inf
1553,inf
1554,inf
1555,inf
1556,54.39
1557,inf
1558,inf
1559,inf
1563,inf
1564,inf
1566,inf
1567,inf
1568,inf
1569,75.16
