,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1184,40.94,37.4
1186,14.43,11.55
1188,21.62,21.1
1191,7.66,1.36
1194,4.34,0.52
1204,inf,inf
1206,inf,inf
1207,82.95,36.59
1210,8.98,10.85
1213,2.54,1.15
1216,3.11,10.92
1220,33.42,35.28
1224,86.26,4.06
1225,inf,inf
1226,inf,inf
1230,86.89,71.61
1239,5.41,1.66
1240,1.69,1.4
1245,inf,inf
1251,inf,inf
1254,inf,inf
1260,58.21,31.65
1265,39.06,43.29
1266,7.81,1.17
1275,86.77,23.18
1283,90.0,109.75
1289,9.28,14.43
1292,38.05,80.09
1294,inf,inf
1295,inf,inf
1297,inf,inf
1298,83.68,9.22
1299,inf,inf
1301,inf,inf
1305,2.32,1.75
1313,36.95,30.5
1318,88.42,37.9
1322,inf,inf
1332,22.0,17.3
1333,10.82,15.44
1335,9.81,10.03
1347,inf,inf
1348,inf,inf
1353,9.98,5.61
1357,31.45,16.19
1360,8.06,13.07
1361,11.68,12.18
1366,inf,inf
1367,inf,inf
1372,inf,inf
1373,inf,inf
1378,3.18,2.53
1386,28.24,44.13
1391,inf,inf
1393,75.38,0.85
1395,inf,inf
1406,6.83,1.87
1411,18.24,1.65
1414,inf,inf
1423,7.33,149.93
1427,4.59,2.44
1435,46.7,46.34
1438,78.93,40.86
1440,inf,inf
1441,inf,inf
1442,inf,inf
1443,inf,inf
1448,inf,inf
1451,21.13,5.53
1456,1.72,56.23
1461,inf,inf
1463,inf,inf
1464,inf,inf
1469,89.21,9.1
1470,inf,inf
1476,11.97,12.02
1480,46.57,40.21
1481,36.19,32.58
1482,23.84,14.93
1487,inf,inf
1489,inf,inf
1493,inf,inf
1496,inf,inf
1502,11.83,10.81
1509,inf,inf
1511,inf,inf
1514,inf,inf
1515,inf,inf
1516,inf,inf
1517,inf,inf
1522,9.82,4.6
1524,26.24,28.6
1529,28.07,27.48
1530,inf,inf
1531,inf,inf
1532,inf,inf
1533,inf,inf
1534,80.38,12.7
1542,inf,inf
1543,54.52,31.61
1547,62.64,64.72
1549,71.19,72.09
1553,34.9,36.28
1556,inf,inf
1558,inf,inf
1560,inf,inf
1561,inf,inf
1568,4.01,11.39
1573,32.87,31.28
1574,9.83,6.49
1581,71.24,55.22
1583,inf,inf
1585,inf,inf
1595,17.18,5.79
1602,17.28,35.01
1603,76.16,28.47
1612,inf,inf
1619,39.07,91.49
1620,inf,inf
1628,inf,inf
1629,inf,inf
1632,inf,inf
1633,inf,inf
1638,78.89,8.53
1639,49.65,14.32
1643,18.88,16.24
1646,1.97,0.52
1647,22.11,21.15
1652,32.98,20.42
1653,inf,inf
1654,inf,inf
1656,inf,inf
1660,inf,inf
1667,25.89,28.68
1668,35.57,33.87
1675,30.65,26.53
1678,inf,inf
1682,inf,inf
1693,18.32,13.95
1694,28.98,19.56
1695,31.28,19.17
1696,13.45,12.99
1698,5.1,37.14
1700,43.5,42.4
1701,inf,inf
1702,78.38,12.77
1704,inf,inf
1706,inf,inf
1718,40.96,34.49
1719,18.46,16.54
1722,16.96,5.57
1726,inf,inf
1727,inf,inf
1733,inf,inf
1734,30.49,153.59
1739,31.72,32.85
1741,31.1,28.83
1749,30.26,77.27
1753,inf,inf
1756,inf,inf
1759,inf,inf
1762,29.29,12.39
1764,42.05,20.16
1769,51.44,16.67
1770,30.86,36.2
1772,85.71,32.5
1775,inf,inf
1784,inf,inf
1790,inf,inf
1791,13.83,87.11
1797,81.21,25.98
1798,inf,inf
1800,inf,inf
1803,79.7,1.69
1808,158.7,180.15
1810,2.68,17.74
1811,2.56,9.36
1812,0.67,8.21
1821,37.42,6.32
1825,inf,inf
1827,83.78,2.3
1831,inf,inf
1835,12.14,2.22
1837,26.76,23.6
1842,58.76,64.01
1845,inf,inf
1849,inf,inf
1850,83.3,0.28
1851,inf,inf
1852,inf,inf
1853,inf,inf
1854,inf,inf
1864,33.45,29.9
1866,6.07,10.24
1867,33.3,32.86
1868,25.03,47.41
1869,22.18,45.76
1873,inf,inf
1881,46.75,45.46
1882,2.63,4.56
1887,63.29,58.12
1892,2.79,50.58
1895,79.44,27.23
1899,inf,inf
1900,inf,inf
1905,12.59,4.16
1907,13.25,5.54
1908,39.48,36.2
1911,10.25,3.54
1915,25.01,18.63
1920,inf,inf
1927,inf,inf
1928,27.32,34.68
1929,inf,inf
1930,25.42,25.3
1931,31.46,82.24
1933,74.8,92.56
1945,86.16,1.66
1951,30.74,35.96
1952,inf,inf
1955,inf,inf
1967,inf,inf
1970,inf,inf
1974,inf,inf
1979,98.22,112.02
1983,26.94,22.21
1985,9.56,6.68
1987,42.99,38.24
1988,inf,inf
1989,inf,inf
1990,61.66,19.07
1994,inf,inf
1996,82.65,1.35
1997,inf,inf
2001,4.03,3.23
2002,66.78,64.72
2003,7.72,14.29
2004,14.01,14.98
2005,91.49,86.9
2012,49.93,43.83
2013,15.13,68.5
2014,80.64,15.66
2019,inf,inf
2021,inf,inf
2026,37.15,53.83
2033,7.8,16.61
2036,0.97,42.3
2046,inf,inf
2056,1.66,2.96
2058,19.17,2.34
2059,12.82,1.47
2068,83.92,3.16
2071,46.66,12.9
2073,61.39,58.4
2080,22.38,25.12
2083,37.78,29.63
2086,77.01,34.06
2088,inf,inf
2089,inf,inf
2094,inf,inf
2096,inf,inf
2103,3.06,17.2
2105,1.61,2.27
2111,inf,inf
2119,3.33,77.92
2120,inf,inf
2121,86.18,83.97
2122,4.03,8.63
2123,4.46,9.55
2128,30.1,18.27
2130,inf,inf
2137,inf,inf
2138,inf,inf
2139,inf,inf
2144,18.26,135.47
2147,41.37,38.19
2149,12.91,12.37
2154,5.54,7.87
2156,47.91,39.37
2157,71.4,54.66
2160,inf,inf
2163,inf,inf
2165,inf,inf
2166,inf,inf
2171,38.18,31.31
