,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,21.84,21.0,21.81
2,14.29,19.0,10.03
4,23.85,12.0,14.0
5,22.47,25.0,24.83
6,31.03,32.0,31.7
7,23.63,24.0,26.15
8,20.32,21.0,22.06
10,4.79,0.0,7.18
14,31.74,29.0,29.91
15,37.87,41.0,44.47
16,22.96,32.0,15.62
17,14.93,0.0,10.96
18,63.0,70.0,59.69
19,54.68,57.0,54.43
20,56.77,53.0,51.54
21,51.0,49.0,51.25
22,43.32,46.0,50.18
23,22.76,29.0,16.25
25,55.17,54.0,53.46
26,35.89,45.0,36.08
28,50.74,55.0,50.06
30,26.57,36.0,40.66
31,10.45,0.0,9.12
33,52.0,53.0,50.01
34,55.83,58.0,53.5
35,51.8,53.0,48.86
36,44.95,51.0,50.82
38,15.01,20.0,12.35
41,48.1,48.0,49.69
42,28.41,36.0,23.79
43,27.98,27.0,26.21
44,11.09,22.0,23.69
45,10.21,0.0,8.94
46,25.58,26.0,28.82
47,27.2,29.0,30.02
48,43.39,41.0,44.11
49,51.03,49.0,48.85
50,50.52,53.0,51.49
52,9.68,0.0,7.36
55,54.19,51.0,52.68
56,57.23,54.0,55.93
58,32.33,44.0,39.13
59,9.02,0.0,10.53
63,21.16,21.0,24.13
64,18.7,19.0,22.07
68,23.08,22.0,23.81
69,18.38,20.0,22.71
71,14.17,15.0,16.99
73,7.28,3.0,3.43
74,14.86,17.0,18.54
75,14.86,14.0,9.44
76,16.36,13.0,15.39
77,11.7,6.0,5.81
78,14.62,9.0,9.61
79,8.01,17.0,8.96
81,37.17,25.0,32.71
82,18.66,24.0,22.1
85,11.1,12.0,9.17
86,13.42,13.0,10.13
88,28.34,23.0,29.13
89,24.45,24.0,29.62
90,19.95,17.0,18.52
91,16.73,23.0,23.06
92,20.3,25.0,23.15
94,5.39,0.0,3.92
95,38.38,40.0,40.27
100,15.62,21.0,10.33
102,51.66,55.0,50.24
103,47.3,47.0,48.65
104,43.09,35.0,39.39
105,41.62,34.0,36.13
106,39.14,38.0,38.57
107,23.52,38.0,39.82
108,19.75,0.0,7.34
109,56.31,64.0,54.53
110,49.52,48.0,52.7
113,49.0,57.0,48.84
114,32.67,49.0,42.54
115,6.25,0.0,8.03
117,40.5,41.0,42.21
118,44.63,40.0,43.76
119,50.41,53.0,46.5
120,46.27,43.0,43.16
121,31.19,45.0,46.09
122,30.0,0.0,12.74
123,40.9,47.0,39.57
