,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
246,20.8,74.24,32.02,15.61
247,8.27,14.75,6.2,1.2
252,1.17,1.17,4.96,2.44
253,1.84,9.35,1.44,0.89
255,7.96,12.72,1.12,2.07
257,2.11,0.53,4.76,4.33
260,2.15,11.3,2.99,6.78
263,0.04,12.51,3.36,4.75
264,24.01,41.17,18.33,7.41
266,25.97,17.0,10.6,5.84
270,13.81,29.29,20.93,18.72
271,22.44,20.69,24.64,11.9
272,3.47,11.29,6.35,9.91
275,2.63,4.11,3.01,1.83
278,0.19,5.45,2.62,0.59
281,4.58,3.4,0.24,4.49
283,16.84,10.54,7.73,3.51
284,9.23,10.12,19.79,18.04
288,19.58,28.15,9.14,7.78
289,19.74,29.15,3.65,8.5
292,164.44,162.37,42.47,33.5
293,20.28,28.68,0.03,5.17
295,30.4,30.42,20.14,23.93
296,98.76,127.88,40.85,38.26
297,35.17,31.34,1.41,0.4
298,9.1,0.12,0.28,0.62
299,4.36,11.88,1.67,3.09
300,4.27,13.4,2.97,0.75
301,13.35,21.08,8.62,3.49
302,3.92,2.33,2.07,4.13
303,7.68,5.2,1.27,2.45
304,2.85,0.29,3.25,2.09
305,2.08,6.1,2.24,2.79
308,25.13,28.09,5.06,0.53
309,10.59,20.23,22.5,20.49
310,148.5,181.48,109.92,85.23
311,3.99,28.5,24.86,15.82
312,27.96,37.34,11.69,24.49
313,8.19,10.23,23.78,12.86
314,12.37,7.76,9.38,18.45
315,148.88,125.26,41.43,30.44
316,38.34,42.77,13.64,8.65
318,21.15,34.32,12.26,1.3
319,16.52,33.2,1.82,5.77
320,28.24,37.95,0.39,3.93
321,15.59,7.54,0.87,5.0
322,10.88,23.43,13.77,12.6
323,3.95,3.54,6.68,2.54
324,4.38,4.01,1.27,2.98
327,3.78,9.73,0.38,1.66
328,0.86,6.15,5.07,0.22
329,1.54,4.87,0.47,0.66
330,7.67,0.57,2.86,0.1
331,7.33,15.66,2.13,0.08
