óÒ1,ójì˙,äOãCâ∑ìx,ó‚î}â∑ìx,â^ì]éûä‘,ìdóÕè¡îÔó ,êœéZó‚ñ[î\óÕ,é∫ì‡ã@â“ì≠ë‰êî,é∫ì‡ã@â“ì≠ó¶
2022-07-01 08:00:00,4,34,6.8,16,2.0,5.5,6,1.0
2022-07-01 09:00:00,4,36,4.3,60,9.1,23.9,6,1.0
2022-07-01 10:00:00,4,37,4.9,60,6.5,17.1,6,1.0
2022-07-01 11:00:00,4,38,4.6,60,6.9,17.9,6,1.0
2022-07-01 12:00:00,4,39,6.1,60,6.1,16.8,6,1.0
2022-07-01 13:00:00,4,38,4.1,60,7.3,17.2,6,1.0
2022-07-01 14:00:00,4,38,3.8,50,5.3,12.9,6,1.0
2022-07-01 15:00:00,4,37,5.7,60,5.4,16.1,6,1.0
2022-07-01 16:00:00,4,35,4.6,47,4.1,11.9,6,1.0
2022-07-01 17:00:00,4,34,5.0,51,4.7,14.4,6,1.0
2022-07-02 08:00:00,5,32,9.4,54,3.9,14.6,6,1.0
2022-07-02 09:00:00,5,35,7.5,60,5.5,18.3,6,1.0
2022-07-02 10:00:00,5,36,6.7,60,5.6,17.5,6,1.0
2022-07-02 11:00:00,5,35,8.1,60,5.6,19.8,6,1.0
2022-07-02 12:00:00,5,37,5.5,57,5.3,15.7,6,1.0
2022-07-02 13:00:00,5,37,5.4,54,5.2,15.2,6,1.0
2022-07-02 14:00:00,5,36,5.5,53,5.4,15.7,6,1.0
2022-07-02 15:00:00,5,34,6.0,55,2.4,7.0,6,1.0
2022-07-02 16:00:00,5,34,6.5,42,2.1,6.5,6,1.0
2022-07-02 17:00:00,5,33,4.4,56,4.7,13.4,6,1.0
2022-07-03 11:00:00,6,35,8.5,30,2.8,9.5,6,1.0
2022-07-03 12:00:00,6,33,5.0,5,0.4,1.5,6,1.0
2022-07-04 09:00:00,0,29,6.9,58,6.4,23.5,6,1.0
2022-07-04 10:00:00,0,29,8.1,60,4.5,19.4,6,1.0
2022-07-04 11:00:00,0,29,7.5,60,4.1,15.5,6,1.0
2022-07-04 12:00:00,0,29,6.8,60,4.8,18.1,6,1.0
2022-07-04 13:00:00,0,32,7.5,60,3.7,16.1,6,1.0
2022-07-04 14:00:00,0,31,4.4,51,3.8,12.9,6,1.0
2022-07-04 15:00:00,0,31,7.8,59,4.0,16.3,6,1.0
2022-07-04 16:00:00,0,31,6.4,60,5.9,20.5,6,1.0
2022-07-04 17:00:00,0,30,6.0,60,5.1,18.6,6,1.0
2022-07-05 08:00:00,1,31,9.7,26,2.0,8.9,6,1.0
2022-07-05 09:00:00,1,33,7.1,60,7.9,26.2,6,1.0
2022-07-05 10:00:00,1,33,8.2,60,5.8,21.3,6,1.0
2022-07-05 11:00:00,1,33,7.6,60,6.3,22.4,6,1.0
2022-07-05 12:00:00,1,33,10.1,60,4.6,20.4,6,1.0
2022-07-05 13:00:00,1,29,7.8,60,5.7,22.7,6,1.0
2022-07-05 14:00:00,1,29,7.6,60,4.9,18.7,6,1.0
2022-07-05 15:00:00,1,28,8.4,60,2.1,9.0,6,1.0
2022-07-05 16:00:00,1,29,9.1,60,1.9,8.8,6,1.0
2022-07-05 17:00:00,1,29,7.7,60,3.0,11.5,6,1.0
2022-07-06 07:00:00,2,29,8.7,55,2.7,12.4,6,1.0
2022-07-06 08:00:00,2,30,7.4,60,3.7,14.0,6,1.0
2022-07-06 09:00:00,2,32,9.8,60,2.2,10.7,6,1.0
2022-07-06 10:00:00,2,32,9.4,60,3.4,14.8,6,1.0
2022-07-06 11:00:00,2,33,7.9,60,4.4,15.5,6,1.0
2022-07-06 12:00:00,2,32,8.0,60,4.4,14.9,6,1.0
2022-07-06 13:00:00,2,32,7.7,60,3.1,12.5,6,1.0
2022-07-06 14:00:00,2,29,8.1,60,3.6,14.5,6,1.0
2022-07-06 15:00:00,2,32,8.3,60,3.2,12.3,6,1.0
2022-07-06 16:00:00,2,30,9.7,60,2.3,10.2,6,1.0
2022-07-06 17:00:00,2,30,7.8,55,3.1,11.5,6,1.0
2022-07-07 07:00:00,3,29,9.7,46,2.0,9.7,6,1.0
2022-07-07 08:00:00,3,29,8.7,60,2.1,9.9,6,1.0
2022-07-07 09:00:00,3,28,5.9,48,2.7,9.8,6,1.0
2022-07-07 10:00:00,3,30,9.7,60,2.4,11.9,6,1.0
2022-07-07 11:00:00,3,30,8.1,60,3.5,14.1,6,1.0
2022-07-07 12:00:00,3,31,5.9,51,2.1,8.1,6,1.0
2022-07-07 13:00:00,3,32,8.2,60,2.9,13.0,6,1.0
2022-07-07 14:00:00,3,31,5.1,42,2.9,9.5,6,1.0
2022-07-07 15:00:00,3,32,8.6,60,2.8,10.1,6,1.0
2022-07-07 16:00:00,3,30,4.9,40,3.0,9.2,6,1.0
2022-07-07 17:00:00,3,32,8.7,49,1.6,7.4,6,1.0
2022-07-08 07:00:00,4,28,9.8,31,2.0,9.4,6,1.0
2022-07-08 08:00:00,4,31,7.3,60,3.3,12.0,6,1.0
2022-07-08 09:00:00,4,30,9.5,60,2.5,12.3,6,1.0
2022-07-08 10:00:00,4,31,9.0,60,2.8,12.8,6,1.0
2022-07-08 11:00:00,4,31,6.3,60,3.6,12.4,6,1.0
2022-07-08 12:00:00,4,33,8.1,60,3.0,13.0,6,1.0
2022-07-08 13:00:00,4,32,6.7,60,4.1,13.6,6,1.0
2022-07-08 14:00:00,4,33,8.5,60,3.0,10.8,6,1.0
2022-07-08 15:00:00,4,33,6.7,60,3.7,11.7,6,1.0
2022-07-08 16:00:00,4,32,8.3,60,2.6,11.3,6,1.0
2022-07-08 17:00:00,4,31,9.5,60,2.1,9.5,6,1.0
2022-07-09 09:00:00,5,32,7.3,41,3.3,12.7,4,0.6666666666666666
2022-07-09 10:00:00,5,33,9.3,60,4.1,18.3,6,1.0
2022-07-09 11:00:00,5,32,7.6,60,5.7,21.1,6,1.0
2022-07-09 12:00:00,5,33,7.6,60,5.8,21.9,6,1.0
2022-07-09 13:00:00,5,33,7.1,60,5.9,21.3,6,1.0
2022-07-09 14:00:00,5,33,6.5,60,6.1,21.3,6,1.0
2022-07-09 15:00:00,5,31,8.4,60,3.2,12.3,6,1.0
2022-07-09 16:00:00,5,31,8.8,60,2.7,11.1,2,0.3333333333333333
2022-07-09 17:00:00,5,30,8.2,60,2.6,10.1,2,0.3333333333333333
2022-07-11 07:00:00,0,31,8.0,60,6.0,23.1,6,1.0
2022-07-11 08:00:00,0,32,7.0,60,8.6,29.2,6,1.0
2022-07-11 09:00:00,0,32,6.4,60,9.1,30.1,6,1.0
2022-07-11 10:00:00,0,34,6.7,60,9.5,30.5,6,1.0
2022-07-11 11:00:00,0,35,5.9,60,9.0,27.6,6,1.0
2022-07-11 12:00:00,0,36,6.5,60,9.6,29.7,6,1.0
2022-07-11 13:00:00,0,36,6.3,60,9.6,29.4,6,1.0
2022-07-11 14:00:00,0,35,6.6,60,5.8,18.7,6,1.0
2022-07-11 15:00:00,0,35,5.3,60,6.4,19.1,6,1.0
2022-07-11 16:00:00,0,34,5.9,60,6.1,20.2,6,1.0
2022-07-11 17:00:00,0,32,7.5,60,4.3,16.9,6,1.0
2022-07-12 07:00:00,1,29,7.0,29,3.4,11.5,6,1.0
2022-07-12 08:00:00,1,29,7.6,60,8.2,29.5,6,1.0
2022-07-12 09:00:00,1,30,7.6,60,4.9,19.8,6,1.0
2022-07-12 10:00:00,1,32,8.2,60,4.2,17.1,6,1.0
2022-07-12 11:00:00,1,31,6.8,60,5.0,17.6,6,1.0
