,ÉfÅ[É^
0,221
1,12
2,185
3,26
4,54
5,238
6,186
7,200
8,28
9,226
10,37
11,222
12,241
13,242
14,217
15,33
16,218
17,53
18,233
19,227
20,52
21,239
22,57
23,8
24,183
25,196
26,197
27,35
28,23
29,47
30,189
31,201
32,234
33,243
34,216
35,212
36,29
