,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
3105,inf,inf,inf,inf
3106,inf,inf,inf,inf
3110,62.94,59.26,124.4,94.18
3111,56.22,67.11,54.56,54.51
3112,72.09,41.49,81.08,84.83
3118,inf,inf,inf,inf
3119,inf,inf,inf,inf
3121,inf,inf,inf,inf
3123,89.8,91.63,3.83,0.2
3130,inf,inf,inf,inf
3136,inf,inf,inf,inf
3138,inf,inf,inf,inf
3139,70.54,82.1,26.83,34.23
3145,inf,inf,inf,inf
3147,91.58,86.93,10.54,11.3
3152,inf,inf,inf,inf
3155,inf,inf,inf,inf
3159,20.74,30.98,100.45,84.76
3171,inf,inf,inf,inf
3175,inf,inf,inf,inf
3176,inf,inf,inf,inf
3179,68.84,66.99,71.68,72.14
3180,6.59,14.14,4.26,3.21
3182,21.15,11.82,20.71,11.95
3183,22.42,16.84,16.63,20.4
3184,22.12,7.81,0.41,2.61
3185,inf,inf,inf,inf
3188,inf,inf,inf,inf
3190,inf,inf,inf,inf
3194,inf,inf,inf,inf
3197,inf,inf,inf,inf
3203,44.42,30.03,6.61,9.89
3204,28.69,24.65,4.77,2.32
3207,17.36,11.83,5.52,2.64
3208,33.82,21.66,1.6,10.04
3209,50.03,33.58,3.43,1.9
3212,23.29,18.14,64.65,57.45
3217,86.31,88.77,6.04,4.31
3219,inf,inf,inf,inf
3220,inf,inf,inf,inf
3225,70.39,47.87,106.4,108.26
3227,4.78,4.72,14.52,5.03
3228,19.15,24.34,18.78,20.07
3234,28.44,27.98,0.87,6.54
3235,57.06,33.97,98.74,100.25
3236,2.86,1.13,63.82,55.51
3248,99.68,57.96,134.48,142.64
3250,15.71,7.24,17.28,31.63
3251,32.22,31.78,33.89,35.44
3258,20.63,21.23,5.15,4.39
3260,inf,inf,inf,inf
3261,inf,inf,inf,inf
3262,inf,inf,inf,inf
3263,inf,inf,inf,inf
3271,inf,inf,inf,inf
3273,92.55,93.75,43.06,39.29
3277,inf,inf,inf,inf
3290,inf,inf,inf,inf
3291,90.56,90.39,4.63,6.14
3293,inf,inf,inf,inf
3296,inf,inf,inf,inf
3297,inf,inf,inf,inf
3307,inf,inf,inf,inf
3312,inf,inf,inf,inf
3319,inf,inf,inf,inf
