“úŽž,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018/5/2,24.875,25,24.55893519,24.55893519,24.55893519,24.55893519,24.325,25.26041667,25.75,25.66666667,25.75,24.66666667,24.39166667,20,20,26.66666667,26.29166667,25.33333333,26.41666667
2018/5/3,24.83333333,25,24.60989583,24.60989583,24.60989583,24.60989583,24.2,25.5,25.75,24.83333333,25.75,24.66666667,24.2,20,20,26.66666667,26.5,26.5,26.91666667
2018/5/4,24.83333333,25,24.64333333,24.64333333,24.64333333,24.64333333,24.2,25.5,25.75,25.33333333,25.75,24.66666667,24.2,20,20,26.66666667,26.5,26.5,26
2018/5/5,24.83333333,25,24.66231481,24.66231481,24.66231481,24.66231481,24.59166667,25.5625,25.8125,26,25.75,24.66666667,24.2,20,20,26.52777778,26.5,26.5,26
2018/5/6,24.83333333,25,24.61506944,24.61506944,24.61506944,24.61506944,23.8,25.80208333,25.83333333,26,25.75,24.66666667,24.2,20,20,26.33333333,26.5,26.5,26
2018/5/7,24.85416667,25,24.60041667,24.60041667,24.60041667,24.60041667,23,25.55208333,25.53125,26,25.75,24.66666667,24.2,20,20,26.33333333,26.5,26.5,26.20833333
2018/5/8,24.83333333,25,24.67006944,24.67006944,24.67006944,24.67006944,24.19166667,25.34375,25.77083333,26,25.75,24.66666667,24.43333333,20,20,26.33333333,26.5,26.5,26.54166667
2018/5/9,24.83333333,25,24.69458333,24.69458333,24.69458333,24.69458333,25.6,25.27083333,24.91666667,26,25.75,24.66666667,24.43333333,20,20,26.33333333,26.5,26.5,27
2018/5/10,24.83333333,25,24.54416667,24.54416667,24.54416667,24.54416667,24.275,24.9375,24.41666667,26,25.75,24.66666667,24.2,20,20,26.33333333,26.5,26.5,26.83333333
2018/5/11,24.83333333,25,24.45208333,24.45208333,24.45208333,24.45208333,23.2,25.05208333,24.9375,26,25.75,24.66666667,24.2,20,20,26.33333333,26.5,26.5,26
2018/5/12,24.83333333,25,24.50125,24.50125,24.50125,24.50125,24.125,24.85416667,25.75,26,25.75,24.66666667,24.06666667,20,20,26.33333333,26.5,26.5,26
2018/5/13,24.64583333,25,24.47986111,24.47986111,24.47986111,24.47986111,24.65,24.22916667,25.10416667,26,25.75,24.66666667,24,20,20,26.33333333,26.5,26.5,26
2018/5/14,24.72222222,25,24.56497685,24.56497685,24.56497685,24.56497685,24.2,24.59375,25.3125,26,25.75,24.66666667,24.125,20,20,26.33333333,26.5,26.5,26
