,“ú•Ê
0,inf
4,inf
8,inf
13,43.17
14,inf
19,41.29
22,4.55
33,inf
39,25.2
40,inf
41,169.6
43,2.17
45,inf
47,27.07
49,49.21
50,71.4
51,inf
53,85.81
56,61.72
58,inf
62,51.16
68,6.39
71,23.02
73,42.53
74,18.75
75,37.78
81,23.41
85,14.4
89,9.04
93,6.95
95,13.7
96,114.6
108,17.03
115,20.34
116,5.56
117,38.24
119,1.49
128,3.02
132,5.76
135,34.14
137,77.89
142,179.1
143,104.81
151,13.53
152,4.74
153,2.38
157,inf
161,35.87
162,18.65
165,75.3
166,102.74
167,54.21
169,3.32
176,31.16
177,64.21
180,inf
181,14.15
183,157.69
184,48.7
188,7.56
197,69.21
198,15.66
202,36.22
203,inf
208,221.6
210,inf
212,inf
213,inf
218,23.42
219,214.45
222,inf
229,122.12
233,inf
239,270.6
247,inf
250,65.84
258,192.67
261,24.66
264,126.46
268,88.49
269,13.35
275,2434.7
277,1669.39
281,5.86
287,124.79
305,9.49
311,44.62
312,49.93
315,164.83
317,39.29
318,33.35
319,23.19
320,41.57
321,29.72
324,16.5
327,1757.71
329,92.91
332,702.43
333,1181.44
335,134.42
336,69.14
339,77.75
341,37.47
342,34.95
344,14.04
346,7.16
349,47.56
351,60.91
353,28.25
362,462.5
364,305.19
