,éûçèï ,é¿ê—
1,0.2203060463407561,0.0
2,0.15728577757494952,0.0
5,0.26185695951172755,0.0
6,0.39550705108072043,0.0
10,0.34019779164239417,0.0
13,0.5512703760583957,0.0
14,0.27737409679953434,0.0
17,0.23618965936706218,0.0
22,0.24203168478381595,0.0
25,0.15854028652594307,0.0
27,0.136330150964488,0.0
31,0.20993704009753567,0.0
35,0.19689166282574658,0.0
36,0.2682664186818564,0.0
43,0.11227046804091234,0.0
46,0.06155984479260799,0.0
49,0.15018357002499866,0.0
60,0.23228175091804998,1.0
62,-0.25838549968119995,0.0
67,0.08080393774006146,1.0
68,0.11601921167208734,0.0
69,0.11250241534147504,0.0
71,0.06780047085083442,0.0
73,0.026725354255911812,0.0
74,0.02258423333584013,1.0
76,0.038290954316881454,0.0
78,-0.028820254937278012,0.0
82,0.37025386135639615,0.0
84,0.2592710771691134,0.0
85,0.302232617163886,0.0
87,0.17504907778046613,0.0
88,0.026033719689300853,0.0
93,0.25654764595373586,0.0
96,0.2165721128318333,1.0
98,0.09433523727156211,0.0
102,0.14165660916832443,1.0
106,0.5152668647821975,0.0
109,0.5156004508865097,0.0
114,-0.09629890192787399,0.0
115,-0.03105736529735307,1.0
120,0.18156514026115084,0.0
121,0.29710825992791484,0.0
125,0.4473494714326565,0.0
130,1.2736206463528914,1.0
135,0.5948019205787498,0.0
136,0.8098008803311103,0.0
139,0.0633787762692332,0.0
140,0.08780202717014081,1.0
146,0.1910391826172338,0.0
148,0.16336664332581843,0.0
149,0.11291026271982625,0.0
150,0.8989089470910349,2.0
154,0.5388145395805904,2.0
157,0.7070613564760568,0.0
165,0.1432680020489417,0.0
168,0.09989025992531649,0.0
171,0.1180376793546651,0.0
172,0.1824554905226418,0.0
182,0.11152663233456338,0.0
183,0.2862323064811757,1.0
186,0.24080884967572908,0.0
187,0.05465841480297573,0.0
188,0.17471556843952188,0.0
190,0.18650616134961806,0.0
193,0.03090296427456815,0.0
194,0.057338026141800426,0.0
195,0.13337536529753827,0.0
