,éûçèï 
1913,inf
1915,inf
1917,inf
1919,inf
1921,inf
1922,inf
1923,inf
1925,inf
1927,81.73
1931,inf
1933,inf
1934,inf
1935,80.04
1937,inf
1949,inf
1950,69.43
1953,6.1
1955,inf
1956,54.16
1957,2.37
1959,16.6
1961,inf
1965,inf
1966,inf
1969,inf
1978,inf
1981,11.12
1982,20.16
1987,inf
1992,inf
1993,92.47
2010,inf
2013,inf
2024,inf
2027,15.36
2029,36.59
2043,inf
2044,inf
2048,9.49
2054,3.16
2056,27.43
2058,inf
2059,inf
2060,inf
2061,88.42
2064,inf
2071,inf
2072,inf
2073,inf
2074,inf
2076,81.23
2077,inf
2080,inf
2087,inf
2088,inf
2091,85.98
2093,inf
2094,inf
2095,inf
2097,inf
2098,inf
2103,inf
2105,inf
2106,inf
2108,inf
2109,inf
2110,inf
2112,inf
2113,inf
2117,inf
2119,40.19
2120,3.88
2122,49.09
2127,13.48
2131,inf
2138,68.45
2139,inf
2142,76.17
2145,3.33
2146,12.91
2153,85.87
2154,inf
2156,inf
2157,inf
2158,inf
2160,93.53
2162,inf
2163,inf
2168,37.7
2169,0.91
2170,16.49
2182,inf
2185,inf
2187,inf
2195,inf
2196,20.99
2201,inf
2203,inf
2204,inf
2208,inf
2213,99.98
2214,inf
2215,inf
2216,18.17
2217,5.27
2218,inf
2239,inf
2240,inf
2242,71.16
2243,inf
2251,inf
2252,inf
2253,inf
2255,inf
2258,inf
2259,inf
2263,inf
2264,68.81
2266,inf
2268,inf
2271,103.87
2272,inf
2275,inf
2276,inf
2284,inf
2290,8.53
2292,6.23
2293,inf
2296,26.06
2297,inf
2299,inf
2302,inf
2307,93.06
2308,inf
2309,inf
2313,37.03
2323,81.48
2324,inf
2331,94.26
2335,18.57
2339,34.43
2340,32.77
2345,inf
2348,93.14
2350,inf
2362,13.84
2365,3.34
2368,27.86
2369,inf
2377,inf
2392,39.37
2393,inf
2411,inf
2412,inf
2414,12.14
2420,inf
2421,inf
2422,63.62
2424,inf
2428,inf
2429,inf
2433,47.34
2435,29.14
2436,70.28
2440,inf
2443,inf
2446,inf
2447,inf
2448,inf
2451,inf
2456,12.64
2460,65.08
2462,85.49
2466,inf
2468,inf
2470,84.27
2474,inf
2484,11.38
2489,inf
2496,inf
2497,inf
2501,inf
2505,46.62
2506,18.93
2507,7.99
2508,0.91
2512,5.25
2515,inf
2519,inf
2520,inf
2521,inf
2526,inf
2529,44.43
2531,0.75
2538,inf
2540,inf
2544,inf
2546,inf
2553,52.5
2554,33.19
2556,41.9
2560,34.46
2564,inf
2567,inf
2568,inf
2570,88.51
2581,inf
2583,inf
2592,inf
2594,inf
2599,104.62
2606,inf
2619,inf
2620,inf
2621,inf
2624,4.03
2625,38.56
2639,inf
2640,inf
2642,93.06
2646,15.73
2650,36.4
2672,17.56
2676,54.6
2679,44.64
2681,inf
2685,86.22
2688,inf
2689,inf
2691,inf
2692,86.6
2696,inf
2699,inf
2702,inf
2710,inf
2712,inf
2717,inf
2723,107.08
2739,inf
2742,inf
2745,16.77
2749,inf
2752,91.36
2754,inf
2758,inf
2759,inf
2768,91.11
2772,inf
2778,inf
2781,inf
2782,83.77
2788,inf
2795,12.54
2798,18.58
2800,9.2
2805,inf
2807,inf
2809,inf
2812,inf
2814,25.29
2820,10.72
2822,90.91
2828,inf
2831,inf
2834,inf
2836,inf
2838,63.33
2840,9.85
2841,0.75
2843,4.32
2844,18.9
2846,0.22
2849,79.63
2850,inf
2852,inf
2854,inf
2855,inf
2857,85.89
2864,22.16
2866,3.61
2871,34.27
2877,inf
2881,inf
2893,31.0
2897,inf
2898,inf
2899,inf
2909,inf
2910,70.51
2915,21.7
2916,inf
2922,96.08
2926,inf
2928,inf
2932,inf
2933,inf
2934,inf
2935,inf
2938,inf
2944,120.32
2948,inf
2950,inf
2951,inf
2957,inf
2960,29.71
2963,36.55
2964,8.57
2970,inf
2978,inf
2981,75.18
2986,23.58
2989,27.36
2990,10.88
2993,inf
3000,inf
3004,inf
3007,15.78
3011,10.72
3013,12.13
3020,89.14
3026,inf
3028,inf
3031,14.67
3033,19.95
3034,0.55
3036,0.71
3041,inf
3042,inf
3049,inf
3051,inf
3053,inf
3059,5.21
3062,14.33
3065,inf
3066,inf
3068,inf
3070,68.56
3071,inf
3072,inf
3076,inf
3079,inf
3083,52.9
3088,inf
3091,inf
3095,inf
3099,inf
3101,inf
3103,inf
3105,17.94
3106,14.91
3112,inf
3114,inf
3117,106.61
3120,inf
3124,inf
3127,inf
3129,11.78
3133,6.38
3134,0.26
3137,inf
3139,81.93
3142,inf
3143,inf
3144,inf
3145,inf
3148,inf
3150,22.24
3152,20.31
3155,7.83
3156,12.17
3158,13.58
3161,205.08
3166,14.4
3168,41.22
3172,62.77
3183,12.88
3186,inf
3187,inf
3198,18.83
3199,57.48
3200,27.11
3201,37.38
3204,8.74
3205,39.96
3210,inf
3214,inf
3216,inf
3218,inf
3220,inf
3221,inf
3224,inf
3228,9.21
3232,32.82
3235,inf
3237,inf
3238,inf
3239,inf
3246,inf
3247,inf
3252,50.24
3254,40.53
3255,56.73
3261,inf
3263,inf
3264,inf
3266,inf
3272,inf
3273,57.94
3274,50.32
3275,69.61
3276,47.32
3277,52.06
3278,52.47
3280,75.42
3282,inf
3288,inf
3290,inf
3293,inf
3295,40.17
3296,23.19
3298,29.57
3301,4.47
3304,inf
3305,inf
3306,inf
3308,inf
3309,inf
3310,inf
3311,inf
3317,inf
3318,inf
3323,6.75
3325,2.54
3327,202.13
3328,47.33
3333,inf
3336,inf
3339,inf
3343,33.79
3358,inf
3362,inf
3364,inf
3367,inf
3369,38.48
3371,2.44
3373,31.03
3374,6.05
3379,82.62
3383,inf
3385,inf
3386,inf
3389,inf
3390,0.03
3391,97.25
3396,26.91
3404,inf
3411,81.39
3416,inf
3424,inf
3425,inf
3427,inf
3428,inf
3429,95.22
3431,inf
3442,16.27
3443,13.04
3445,1.16
3452,inf
3453,inf
3458,inf
3460,inf
3463,30.99
3464,38.83
3467,40.1
3468,38.83
3470,15.61
3479,inf
3481,inf
3488,22.26
3499,inf
3501,inf
3511,31.92
3513,2.31
3520,29.55
3521,3.21
3522,inf
3523,inf
3524,inf
3526,inf
3534,18.18
3536,36.72
3537,18.34
3539,14.04
3542,3.02
3543,5.19
3547,53.52
3550,68.77
3553,84.73
3554,66.79
3561,22.38
3563,2.15
3567,2.38
3569,inf
3571,55.95
3576,inf
3577,inf
3584,108.93
