,éûçèï 
860,inf
861,76.41
862,inf
863,inf
864,inf
865,inf
866,inf
867,inf
868,inf
869,81.45
870,inf
872,inf
873,inf
874,inf
877,inf
878,inf
879,67.49
880,inf
881,inf
882,inf
883,inf
884,inf
885,inf
889,inf
890,inf
891,inf
893,inf
894,54.23
895,inf
896,inf
897,inf
898,inf
899,inf
903,inf
905,inf
906,inf
907,inf
910,76.52
914,inf
915,inf
916,inf
917,74.23
919,inf
920,inf
922,inf
924,inf
925,61.26
926,inf
927,inf
929,inf
930,inf
932,inf
933,73.41
934,inf
935,inf
936,inf
937,inf
939,inf
940,54.3
942,inf
943,inf
944,inf
945,inf
946,19.19
948,inf
949,52.46
951,inf
952,62.37
954,inf
956,77.19
957,inf
959,inf
960,inf
962,inf
966,inf
967,inf
968,inf
969,inf
971,inf
972,66.22
973,inf
974,inf
975,inf
978,inf
979,inf
981,inf
982,inf
984,75.42
987,inf
990,inf
991,63.51
993,inf
994,inf
998,inf
999,63.82
1001,inf
1002,inf
1003,inf
1004,inf
1005,inf
1007,inf
1008,inf
1010,inf
1011,inf
1012,inf
1014,54.78
1020,inf
1021,59.24
1022,inf
1023,inf
1024,inf
1025,inf
1026,inf
1028,inf
1029,77.21
1034,inf
1035,inf
1037,inf
1038,inf
1039,inf
1040,inf
1041,inf
1042,inf
1043,8.63
1044,5.75
1045,3.85
1046,4.67
1048,24.64
1049,inf
1050,inf
1052,70.16
1055,inf
1057,inf
1059,inf
1061,inf
1062,inf
1063,inf
1065,inf
1067,44.56
1068,inf
1070,inf
1073,inf
1074,inf
1075,59.61
1078,inf
1081,inf
1082,82.07
1083,inf
1084,inf
1086,inf
1087,inf
1089,inf
1090,75.3
1091,inf
1093,inf
1094,inf
1095,inf
1096,inf
1097,inf
1099,inf
1100,inf
1102,inf
1103,inf
1104,inf
1105,79.0
1106,inf
1107,inf
1108,inf
1109,inf
1110,inf
1111,17.58
1113,inf
1115,inf
1116,16.75
1117,5.5
1118,inf
1119,28.67
1120,inf
1121,inf
1122,inf
1123,65.54
1124,inf
1125,inf
1126,inf
1127,inf
1128,inf
1129,inf
1130,inf
1131,83.38
1133,inf
1134,inf
1135,41.9
1136,24.77
1137,inf
1138,23.32
1139,inf
1140,44.64
1141,45.57
1143,41.75
1145,inf
1146,inf
1147,72.05
1148,inf
1149,inf
1150,inf
1153,inf
1155,77.1
1157,inf
1159,inf
1160,inf
1163,62.28
1164,inf
1166,inf
1167,61.94
1170,inf
1171,72.51
1172,inf
1175,inf
1177,inf
1178,inf
1180,inf
1181,inf
1182,inf
1183,inf
1185,inf
1186,40.34
1187,inf
1190,inf
1191,inf
1192,inf
1193,inf
1195,57.72
1196,inf
1198,inf
1200,inf
1201,inf
1202,77.8
1203,inf
1204,inf
1205,inf
1206,inf
1208,inf
1209,12.69
1210,22.62
1211,inf
1212,15.0
1214,inf
1215,18.21
1217,inf
1219,inf
1220,47.43
1221,inf
1222,inf
1223,inf
1225,inf
1226,inf
1227,inf
1228,83.35
1229,inf
1230,inf
1231,inf
1232,inf
1233,inf
1234,inf
1235,77.18
1236,inf
1237,inf
1240,inf
1241,inf
1242,inf
1243,73.8
1246,inf
1247,inf
1248,inf
1250,75.03
1253,inf
1255,inf
1256,inf
1257,47.8
1258,inf
1259,inf
1260,44.75
1261,inf
1262,inf
1263,inf
1264,inf
1266,inf
1267,61.77
1268,inf
1269,inf
1270,inf
1271,inf
1272,inf
1273,inf
1274,inf
1275,64.34
1278,inf
1279,36.94
1281,25.37
1282,inf
1283,inf
1284,0.59
1285,13.54
1287,inf
1289,inf
1291,inf
1292,inf
1297,inf
1298,inf
1299,inf
1303,inf
1304,36.87
1306,10.28
1307,41.51
1309,15.35
1310,7.33
1311,20.51
1312,inf
1313,inf
1315,inf
1316,inf
1317,inf
1318,inf
1321,inf
1322,79.02
1323,inf
1324,inf
1325,inf
1326,inf
1327,56.59
1328,inf
1329,48.28
1332,54.12
1333,20.02
1334,23.21
1335,39.49
1338,70.69
1339,inf
1340,inf
1342,inf
1343,inf
1344,inf
1345,75.07
1346,inf
1349,inf
1350,inf
1352,inf
1353,54.83
1354,41.62
1355,inf
1356,inf
1357,57.34
1359,inf
1360,52.31
1361,inf
1362,inf
1363,inf
1364,inf
1366,inf
1367,65.65
1368,inf
1369,inf
1370,inf
1373,inf
1374,inf
1375,50.72
1376,inf
1377,17.57
1381,inf
1382,49.2
1383,45.24
1384,53.86
1385,inf
1388,inf
1392,inf
1393,inf
1394,inf
1395,inf
1397,inf
1398,74.87
1399,inf
1400,inf
1401,inf
1402,inf
1403,inf
1404,inf
1405,inf
1406,59.65
1408,inf
1409,inf
1410,inf
1411,inf
1413,74.63
1414,inf
1416,inf
1418,inf
1420,inf
1422,inf
1423,inf
1427,inf
1428,inf
1429,68.34
1430,inf
1431,inf
1432,inf
1435,inf
1436,77.21
1438,inf
1439,inf
1440,inf
1441,inf
1442,inf
1443,inf
1444,84.44
1445,inf
1446,inf
1447,44.65
1448,inf
1449,14.94
1450,46.38
1451,17.24
1453,16.66
1454,26.03
1455,17.03
1456,inf
1458,inf
1459,71.49
1460,inf
1461,inf
1464,inf
1466,inf
1468,inf
1470,inf
1471,26.12
1473,12.58
1478,13.42
1479,inf
1480,10.36
1481,33.92
1482,inf
1483,inf
1484,inf
1486,inf
1488,inf
1489,74.2
1491,inf
1492,inf
1493,inf
1494,inf
1495,34.47
1496,7.94
1499,inf
1500,9.11
1501,29.15
1503,7.98
1504,26.6
1505,inf
1507,inf
1508,inf
1509,inf
1510,inf
1511,80.06
1512,inf
1513,inf
1514,inf
1515,inf
1516,inf
1517,inf
1518,inf
1521,5.48
1523,inf
1524,22.46
1525,44.04
1527,7.29
1528,26.29
1529,inf
1530,inf
1531,inf
1532,inf
1533,inf
1534,64.55
1535,inf
1536,inf
1538,inf
1540,inf
1541,64.85
1542,inf
1543,inf
1544,15.26
1545,29.37
1546,inf
1549,7.23
1550,14.68
1551,10.22
1552,inf
1553,inf
1554,inf
1555,77.99
1556,inf
1557,inf
1558,inf
1559,inf
1561,inf
1562,76.16
1565,inf
1566,inf
1567,inf
1569,inf
1570,60.04
1573,inf
1574,inf
1575,inf
1578,58.53
1579,inf
1580,inf
1581,inf
1583,inf
1585,60.52
1586,inf
1587,inf
1588,inf
1589,inf
1590,inf
1591,inf
1597,inf
1598,inf
1599,inf
1600,74.17
1601,inf
1602,inf
1603,inf
1605,inf
1606,inf
1607,inf
1611,inf
1612,inf
1613,inf
1614,inf
1615,19.13
1617,0.1
1618,inf
1620,1.98
1621,2.79
1622,34.87
1623,4.84
1624,3.84
1625,inf
1626,inf
1627,inf
1629,inf
1631,inf
1632,inf
1633,inf
1634,inf
1635,inf
1636,89.39
1639,17.81
1640,20.79
1641,51.29
1643,14.98
1644,50.3
1647,15.56
1649,inf
1650,56.36
1653,inf
1654,inf
1655,inf
1656,inf
1657,64.43
1658,inf
1659,inf
1660,inf
1661,inf
1663,10.68
1666,28.86
1668,17.45
1669,55.4
1670,18.92
1671,22.79
1672,inf
1673,inf
1676,inf
1677,inf
1678,inf
1679,inf
1681,inf
1684,inf
1685,inf
1687,15.27
1688,10.56
1690,22.25
1691,32.77
1693,0.32
1695,28.55
1696,37.81
1698,inf
1699,inf
1700,inf
1701,inf
1703,74.97
1704,inf
1705,inf
1706,inf
1707,inf
1709,inf
1710,19.7
1712,11.63
1713,20.26
1714,0.05
1715,4.88
1716,25.69
1717,26.48
1718,4.48
1719,5.89
1721,inf
1724,75.22
1725,inf
1726,inf
1730,inf
1733,inf
1734,inf
1735,inf
1736,inf
1738,inf
1739,44.13
1740,inf
1743,inf
1744,inf
1745,inf
1746,57.77
1747,inf
1748,inf
1749,inf
1750,inf
1751,inf
1752,inf
1754,74.14
1755,inf
1756,inf
1757,inf
1760,inf
1761,45.34
1762,inf
1763,inf
1764,inf
1765,inf
1766,inf
1768,inf
1769,80.96
1770,inf
1771,inf
1772,inf
1773,inf
1774,inf
1776,51.97
1777,inf
1778,inf
1782,40.24
1783,18.1
1784,16.16
1785,13.19
1786,4.43
1789,13.1
1790,11.11
1791,10.19
1792,12.54
1797,77.95
1799,inf
1801,inf
1802,inf
1805,inf
1806,inf
1807,17.51
1808,14.74
1809,12.7
1810,36.79
1811,16.67
1812,21.07
1813,17.25
1817,inf
1818,inf
1819,72.34
1820,inf
1823,inf
1827,inf
1829,inf
1830,inf
1831,16.98
1833,10.92
1834,7.9
1835,42.41
1836,8.13
1838,16.09
1839,inf
1840,18.9
1843,59.51
1844,inf
1846,inf
1847,inf
1848,inf
1849,inf
1850,inf
1851,83.27
1853,inf
1854,inf
1856,16.73
1857,15.49
1859,3.82
1860,15.36
1862,inf
1863,0.64
1866,inf
1867,inf
1869,70.17
1870,inf
1871,inf
1874,inf
1875,inf
1877,69.84
1881,17.23
1882,29.16
1883,15.37
1884,11.3
1885,20.73
1886,4.61
1889,inf
1890,inf
1891,61.94
1892,inf
1893,inf
1895,inf
1896,inf
1897,inf
1899,68.44
1901,inf
1902,inf
1904,inf
1905,inf
1907,inf
1908,64.0
1909,inf
1910,inf
1911,inf
1912,71.08
1914,inf
1916,inf
1918,inf
1920,47.47
1924,inf
1926,inf
1928,inf
1929,inf
1930,inf
1932,inf
1936,inf
1938,inf
1939,inf
1940,inf
1941,inf
1942,inf
1943,76.41
1944,inf
1945,inf
1946,inf
1947,inf
1948,inf
1951,35.6
1952,0.91
1954,10.38
1958,22.86
1960,inf
1962,70.29
1963,inf
1964,inf
1967,inf
1968,inf
1970,81.97
1971,inf
1972,inf
1973,inf
1974,inf
1975,15.92
1976,7.33
1977,16.72
1979,3.02
1980,8.72
1983,19.17
1984,inf
1985,80.8
1986,inf
1988,inf
1989,inf
1990,inf
1991,inf
1994,inf
1995,inf
1996,inf
1997,inf
1998,32.72
1999,19.79
2000,12.08
2001,6.92
2002,22.75
2003,18.87
2004,20.97
2005,9.69
2006,7.34
2007,20.34
2008,inf
2009,56.68
2011,inf
2012,inf
2014,inf
2015,inf
2016,inf
2017,64.64
2018,inf
2019,inf
2020,inf
2021,inf
2022,33.92
2023,15.19
2025,7.05
2026,1.32
2028,3.66
2030,6.27
2031,7.3
2032,34.55
2033,inf
2034,inf
2035,inf
2036,inf
2037,inf
2038,73.96
2039,inf
2040,inf
2041,inf
2042,inf
