,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1149,inf,inf
1151,83.98,0.01
1152,inf,inf
1154,inf,inf
1155,63.39,0.79
1157,inf,inf
1160,inf,inf
1161,inf,inf
1163,47.36,5.36
1169,inf,inf
1170,inf,inf
1175,59.86,1.3
1176,inf,inf
1178,inf,inf
1187,inf,inf
1190,23.16,0.31
1192,inf,inf
1194,inf,inf
1199,inf,inf
1205,inf,inf
1206,inf,inf
1207,inf,inf
1208,inf,inf
1209,34.53,27.85
1210,30.73,3.59
1212,24.3,13.93
1222,inf,inf
1224,inf,inf
1225,37.1,2.34
1234,inf,inf
1236,inf,inf
1239,inf,inf
1242,inf,inf
1245,inf,inf
1247,inf,inf
1248,inf,inf
1252,inf,inf
1257,81.8,21.22
1258,inf,inf
1259,inf,inf
1261,inf,inf
1264,inf,inf
1265,inf,inf
1266,inf,inf
1267,91.78,4.22
1272,62.57,0.13
1273,inf,inf
1275,79.53,0.94
1280,inf,inf
1281,21.27,0.2
1282,inf,inf
1288,22.28,0.68
1291,inf,inf
1293,57.68,3.25
1295,76.76,0.53
1298,73.66,0.85
1300,inf,inf
1302,77.91,5.44
1303,inf,inf
1306,55.24,20.82
1312,inf,inf
1313,53.65,0.57
1319,inf,inf
1327,75.14,8.13
1328,inf,inf
1330,inf,inf
1331,10.57,6.4
1333,45.64,2.97
1335,70.7,20.95
1336,inf,inf
1339,inf,inf
1340,inf,inf
1343,62.22,2.08
1348,inf,inf
1349,inf,inf
1352,inf,inf
1354,76.28,14.57
1355,69.92,5.21
1358,61.52,20.49
1360,56.76,6.98
1362,inf,inf
1365,inf,inf
1370,inf,inf
1372,75.09,0.67
1374,37.0,1.34
1375,72.91,3.77
1377,31.79,0.67
1386,inf,inf
1387,47.83,6.28
1388,inf,inf
1390,inf,inf
1394,inf,inf
1403,inf,inf
1406,123.37,17.91
1411,inf,inf
1413,63.91,2.06
1416,inf,inf
1418,36.13,1.75
1428,102.09,2.72
1433,inf,inf
1439,36.83,0.62
1441,inf,inf
1446,inf,inf
1447,82.58,1.09
1448,inf,inf
1450,59.69,0.93
1454,82.17,5.53
1462,53.39,1.81
1464,inf,inf
1467,81.08,4.4
1468,inf,inf
1472,inf,inf
1476,58.11,7.09
1478,122.64,13.2
1479,12.27,2.65
1482,inf,inf
1484,inf,inf
1485,inf,inf
1495,5.52,3.38
1498,37.07,3.56
1501,14.39,25.82
