,“ú•Ê
0,161.12
3,4.66
4,22.53
5,7.44
8,11.18
10,110.28
11,2.86
12,102.75
13,148.71
14,18.45
15,23.85
20,87.28
21,24.69
22,8.8
23,1.12
24,93.02
25,16.97
27,8.3
28,7.73
33,5.08
34,91.99
35,14.04
36,21.29
37,105.32
39,102.73
40,21.53
42,73.97
43,44.86
46,18.46
47,2.06
48,73.28
49,9.57
50,110.78
51,8.52
52,10.18
53,181.18
57,10.67
58,32.07
60,19.12
62,67.77
63,7.89
64,32.0
65,68.63
67,16.76
69,99.11
70,8.76
71,9.14
74,17.26
75,7.05
76,19.96
77,49.67
78,18.89
80,34.09
81,7.83
82,9.57
83,20.64
85,14.9
86,102.29
87,26.13
88,12.53
89,21.33
90,26.41
92,35.64
93,35.13
94,86.43
95,32.82
96,47.64
97,18.04
102,9.48
104,47.41
106,13.13
108,339.72
109,6.82
110,14.81
111,19.41
112,402.98
113,402.98
114,151.49
115,402.98
116,0.33
117,10.3
118,8.07
121,339.72
123,9.65
125,23.55
126,19.41
127,21.54
128,237.79
131,30.66
132,14.55
133,15.79
134,10.27
135,16.91
136,97.35
137,118.45
139,10.15
143,402.98
145,11.29
147,21.54
148,21.54
149,402.98
150,79.71
152,18.03
156,86.43
157,102.76
158,5.33
159,141.53
160,25.01
161,112.82
162,23.1
164,31.58
165,39.69
167,23.22
168,22.04
169,128.29
170,46.25
172,1.09
173,14.16
174,32.66
175,216.3
176,13.71
177,107.81
179,97.46
182,18.9
183,20.17
184,58.68
187,33.34
188,8.53
189,20.19
191,23.37
193,4.19
194,99.17
195,2.13
196,128.28
197,204.16
198,10.27
199,76.09
200,115.76
201,201.07
203,174.41
204,625.09
205,12.64
206,112.75
207,67.33
208,195.8
210,108.77
211,52.64
214,41.73
216,18.95
218,60.57
219,95.03
220,117.88
222,98.38
223,38.82
224,199.76
225,0.23
226,16.76
227,118.17
228,15.06
229,10.99
230,25.2
231,17.3
232,12.26
233,140.16
234,19.56
236,25.93
237,21.12
238,33.0
241,6.81
242,5.31
244,34.8
245,23.3
246,1.72
247,38.58
248,20.63
250,24.22
252,8.88
253,15.17
256,0.97
257,9.64
258,13.12
259,22.25
260,5.05
261,20.63
262,20.63
263,9.93
264,4.44
265,0.97
267,15.17
268,28.0
270,12.16
271,6.67
273,835.21
277,1053.84
278,9.68
279,4.4
281,10.22
284,109.21
285,6.73
289,20.63
290,28.39
291,8.69
293,6.67
294,7.21
295,9.3
297,141.25
299,4.44
300,3.62
302,10.52
303,20.63
304,141.25
305,1.41
306,17.92
308,12.06
310,20.63
311,141.25
313,8.65
315,23.47
316,29.4
317,28.39
318,158.81
319,5.46
320,11.47
321,12.58
322,5.71
323,14.87
324,152.03
325,39.14
326,1.41
327,1.41
330,11.51
331,109.5
334,9.14
335,28.58
336,7.82
337,7.43
338,154.8
340,16.24
341,7.77
342,5.31
345,1.52
347,158.68
348,11.4
349,24.36
351,3.4
352,39.7
354,120.88
355,8.16
356,3.55
359,92.77
360,10.8
361,11.98
362,50.61
364,334.59
