,“ú•Ê
5,1.25
6,0.66
8,10.29
9,3.49
10,22.15
11,7.0
12,40.74
13,104.12
15,15.53
16,4.84
19,18.64
20,70.07
21,22.13
22,13.42
23,50.83
24,16.23
25,2.23
26,50.42
27,51.15
28,20.44
29,11.25
31,31.4
32,46.68
33,5.14
36,23.34
37,44.09
39,54.73
41,111.09
43,56.49
44,9.23
45,73.93
46,29.27
48,35.14
49,23.83
51,16.78
52,11.34
53,91.5
54,142.63
55,5.99
56,40.4
58,50.63
59,22.04
60,5.36
61,59.84
62,12.07
63,11.86
64,1.96
65,56.86
67,8.04
68,37.83
69,32.81
70,24.63
71,9.62
72,58.27
73,116.4
74,40.02
75,5.56
76,8.0
77,11.66
78,1.78
79,19.16
80,45.39
84,8.52
85,5.79
88,16.97
90,46.45
91,27.44
92,29.64
93,153.61
94,59.19
96,8.37
97,26.41
98,202.59
100,120.84
102,4.08
103,26.85
107,50.16
109,2.71
112,295.45
114,93.55
115,297.32
118,12.5
119,5.57
120,26.34
122,194.77
123,4.11
124,5.26
125,13.93
127,12.15
128,134.86
130,6.41
131,22.9
132,8.2
135,74.74
136,43.18
137,22.99
140,30.64
141,2.29
142,108.63
143,262.48
145,1.22
146,8.37
147,15.9
149,383.06
150,9.09
152,11.05
153,17.49
154,19.47
155,59.93
156,22.74
157,91.48
158,8.3
161,40.46
162,2.56
163,171.44
165,13.99
166,17.18
169,0.66
170,97.27
171,47.03
172,78.59
173,3.26
174,5.71
175,126.41
177,39.62
179,57.1
180,47.21
182,1.26
183,57.13
184,149.08
187,19.94
188,7.27
189,28.05
190,1.45
191,14.44
192,29.72
193,6.14
194,139.25
197,72.14
198,14.08
199,10.05
200,60.63
204,435.6
205,16.08
206,57.74
207,42.11
208,222.55
209,27.58
211,34.99
212,10.78
213,98.81
216,10.62
217,41.09
218,43.67
219,20.11
221,21.91
222,164.35
223,8.95
224,135.24
225,18.23
227,7.43
231,13.88
232,15.49
233,46.74
234,2.88
235,25.51
238,5.59
239,5.28
240,20.35
241,10.79
244,13.68
245,14.96
246,5.27
247,10.68
248,39.64
249,3.95
250,11.85
252,6.09
254,28.41
257,4.66
258,2.54
259,8.99
260,2.53
261,32.68
262,55.21
263,7.7
265,9.63
266,0.25
267,4.64
269,58.95
271,13.04
272,1556.98
273,370.19
275,96.59
276,46.91
277,828.39
278,7.14
280,19.6
286,2.77
287,0.33
289,32.4
291,3.31
293,10.9
294,9.12
295,5.7
297,122.82
298,0.15
299,1.17
300,2.33
301,0.23
302,1.22
303,75.15
304,31.45
307,6.11
308,8.85
310,54.79
311,180.56
312,0.97
313,8.71
314,1.28
315,13.96
317,20.28
319,0.78
320,3.53
321,4.22
324,225.74
325,37.51
328,350.13
330,1.3
332,6.54
333,2.97
336,9.93
337,2.35
338,60.11
339,8.74
340,0.11
342,4.26
343,2.44
344,3.6
345,22.75
346,35.4
348,2.9
349,13.39
350,36.82
351,0.83
352,8.84
353,2.22
355,6.99
356,1.98
357,2.11
358,14.27
360,11.63
361,11.2
363,14.94
