,“ú•Ê
0,0.25
3,50.59
4,4.1
5,2.66
8,1.91
10,33.4
11,0.44
12,1.5
13,1.99
14,2.07
15,0.53
20,2.69
21,1.0
22,0.56
23,3.09
24,17.38
25,1.95
27,2.96
28,4.5
33,0.62
34,0.74
35,0.16
36,0.85
37,1.9
39,1.36
40,0.98
42,1.58
43,1.77
46,3.99
47,0.71
48,0.75
49,3.91
50,2.69
51,1.6
52,75.55
53,0.09
57,2.75
58,6.48
60,1.07
62,7.19
63,3.81
64,1.42
65,1.58
67,1.0
69,0.67
70,3.94
71,1.86
74,1.29
75,0.18
76,0.36
77,0.41
78,3.66
80,134.32
81,1.04
82,1.07
83,1.18
85,0.35
86,7.31
87,94.92
88,1.96
89,2.0
90,3.56
92,9.27
93,2.08
94,148.66
95,2.88
96,3.15
97,2.13
102,1.69
104,1.25
106,2.41
108,95.7
109,0.64
110,1.14
111,3.56
112,0.13
113,0.86
114,1.92
115,160.79
116,0.03
117,0.62
118,1.84
121,2.79
123,4.61
125,1.91
126,1.37
127,0.44
128,3.51
131,2.8
132,1.8
133,0.09
134,0.11
135,4.2
136,12.78
137,2.66
139,0.05
143,89.71
145,1.74
147,2.68
148,0.47
149,4.91
150,54.35
152,1.46
156,2.03
157,215.7
158,1.23
159,0.04
160,2.47
161,0.25
162,4.16
164,97.96
165,0.98
167,4.44
168,3.15
169,0.33
170,10.33
172,4.09
173,5.05
174,1.88
175,0.43
176,0.41
177,2.79
179,1.21
182,0.66
183,0.97
184,0.05
187,4.3
188,2.15
189,1.13
191,0.67
193,6.63
194,6.1
195,0.56
196,5.23
197,6.24
198,5.57
199,54.65
200,0.21
201,0.7
203,0.63
204,1.84
205,0.97
206,6.03
207,0.74
208,1.49
210,0.1
211,2.9
214,0.59
216,4.61
218,0.97
219,4.28
220,15.73
222,2.14
223,0.94
224,0.23
225,1.1
226,4.95
227,11.13
228,0.35
229,1.0
230,1.04
231,1.41
232,0.24
233,6.76
234,11.41
236,2.25
237,3.48
238,1.61
241,33.91
242,0.95
244,0.52
245,1.85
246,2.27
247,6.48
248,44.43
250,1.45
252,1.59
253,0.76
256,1.48
257,0.67
258,4.83
259,1.66
260,2.45
261,0.28
262,14.15
263,3.14
264,2.43
265,7.5
267,2.14
268,4.41
270,4.89
271,5.64
273,166.54
277,46.27
278,2.93
279,115.44
281,0.69
284,5.52
285,1.73
289,4.12
290,33.31
291,11.79
293,1.42
294,3.79
295,7.93
297,13.13
299,0.6
300,2.16
302,3.26
303,0.12
304,38.99
305,0.46
306,16.7
308,8.09
310,95.49
311,5.13
313,6.5
315,9.26
316,4.89
317,97.5
318,51.54
319,4.12
320,0.43
321,4.25
322,5.17
323,8.67
324,5.96
325,17.29
326,7.01
327,4.1
330,0.14
331,4.67
334,0.31
335,2.83
336,5.98
337,1.49
338,0.68
340,3.15
341,5.25
342,3.59
345,4.45
347,1.93
348,0.3
349,2.69
351,0.09
352,6.33
354,0.32
355,0.28
356,1.83
359,4.23
360,41.9
361,0.46
362,2.55
364,1.39
