,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
17877,53.49,40.85,1.06,6.72
17878,inf,inf,inf,inf
17880,inf,inf,inf,inf
17881,62.38,35.81,1.79,0.52
17882,61.75,22.17,1.1,0.26
17884,47.66,42.72,1.05,3.0
17885,inf,inf,inf,inf
17886,inf,inf,inf,inf
17887,183.67,166.2,39.8,49.89
17888,36.41,24.7,5.28,5.43
17889,41.79,25.85,27.07,9.49
17890,inf,inf,inf,inf
17891,inf,inf,inf,inf
17892,inf,inf,inf,inf
17893,25.38,8.09,2.0,4.46
17894,54.54,23.64,2.11,4.12
17896,inf,inf,inf,inf
17897,32.87,50.39,9.95,8.16
17898,inf,inf,inf,inf
17900,68.66,62.8,0.82,2.08
17904,53.65,73.33,0.3,0.76
17905,inf,inf,inf,inf
17906,inf,inf,inf,inf
17908,inf,inf,inf,inf
17909,inf,inf,inf,inf
17910,inf,inf,inf,inf
17911,5.37,15.69,20.28,32.95
17912,8.19,15.25,20.91,11.71
17913,inf,inf,inf,inf
17915,5.18,24.52,8.47,12.06
17916,20.74,17.31,9.25,11.17
17918,inf,inf,inf,inf
17919,39.36,47.94,7.17,7.25
17920,53.56,45.04,11.34,7.13
17922,inf,inf,inf,inf
17925,inf,inf,inf,inf
17926,inf,inf,inf,inf
17929,inf,inf,inf,inf
17931,inf,inf,inf,inf
17932,64.92,67.56,0.46,1.18
17934,inf,inf,inf,inf
17935,38.81,25.6,17.69,20.54
17938,inf,inf,inf,inf
17939,35.47,61.64,11.85,3.24
17941,inf,inf,inf,inf
17943,23.94,19.51,6.0,4.24
17944,39.24,38.53,4.62,2.55
17945,inf,inf,inf,inf
17946,69.13,44.91,4.34,4.53
17951,82.87,71.95,0.75,0.04
17952,inf,inf,inf,inf
17953,inf,inf,inf,inf
17955,inf,inf,inf,inf
17956,inf,inf,inf,inf
17961,inf,inf,inf,inf
17963,16.75,17.4,14.98,9.63
