,éûçèï 
1,inf
2,83.33
3,inf
8,inf
9,inf
10,inf
12,78.01
13,inf
14,inf
15,inf
17,inf
18,53.17
19,inf
20,inf
21,inf
22,inf
27,inf
30,inf
31,inf
33,inf
34,62.58
35,inf
36,inf
37,inf
38,inf
39,inf
40,45.25
44,inf
45,64.25
49,inf
50,inf
51,71.61
53,inf
54,inf
55,inf
57,inf
58,inf
59,inf
61,59.42
62,inf
63,inf
64,inf
66,inf
68,inf
69,inf
70,inf
71,inf
72,83.82
73,inf
74,inf
75,inf
76,inf
77,inf
79,inf
80,inf
81,inf
82,inf
83,27.61
84,inf
86,inf
87,inf
88,inf
89,53.41
90,inf
92,inf
93,inf
94,72.88
96,inf
97,inf
98,inf
99,64.13
100,inf
101,inf
103,inf
104,inf
105,63.59
107,inf
108,inf
110,43.39
111,inf
112,inf
114,inf
115,72.92
116,inf
118,inf
119,inf
122,inf
124,inf
125,inf
126,47.37
127,inf
129,inf
130,inf
131,52.31
132,inf
133,inf
134,inf
135,inf
138,inf
139,inf
140,inf
141,inf
142,71.43
144,inf
145,inf
146,inf
147,75.33
149,inf
151,inf
152,51.64
153,inf
154,inf
156,inf
157,inf
158,57.36
159,inf
160,inf
161,inf
162,inf
163,76.28
168,61.54
169,inf
170,inf
171,inf
174,inf
178,inf
179,73.41
181,inf
182,inf
183,inf
186,inf
187,inf
191,inf
192,inf
193,inf
194,75.36
195,inf
196,inf
197,inf
198,inf
200,1.82
201,inf
202,inf
204,inf
205,48.08
207,inf
208,inf
209,inf
211,inf
212,inf
213,inf
214,inf
215,62.44
216,inf
217,inf
218,inf
220,inf
222,inf
223,inf
224,inf
227,inf
228,inf
229,inf
231,61.46
232,inf
233,inf
234,inf
235,inf
236,56.65
238,inf
239,inf
240,inf
242,74.55
243,inf
245,inf
246,inf
248,inf
251,inf
254,inf
255,inf
256,inf
257,47.29
258,inf
260,inf
261,inf
262,inf
264,inf
265,inf
266,inf
268,79.73
269,inf
271,inf
272,inf
273,57.88
274,inf
275,inf
276,inf
278,24.4
281,inf
282,inf
283,inf
285,inf
286,inf
288,inf
291,inf
292,inf
295,74.5
296,inf
300,49.06
302,inf
304,inf
307,inf
308,inf
311,70.11
313,inf
314,inf
315,inf
316,79.44
318,inf
321,inf
323,inf
324,inf
326,inf
327,44.89
328,inf
329,inf
331,inf
332,inf
333,46.25
334,inf
336,inf
339,inf
340,inf
342,inf
344,inf
346,inf
347,inf
348,inf
349,50.27
350,inf
351,inf
352,inf
354,62.13
355,inf
360,69.86
361,inf
362,inf
363,inf
364,inf
365,61.47
366,inf
367,inf
368,inf
370,68.21
372,inf
377,inf
379,inf
380,inf
383,inf
384,inf
387,82.03
388,inf
389,inf
390,inf
391,inf
393,inf
394,inf
395,inf
398,83.03
399,inf
400,inf
402,inf
404,inf
405,inf
406,inf
407,inf
409,71.56
411,inf
413,inf
416,inf
417,inf
418,inf
420,inf
421,inf
422,inf
424,inf
425,59.57
426,inf
427,inf
428,inf
430,66.35
432,inf
433,inf
437,inf
438,inf
439,inf
440,inf
442,inf
444,inf
445,inf
447,inf
448,inf
449,inf
450,inf
453,inf
455,inf
457,82.2
458,inf
460,inf
461,inf
462,44.45
463,inf
464,inf
465,inf
466,inf
467,inf
469,inf
472,inf
473,53.15
475,inf
476,inf
477,inf
478,inf
480,inf
481,inf
484,50.55
485,inf
487,inf
490,inf
491,inf
493,inf
495,40.3
496,inf
497,inf
