,éûçèï 
1739,50.12
1740,8.22
1742,47.19
1744,46.68
1748,74.09
1751,inf
1754,inf
1755,inf
1757,inf
1761,34.21
1764,169.28
1771,inf
1774,68.17
1775,inf
1782,inf
1787,3.69
1791,3.97
1795,14.82
1796,37.7
1798,inf
1810,12.68
1817,47.66
1819,37.89
1822,inf
1825,inf
1826,inf
1829,82.92
1831,inf
1837,18.98
1839,1.58
1840,47.9
1845,67.78
1847,inf
1849,inf
1852,inf
1859,5.25
1860,8.58
1863,4.03
1872,81.73
1873,inf
1877,inf
1889,284.73
1894,72.4
1895,inf
1898,inf
1900,85.21
1901,inf
1903,inf
1906,inf
1909,inf
1916,73.54
1918,inf
1920,inf
1926,inf
1929,inf
1930,inf
1932,34.77
1936,28.97
1938,36.45
1943,inf
1945,inf
1953,7.12
1960,32.13
1962,7.67
1963,13.17
1971,inf
1974,inf
1975,inf
1984,43.89
1986,79.31
1988,67.13
1993,inf
1994,inf
1995,inf
1997,inf
2000,inf
2005,27.85
2007,11.73
2010,4.15
2013,37.0
2015,inf
2016,inf
2021,inf
2022,inf
2027,1.05
2029,3.1
2031,10.93
2033,39.55
2036,64.85
2039,inf
2040,inf
2041,inf
2047,inf
2048,30.47
2049,16.17
2050,36.69
2052,10.41
2054,19.08
2063,inf
2071,93.36
2074,43.21
2076,52.41
2081,6.86
2096,inf
2097,42.24
2105,1.77
2109,inf
2110,80.22
2120,inf
2121,10.47
2124,13.69
2125,4.49
2126,9.68
2135,inf
2136,86.91
2138,inf
2139,inf
2144,inf
2146,30.0
2147,15.88
2148,17.25
2155,57.25
2164,inf
2166,inf
2174,5.83
2176,9.91
2179,58.64
2181,inf
2184,48.31
2185,inf
2188,inf
2189,inf
2191,inf
2194,20.57
2198,18.56
2199,2.48
2204,inf
2213,86.51
2217,16.82
2231,inf
2234,inf
2237,inf
2238,inf
2240,inf
2241,inf
2242,inf
2243,inf
2245,4.74
2246,36.43
2248,34.79
2250,inf
2252,inf
2254,inf
2258,inf
2264,62.85
2267,48.12
2268,37.76
2270,66.55
2272,inf
2278,inf
2281,inf
2286,92.65
2287,inf
2288,inf
2290,219.46
2291,30.65
2293,20.78
2299,40.83
2304,inf
2311,inf
2312,64.55
2319,20.48
2333,inf
2338,20.5
2340,17.46
2344,10.35
2347,0.83
2349,65.96
2352,inf
2353,inf
2354,inf
2355,82.29
2357,inf
2360,31.09
2363,16.12
2364,9.08
2369,16.66
2376,inf
2378,inf
2381,78.97
2382,inf
2385,26.08
2387,18.02
2396,34.73
2403,inf
2411,92.19
2412,29.45
2413,72.09
2419,inf
2421,inf
2423,inf
2425,inf
2430,inf
2433,37.3
2434,39.61
2435,24.54
2442,64.47
2448,inf
2461,22.82
2464,12.14
2468,11.66
2469,13.88
2472,87.29
2474,inf
2480,26.45
2481,19.61
2482,8.77
2489,20.45
2490,4.84
2502,inf
2509,3.11
2511,21.84
2516,26.66
2517,55.86
2519,inf
2520,inf
2521,91.57
2522,inf
2523,inf
2527,40.85
2533,8.13
2539,5.99
2545,inf
2546,inf
2547,inf
2549,inf
2551,103.79
2553,30.67
2560,20.22
2562,58.86
2563,32.69
2565,52.16
2566,inf
2567,inf
2569,inf
2570,inf
2572,inf
2575,inf
2577,30.88
2580,26.45
2582,12.25
2585,17.0
2588,inf
2593,inf
2597,inf
2605,19.49
2608,41.47
2613,2.02
2615,inf
2617,inf
2620,91.11
2621,inf
2624,18.92
2625,5.99
2628,7.53
2630,34.95
2637,10.21
2639,inf
2643,inf
2644,65.73
2645,inf
2647,31.46
2648,37.78
2649,0.12
2650,12.73
2654,15.18
2655,16.12
2657,4.75
2662,inf
2666,inf
2670,inf
2673,16.24
2676,45.71
2679,15.8
2683,25.03
2684,23.45
2689,inf
2695,inf
2698,23.14
2699,22.33
2701,19.93
2711,inf
2714,88.41
2717,inf
2718,inf
2720,32.31
2725,18.52
2726,68.38
2729,42.06
2730,10.38
2731,17.38
2732,74.07
2735,inf
2741,inf
2747,89.53
2756,58.91
2763,inf
2765,inf
2766,inf
2768,88.23
2773,15.83
2774,15.77
2784,inf
2785,inf
2786,inf
2796,29.55
2799,1.31
2804,0.96
2805,80.19
2806,inf
2808,inf
2811,inf
2812,inf
2814,inf
2816,36.87
2817,6.47
2818,25.94
2819,10.18
2821,22.17
2830,inf
2837,inf
2840,56.06
2842,8.19
2843,5.86
2849,4.4
2850,33.76
2851,8.82
2853,55.43
2861,inf
2862,85.57
2867,8.48
2872,2.9
2878,inf
2882,83.21
2885,inf
2886,inf
2888,inf
2889,7.41
2893,2.21
2894,36.47
2899,60.15
2903,inf
2907,inf
2911,inf
2912,inf
2917,52.63
2920,14.09
2931,inf
2935,inf
2938,134.41
2940,22.02
2942,12.99
2943,4.6
2949,inf
2953,90.14
2955,inf
2956,inf
2958,inf
2959,38.93
2963,24.5
2968,26.23
2974,98.93
2977,inf
2978,inf
2984,43.69
2985,19.25
2987,76.49
2990,4.77
2991,20.77
2994,57.56
2995,1.93
2999,inf
3000,inf
3002,101.2
3003,inf
3005,inf
3008,0.32
3009,19.26
3017,2.8
3023,inf
3031,30.69
3034,6.4
3035,20.54
3038,6.62
3042,39.25
3043,23.53
3047,inf
3049,inf
3057,6.86
3065,11.49
3066,30.88
3074,inf
3080,inf
3081,38.58
3088,29.09
3094,inf
3101,inf
3105,36.78
3106,34.44
3110,16.13
3114,35.48
3128,inf
3137,23.37
3140,inf
3141,inf
3143,inf
3145,101.43
3148,inf
3152,137.45
3155,6.32
3157,42.91
3161,24.31
3162,7.1
3174,33.6
3175,inf
3182,24.07
3185,1.82
3188,29.43
3189,17.4
3192,inf
3193,85.26
3196,inf
3199,39.7
3205,5.83
3208,22.03
3211,16.61
3218,inf
3226,29.47
3230,43.13
3234,28.57
3238,85.67
3241,inf
3243,inf
3244,88.66
3249,54.89
3250,51.38
3251,53.77
3252,17.69
3254,36.07
3260,inf
3262,inf
3263,inf
3264,90.37
3265,inf
3266,inf
3269,inf
3272,inf
3273,45.2
3276,inf
3280,50.65
3281,inf
3286,inf
3289,inf
3292,inf
3298,76.0
3305,51.0
3308,6.24
3319,78.98
3321,41.43
3326,164.3
3329,61.54
3331,9.04
3332,57.53
3334,inf
3339,inf
3342,80.3
3347,9.34
3348,4.34
3354,4.58
3356,26.79
3360,97.61
3366,74.61
3371,42.47
3373,7.19
3377,11.26
3380,96.35
3387,inf
3391,40.63
3393,16.46
3395,8.55
3396,33.61
3398,0.48
3402,86.6
3408,inf
3409,93.11
3412,inf
3417,43.88
3419,26.9
3420,4.46
3422,21.93
3423,36.28
3424,24.19
3425,25.05
3426,60.91
3435,85.14
3436,inf
3440,inf
3441,27.66
3442,4.5
3448,1.85
3455,inf
3457,inf
3462,inf
3463,60.74
3467,12.66
3470,20.52
3480,inf
3485,inf
3488,51.47
3489,7.87
3492,6.44
3498,11.85
3500,13.21
3501,5.48
3503,inf
3505,inf
3506,inf
3520,7.2
3522,40.57
3523,11.87
3529,inf
3531,inf
3533,inf
3537,27.84
3538,20.51
3544,14.91
3546,12.63
3547,9.86
3549,17.7
3550,inf
3551,7.89
3552,inf
3554,inf
3555,inf
3567,2.43
3568,2.93
3577,inf
3578,inf
3579,81.54
3584,63.0
3587,10.2
3588,39.99
3591,11.95
3593,39.15
3594,13.74
3595,20.13
3598,inf
3599,inf
3603,inf
3604,inf
3610,26.71
3612,1.22
3614,26.43
3616,22.12
3617,28.28
3620,71.56
3623,95.57
3624,inf
3625,inf
3626,inf
3629,63.78
3630,inf
3631,62.84
3632,17.84
3645,39.4
3646,inf
3648,inf
3650,inf
3653,104.54
3654,inf
3656,27.84
3660,35.43
3661,2.73
3669,66.07
3670,inf
3671,inf
3676,inf
3678,64.35
3680,17.84
