,“ú•Ê
1,39.46
2,4.11
6,1.69
7,2.02
9,9.05
16,40.88
17,35.81
18,19.91
19,36.14
26,54.9
29,27.18
30,8.05
31,33.73
32,30.88
38,39.56
41,7.25
44,16.89
45,4.72
54,17.85
55,19.35
56,1.68
59,13.45
61,19.81
66,1.75
68,33.13
72,12.23
73,7.89
79,11.12
84,19.77
91,12.75
98,9.26
99,29.88
100,15.38
101,16.49
103,15.6
105,23.8
107,0.19
119,37.52
120,3.54
122,2.98
124,17.98
129,14.54
130,36.67
138,45.24
140,70.95
141,47.09
142,17.24
144,4.09
146,8.4
151,23.86
153,27.21
154,17.08
155,8.87
163,22.1
166,1.73
171,11.55
178,15.16
180,2.49
181,7.83
185,6.54
186,16.29
190,5.53
192,34.08
202,50.2
209,23.66
212,69.58
213,7.39
215,32.64
217,21.62
221,7.36
235,11.61
239,9.96
240,31.81
243,19.74
249,2.06
251,8.13
254,25.48
255,10.22
266,16.45
269,17.61
272,344.63
274,419.34
275,460.42
276,522.2
280,23.09
282,30.48
283,39.56
286,2.81
287,20.35
288,10.87
292,14.05
296,32.49
298,16.5
301,12.3
307,13.08
309,8.44
312,14.62
314,6.42
328,6.79
329,7.09
332,27.85
333,2.3
339,15.38
343,10.66
344,2.79
346,13.76
350,6.48
353,23.19
357,26.57
358,8.29
363,13.09
