,“ú•Ê
1,2.3
2,0.83
3,5.69
5,17.64
6,8.57
7,1.31
9,1.5
10,6.36
11,4.11
12,2.78
15,5.79
16,20.02
17,14.18
18,11.28
20,15.79
21,22.2
23,14.87
24,0.87
25,1.45
26,22.52
27,3.28
28,0.67
29,4.55
30,2.8
31,14.3
32,21.1
34,3.7
35,7.67
36,5.59
37,2.23
38,17.46
42,8.84
44,9.65
46,4.63
48,1.85
52,1.2
54,10.87
55,6.84
57,7.29
59,10.94
60,9.25
61,3.62
63,8.84
64,6.98
65,5.56
66,3.1
67,0.72
69,3.73
70,2.86
72,2.7
76,0.63
77,8.03
78,2.76
79,4.5
80,2.43
82,1.2
83,1.1
84,11.0
86,6.38
87,7.73
88,6.09
90,5.03
91,6.1
92,17.3
94,4.51
97,7.61
98,9.69
99,9.93
100,4.62
101,3.62
102,16.7
103,2.3
104,3.92
105,4.52
106,11.94
107,6.35
109,7.98
110,6.42
111,2.82
112,5.32
113,3.58
114,4.24
118,3.93
120,2.78
121,14.96
122,0.38
123,1.83
124,7.09
125,4.46
126,2.86
127,22.53
129,0.42
130,6.37
131,9.91
133,0.64
134,2.63
136,6.04
138,5.92
139,2.27
140,24.31
141,18.81
144,0.84
145,4.07
146,2.83
147,1.91
148,3.56
149,4.0
150,9.69
154,3.54
155,3.06
156,2.57
158,10.2
159,4.94
160,5.23
163,9.77
164,2.99
168,4.75
170,4.13
171,8.04
172,0.73
173,4.35
174,1.16
175,5.63
178,1.41
179,4.99
182,7.28
185,10.7
186,13.79
187,0.63
189,7.6
190,0.36
191,10.23
192,20.01
193,1.99
194,4.73
195,11.86
196,0.77
199,0.74
200,25.4
201,9.06
204,5.22
205,0.62
206,3.14
207,3.6
209,4.77
211,10.54
214,10.51
215,2.08
216,4.47
217,3.03
220,3.36
221,6.28
223,1.25
224,7.2
225,4.68
226,23.82
227,4.21
228,10.87
230,9.64
231,3.5
232,2.84
234,0.09
235,3.88
236,15.78
237,2.51
238,4.25
240,8.5
241,2.58
242,7.98
243,2.04
244,7.88
245,2.34
246,8.8
248,2.33
249,2.6
251,7.64
252,6.03
253,1.53
254,0.88
255,3.97
256,3.46
257,36.25
259,7.15
260,4.51
262,11.87
263,2.04
265,2.02
266,3.35
267,1.87
270,19.26
271,19.48
272,106.72
273,52.26
274,104.99
276,257.51
278,44.86
279,11.64
280,16.58
282,27.9
283,14.78
284,5.87
285,7.04
286,5.62
288,7.5
289,103.91
290,1.27
291,8.47
292,24.29
293,13.03
294,8.91
295,5.82
296,18.28
297,17.06
298,4.19
299,4.06
300,16.28
301,2.22
302,15.46
303,25.3
304,0.14
306,1.92
307,12.09
308,12.72
309,11.46
310,11.94
313,11.58
314,0.4
316,9.33
322,8.5
323,0.58
325,0.45
326,12.05
328,8.19
330,5.4
331,14.87
334,11.5
337,8.25
338,0.11
340,8.42
343,1.74
345,1.3
347,7.12
348,2.29
350,0.64
352,5.74
354,11.41
355,10.08
356,6.66
357,5.72
358,1.02
359,13.69
360,26.03
361,0.42
363,1.45
