,EHP1-1,EHP1-2,EHP1-3,EHP2-3,EHP2-4,EHP3-1,EHP3-2,EHP3-3,EHP3-4,EHP4-1,EHP4-3,EHP4-5,EHP4-6
2018-07-04,6,16,24,15,15,9,14,12,13,13,13,14,14
2018-07-05,4,14,24,16,15,10,13,12,12,15,11,13,14
2018-07-06,7,11,24,14,15,6,14,11,12,15,12,10,9
2018-07-07,13,10,24,9,12,9,11,12,12,3,8,4,9
2018-07-08,16,9,24,13,11,0,5,2,4,7,8,9,16
2018-07-09,6,15,24,16,16,10,13,12,12,16,13,12,11
2018-07-10,6,14,24,16,16,10,13,11,13,16,13,12,14
2018-07-11,10,14,24,12,15,7,14,14,14,17,15,11,16
2018-07-12,4,14,24,15,16,9,13,13,13,15,15,14,8
2018-07-13,10,14,24,14,16,11,14,12,12,16,13,17,14
2018-07-14,4,11,24,12,13,10,13,12,12,11,11,12,11
2018-07-15,8,10,24,11,13,0,4,2,4,3,10,11,16
2018-07-16,8,11,24,8,13,6,13,12,13,11,19,9,13
2018-07-17,14,13,24,16,16,9,13,11,12,16,13,14,15
2018-07-18,4,15,24,14,16,11,13,11,12,16,14,13,16
2018-07-19,4,15,24,14,16,9,13,12,14,17,16,14,10
2018-07-20,4,15,24,15,15,11,13,12,13,18,17,17,14
2018-07-21,14,10,24,12,13,10,14,12,12,11,12,12,15
2018-07-22,12,11,24,12,16,0,4,2,4,8,9,2,14
2018-07-23,7,14,24,14,14,11,13,12,13,17,13,14,12
2018-07-24,14,15,24,14,16,9,14,12,13,17,12,12,15
2018-07-25,13,12,24,17,14,12,13,12,13,16,13,14,17
2018-07-26,13,15,24,16,17,10,14,12,13,14,12,12,16
2018-07-27,13,12,24,12,14,10,13,12,12,17,12,15,10
2018-07-28,11,8,24,3,14,10,12,9,11,3,6,8,12
2018-07-29,13,10,24,10,12,0,4,3,4,4,11,12,15
2018-07-30,12,15,24,12,15,4,13,11,12,14,15,13,15
2018-07-31,14,14,24,14,15,10,13,12,12,16,13,15,13
2018-08-01,8,15,24,14,15,8,13,12,13,18,13,14,14
2018-08-02,7,13,24,15,15,11,13,11,12,17,13,14,15
2018-08-03,10,14,24,15,17,10,14,11,12,16,13,18,12
2018-08-04,4,10,24,11,14,4,13,12,13,16,7,11,12
2018-08-05,11,14,24,5,15,7,4,2,9,16,12,3,14
2018-08-06,6,15,24,15,15,10,14,12,13,18,13,14,14
2018-08-07,7,14,24,12,15,10,13,11,12,16,10,11,9
2018-08-08,12,12,24,11,13,9,13,12,13,16,11,9,6
2018-08-09,5,13,24,13,16,9,13,11,12,16,12,12,10
2018-08-10,9,14,24,14,15,10,13,12,13,17,13,15,10
2018-08-11,10,11,24,10,14,6,13,11,12,10,13,12,0
2018-08-12,4,2,24,2,13,0,4,3,4,9,11,2,9
2018-08-13,10,12,24,16,14,9,14,10,12,16,12,11,10
2018-08-14,12,8,24,14,14,10,13,12,13,15,11,13,13
2018-08-15,13,13,24,13,14,11,13,12,13,16,11,12,13
2018-08-16,7,14,24,13,15,9,14,12,12,16,13,13,11
2018-08-17,9,13,24,14,16,10,13,11,12,16,13,16,13
2018-08-18,10,10,24,4,8,8,15,11,12,8,8,13,8
2018-08-19,4,8,24,3,9,0,4,3,4,13,9,2,9
2018-08-20,10,13,24,11,14,5,14,12,12,12,12,11,12
2018-08-21,11,12,24,10,15,10,13,12,12,15,13,11,10
2018-08-22,6,11,24,11,15,9,14,12,12,19,12,7,14
2018-08-23,11,13,24,12,14,9,13,11,13,16,13,13,10
2018-08-24,9,14,24,11,15,9,14,12,13,18,12,14,12
2018-08-25,12,12,24,10,13,10,13,11,12,15,9,14,12
2018-08-26,12,12,24,12,17,0,4,3,4,15,8,11,12
2018-08-27,10,13,24,15,15,11,15,12,12,17,13,16,6
2018-08-28,8,13,24,14,14,9,13,11,13,16,13,20,15
2018-08-29,14,16,24,12,14,10,13,12,13,14,13,15,12
2018-08-30,5,15,24,14,15,12,13,11,12,17,14,11,13
2018-08-31,8,11,24,15,15,11,14,12,12,16,10,12,14
2018-09-01,11,10,24,4,13,7,12,12,13,10,2,6,3
2018-09-02,9,11,24,1,13,0,4,2,4,7,11,2,7
2018-09-03,5,13,24,13,11,10,13,12,12,15,13,10,10
2018-09-04,4,15,24,10,17,10,13,12,12,15,9,11,12
2018-09-05,5,14,24,13,15,9,14,12,13,16,13,12,10
2018-09-06,4,10,24,14,15,9,14,12,12,16,13,13,11
2018-09-07,8,11,24,14,16,9,13,12,12,15,10,10,9
2018-09-08,11,10,24,7,13,9,14,11,12,13,7,10,0
2018-09-09,13,11,24,11,15,0,4,3,4,8,10,2,9
2018-09-10,10,11,24,14,15,11,14,11,13,17,13,12,7
2018-09-11,4,11,24,13,14,9,13,11,12,15,10,7,8
2018-09-12,9,13,24,12,15,10,13,15,14,7,10,3,3
2018-09-13,6,11,24,12,14,10,13,12,12,12,5,8,7
2018-09-14,8,13,24,14,17,0,12,11,12,17,9,3,8
2018-09-15,7,6,24,1,8,0,11,12,13,9,8,2,2
2018-09-16,9,8,24,1,7,0,4,2,6,5,0,2,1
2018-09-17,12,4,24,1,6,0,4,7,8,11,6,2,4
2018-09-18,6,14,24,13,16,9,14,10,12,15,13,6,11
2018-09-19,7,11,24,10,15,9,13,13,13,14,12,5,9
2018-09-20,7,9,24,10,15,9,13,14,12,13,8,7,5
2018-09-21,4,8,24,7,13,7,12,11,12,13,2,5,4
2018-09-22,4,3,24,1,7,7,12,11,15,10,0,2,3
2018-09-23,12,2,24,2,3,0,4,5,12,7,0,3,0
2018-09-24,12,3,24,1,13,0,5,2,4,3,0,2,0
2018-09-25,4,10,24,13,13,0,13,12,12,15,9,10,8
2018-09-26,5,3,24,11,10,0,13,11,12,14,0,2,3
2018-09-27,4,3,24,6,13,6,10,12,14,7,0,2,6
2018-09-28,9,5,24,8,15,7,12,12,12,11,0,2,4
2018-09-29,5,5,24,5,3,4,12,12,12,8,0,2,0
2018-09-30,4,3,23,2,4,0,9,2,4,3,0,2,0
