,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,21.15,24.0,23.92
2,26.73,24.0,24.06
4,19.37,22.0,22.22
5,4.59,4.0,4.37
9,8.0,16.0,16.25
10,3.4,4.0,3.76
12,10.19,4.0,3.87
13,19.41,21.0,21.01
14,13.04,11.0,10.96
17,-0.48,4.0,4.05
18,21.42,14.0,13.9
20,41.73,44.0,43.76
21,44.52,48.0,48.35
23,30.6,35.0,34.56
24,2.92,4.0,4.05
27,41.26,47.0,46.56
28,35.82,32.0,32.49
29,43.04,44.0,44.15
30,31.61,31.0,31.16
31,1.76,4.0,3.74
33,25.3,21.0,21.16
34,22.67,21.0,20.96
36,31.6,34.0,34.09
37,37.84,36.0,35.88
38,9.48,4.0,4.12
39,43.05,43.0,42.92
41,35.72,40.0,39.96
43,61.97,65.0,64.93
47,47.23,43.0,43.38
49,45.6,47.0,46.9
50,59.84,62.0,61.77
51,48.84,53.0,52.78
52,6.36,4.0,4.08
53,57.29,59.0,58.79
54,70.44,78.0,77.91
55,50.59,45.0,45.27
57,52.74,51.0,51.47
58,59.03,66.0,66.03
59,18.42,4.0,3.8
60,47.37,48.0,48.3
61,47.8,50.0,49.54
62,48.53,47.0,47.07
63,55.38,56.0,56.23
65,42.89,44.0,44.05
67,69.45,64.0,64.14
69,61.04,66.0,66.27
70,70.9,65.0,64.89
71,66.03,65.0,65.1
72,57.24,63.0,63.11
73,-0.85,4.0,4.19
75,65.69,63.0,63.0
76,61.36,59.0,59.58
77,54.77,56.0,55.97
78,65.17,68.0,67.63
80,9.63,4.0,4.3
83,58.13,63.0,62.72
85,69.4,67.0,66.91
86,55.94,72.0,71.15
87,8.72,4.0,4.24
88,78.18,77.0,77.13
91,54.93,53.0,52.56
92,50.48,50.0,49.14
93,44.47,56.0,55.68
94,4.12,4.0,4.43
95,54.12,56.0,56.31
96,82.38,76.0,76.58
97,94.28,85.0,84.6
98,67.73,63.0,63.4
99,66.63,64.0,63.9
101,-10.28,4.0,3.32
104,77.6,76.0,76.05
105,99.86,96.0,96.2
106,146.25,116.0,116.65
107,98.42,102.0,102.02
108,34.95,17.0,16.37
109,159.23,165.0,167.32
110,155.18,144.0,143.69
111,159.23,154.0,154.13
113,111.98,114.0,114.37
115,53.86,17.0,16.57
116,155.44,154.0,154.17
120,118.29,120.0,119.5
122,85.84,69.0,71.42
124,191.89,209.0,209.29
125,187.82,187.0,186.95
127,180.69,189.0,186.82
128,115.01,110.0,109.96
131,191.61,216.0,214.67
133,121.76,128.0,127.49
137,67.49,72.0,71.8
138,81.12,84.0,83.64
139,169.26,173.0,172.94
140,175.76,198.0,198.01
141,176.68,180.0,180.36
142,121.66,110.0,110.51
143,62.94,38.0,37.31
145,145.79,139.0,140.2
148,172.42,181.0,180.91
149,136.61,152.0,152.54
150,48.37,36.0,36.45
151,183.17,221.0,217.81
152,125.8,128.0,127.95
153,67.0,66.0,65.72
154,43.3,45.0,45.39
155,46.55,45.0,45.41
161,53.74,48.0,47.94
162,99.88,98.0,98.68
163,53.41,57.0,57.38
164,22.81,30.0,29.62
165,82.72,74.0,73.96
166,68.74,65.0,64.94
168,59.16,59.0,58.93
169,56.5,56.0,55.68
170,53.09,51.0,51.17
171,15.24,8.0,7.97
172,69.22,65.0,65.25
173,67.63,64.0,64.13
174,109.46,117.0,116.91
175,111.18,102.0,102.03
176,97.42,86.0,86.08
177,50.17,52.0,52.26
178,10.6,19.0,18.94
179,47.55,46.0,46.08
181,59.52,57.0,57.05
182,72.8,70.0,70.35
183,49.74,42.0,42.84
184,63.27,66.0,65.57
185,40.46,50.0,50.02
190,90.6,100.0,99.65
191,53.84,61.0,60.85
192,14.94,10.0,10.01
193,106.16,115.0,114.95
195,40.94,43.0,42.49
196,54.29,57.0,57.07
197,58.47,53.0,53.18
198,45.09,43.0,43.43
199,3.95,11.0,10.26
201,17.52,20.0,20.38
202,37.63,30.0,30.43
203,27.84,27.0,27.01
204,12.29,16.0,15.29
207,18.5,20.0,19.94
208,32.31,39.0,38.92
209,20.89,20.0,19.94
210,44.76,46.0,45.86
212,24.27,23.0,23.56
213,1.26,4.0,3.81
215,38.6,38.0,37.99
216,36.13,37.0,36.7
217,39.24,37.0,37.16
219,27.35,29.0,29.18
220,6.89,10.0,10.18
221,42.81,42.0,42.11
223,36.66,34.0,34.14
225,35.64,38.0,37.89
226,24.22,23.0,22.9
229,20.04,19.0,19.05
230,32.45,36.0,35.75
231,19.16,20.0,20.13
232,22.31,22.0,22.09
233,23.25,30.0,29.68
234,0.86,4.0,4.12
235,18.18,19.0,19.63
236,17.6,15.0,15.02
237,21.0,24.0,24.02
239,21.73,19.0,19.12
240,9.28,11.0,10.71
241,1.37,4.0,4.01
242,14.59,13.0,12.53
243,18.91,20.0,20.1
244,25.82,26.0,26.08
245,15.35,17.0,16.91
246,20.17,24.0,24.24
250,6.55,4.0,4.04
251,10.76,5.0,5.01
254,18.42,5.0,5.14
256,5.53,4.0,4.26
258,24.21,25.0,25.0
259,17.93,17.0,16.94
260,5.06,4.0,4.08
