,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1,2.62,1.0,0.98
2,1.28,1.0,1.12
3,0.18,1.0,1.04
6,10.85,9.0,9.24
9,2.22,1.0,1.13
19,11.26,14.0,13.58
21,2.11,1.0,0.97
22,2.01,1.0,0.75
35,12.41,15.0,13.64
37,3.39,1.0,1.36
38,1.09,1.0,1.05
43,3.75,1.0,0.78
46,3.81,1.0,0.67
55,11.04,14.0,14.32
58,4.45,1.0,0.67
62,-0.11,1.0,0.87
63,5.58,1.0,1.52
66,0.82,1.0,0.99
69,3.7,1.0,1.34
70,-0.52,1.0,0.85
79,-0.11,1.0,1.0
80,0.48,0.0,0.8
81,4.76,1.0,1.07
82,4.19,1.0,1.44
85,0.38,1.0,0.72
88,3.9,1.0,1.55
90,-0.16,1.0,0.97
92,4.49,1.0,1.11
93,0.36,1.0,1.08
101,-1.67,1.0,0.7
103,4.04,1.0,1.06
107,-0.76,1.0,0.88
112,2.56,1.0,0.94
117,3.45,1.0,0.68
118,1.18,1.0,0.65
121,0.84,1.0,0.91
126,8.97,6.0,5.69
130,0.86,1.0,1.01
133,2.94,1.0,0.91
134,1.64,1.0,1.22
135,2.27,1.0,1.2
144,1.1,1.0,1.18
150,1.88,1.0,1.4
151,1.97,1.0,1.57
154,16.34,20.0,18.96
160,19.24,20.0,20.65
162,18.62,23.0,21.04
174,12.18,16.0,15.68
178,1.71,1.0,0.85
180,12.53,10.0,9.45
181,13.98,9.0,9.7
182,10.35,14.0,13.73
184,11.1,10.0,10.34
185,1.61,1.0,0.94
188,18.51,17.0,18.3
189,16.54,20.0,15.58
190,12.13,17.0,15.05
192,1.49,1.0,1.14
194,18.4,20.0,19.18
198,18.67,16.0,20.46
199,1.58,0.0,1.29
203,15.3,9.0,10.94
206,1.44,1.0,1.57
208,16.83,4.0,3.75
214,2.99,1.0,2.02
215,17.43,20.0,18.6
217,22.53,21.0,22.17
224,4.4,6.0,5.4
227,1.47,1.0,1.48
228,2.7,1.0,1.59
233,14.05,11.0,13.4
235,1.03,1.0,0.76
243,18.12,22.0,20.0
244,14.93,17.0,15.29
247,18.97,20.0,19.83
