,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,11.83,16.08
1,10.5,5.54
3,482.31,107.43
4,8.5,34.27
5,13.74,8.89
6,5.51,2.94
7,6.71,3.24
9,15.98,18.43
12,2.98,3.4
13,4.0,3.29
14,1.07,0.53
16,2.12,27.87
24,100.06,49.71
25,15.57,13.23
27,8.83,5.15
28,15.71,23.88
31,123.33,21.78
33,4.85,2.98
34,13.48,17.04
36,6.81,11.42
38,41.55,98.9
39,27.74,30.67
40,11.97,13.78
42,5.54,7.97
43,4.07,3.36
45,420.49,120.24
46,6.03,7.75
47,3.82,0.19
48,6.97,8.06
49,2.59,2.7
50,5.46,6.2
51,27.57,14.08
52,399.96,112.97
53,1.32,2.54
54,3.18,5.71
55,0.94,0.31
56,11.18,10.52
57,0.65,0.82
58,4.21,2.61
59,41.83,77.28
60,3.18,1.47
61,5.31,3.51
62,0.38,2.46
63,1.07,1.81
64,3.52,3.77
65,27.05,29.63
66,275.46,143.66
68,0.4,1.14
69,1.03,2.01
70,0.45,1.39
72,2.59,4.49
75,2.34,2.59
78,2.75,3.59
79,13.9,6.57
80,92.23,96.05
82,1.64,2.59
83,1.84,4.51
84,4.88,3.22
85,0.52,2.78
86,15.99,18.79
87,24.21,37.89
88,0.75,0.89
89,1.96,3.96
90,8.77,2.36
91,3.4,5.3
93,2.02,2.04
94,405.02,24.75
96,0.41,1.07
97,0.13,2.1
98,1.63,1.35
99,2.2,0.38
100,0.61,1.15
102,6.25,5.23
104,5.19,4.53
105,2.89,1.58
106,0.33,0.65
107,0.21,2.34
108,122.12,143.95
109,0.11,1.3
110,1.39,3.09
111,0.97,0.01
112,2.78,1.4
113,14.1,12.73
114,2.04,3.85
116,7.44,3.46
117,1.33,0.4
120,1.32,1.88
121,5.08,5.38
122,77.69,87.78
124,1.86,0.73
125,1.59,1.11
127,2.19,1.45
132,0.48,3.74
133,0.36,3.75
135,12.41,12.5
136,408.28,7.57
137,1.03,2.78
139,0.36,3.22
140,0.65,1.89
143,44.14,14.02
145,2.19,3.62
146,1.24,3.31
147,3.9,2.42
148,2.03,2.26
150,137.31,42.53
152,3.08,0.9
157,120.46,1.73
158,11.44,21.37
159,10.21,9.2
161,8.69,7.53
162,3.92,3.86
163,10.5,9.45
165,9.86,7.94
166,5.04,6.92
169,5.69,5.47
170,8.39,7.53
171,75.29,79.22
172,13.79,13.86
173,5.89,6.17
174,0.19,1.54
175,1.95,2.5
176,3.31,1.35
179,5.32,5.67
183,4.99,7.16
184,2.92,1.47
186,5.63,5.1
187,1.86,3.91
188,2.02,4.46
191,26.96,28.1
192,281.85,2.09
193,34.3,36.29
194,1.7,2.01
198,0.89,2.83
199,24.14,9.49
201,0.26,10.8
202,0.48,13.1
203,0.21,2.06
204,11.29,14.92
206,1.19,73.85
207,11.42,8.76
208,5.47,13.52
209,18.42,18.14
210,16.36,24.04
211,7.52,5.25
212,6.76,7.68
213,40.04,49.67
214,27.8,34.14
216,35.95,30.29
218,1.45,2.02
220,60.89,6.41
221,0.72,6.42
222,19.57,24.3
223,5.83,11.3
224,0.4,0.92
225,8.11,14.46
226,451.32,54.66
227,49.18,26.57
228,6.28,7.04
231,6.35,5.66
233,46.25,3.43
234,37.43,0.23
235,1.18,6.81
236,8.12,10.24
237,1.55,3.57
238,5.02,3.54
239,4.1,5.51
240,10.82,0.46
241,38.35,85.67
243,6.47,0.07
244,26.79,25.7
245,9.63,4.86
246,4.46,4.43
247,7.19,10.59
250,5.77,0.73
251,6.73,3.12
252,18.19,34.08
254,9.53,6.33
255,98.92,68.49
258,5.65,3.49
259,8.81,9.8
260,13.31,3.76
262,4.56,70.39
263,9.51,2.35
264,6.47,6.42
265,8.34,1.1
266,12.19,21.65
267,20.92,13.48
268,17.18,26.29
269,23.67,63.07
270,23.91,4.68
271,21.47,16.72
272,8.32,35.68
273,248.81,91.33
274,193.95,65.82
275,170.67,46.53
285,6.94,13.74
286,2.12,3.39
287,4.68,3.72
290,11.04,59.08
292,10.92,1.82
293,8.91,6.76
294,0.4,5.7
295,16.96,0.0
296,33.29,29.22
297,8.72,6.52
298,64.15,66.85
299,17.61,18.6
300,31.07,22.03
301,25.02,18.3
303,4.71,13.71
304,1.38,41.49
306,3.74,13.35
308,8.05,5.7
309,13.64,37.18
310,5.41,30.3
311,7.57,61.07
312,30.45,36.39
313,7.07,13.64
316,16.11,8.92
317,9.24,13.92
318,28.68,42.7
319,47.84,55.97
320,6.29,6.29
321,2.21,4.18
322,16.31,1.57
323,6.46,33.03
324,28.57,39.2
325,12.06,7.78
327,11.86,6.4
328,145.71,20.76
329,29.79,25.75
330,12.96,3.26
331,10.6,9.91
332,1.63,39.35
333,4.17,10.35
335,0.6,0.48
336,18.26,24.61
337,20.55,13.68
338,3.65,0.12
340,2.49,3.61
342,0.11,7.49
344,9.0,4.64
345,5.95,11.79
347,5.35,2.28
350,0.59,4.16
351,11.11,0.21
353,59.96,100.01
354,8.1,15.36
356,25.5,15.29
357,4.73,0.3
358,15.32,11.91
359,9.29,59.32
360,61.34,88.05
361,19.44,20.96
362,8.94,13.45
364,15.38,22.82
365,8.02,16.23
366,2.07,0.87
367,16.27,17.07
368,14.52,0.08
369,88.82,33.61
373,2.33,5.6
374,26.03,20.25
378,32.55,55.5
379,8.03,9.47
380,9.54,5.59
381,17.04,18.13
383,54.4,63.93
385,2.98,4.19
386,18.24,12.67
387,8.78,8.53
388,8.26,9.47
390,152.07,87.3
391,8.24,10.73
393,11.81,17.17
395,20.86,20.58
397,63.88,121.59
398,14.26,10.47
399,2.0,7.48
403,18.51,21.19
405,0.97,2.05
406,4.82,3.4
407,1.08,0.07
408,1.55,3.9
409,11.29,12.82
410,22.97,14.69
411,117.98,136.45
413,12.23,11.97
414,10.76,12.19
415,6.69,3.3
416,2.88,2.57
417,6.55,14.97
418,44.18,19.77
419,1.42,1.93
424,4.7,7.45
425,167.65,29.94
427,1.88,4.16
428,0.34,1.6
429,3.48,3.44
430,2.69,1.53
433,4.3,3.21
436,1.25,1.77
438,3.56,1.14
439,152.2,17.26
440,2.32,0.61
441,1.44,1.0
442,0.87,0.59
445,3.16,5.99
446,173.67,53.84
447,13.9,15.62
449,1.81,1.97
451,1.53,0.78
452,0.33,0.65
454,0.01,0.6
455,2.29,2.35
456,1.2,1.57
458,0.55,0.55
460,18.76,51.01
461,2.18,1.61
463,4.04,2.92
465,3.54,4.49
466,2.92,2.4
467,28.95,4.26
468,0.58,2.54
469,1.24,0.78
470,8.61,6.63
474,23.65,54.98
475,0.15,1.21
476,0.09,0.35
479,1.82,2.89
480,4.52,5.5
481,29.98,35.84
482,1.26,0.6
483,1.22,2.5
484,2.35,4.36
485,1.11,0.03
487,2.33,3.21
488,30.5,51.76
490,0.33,3.14
491,0.15,3.31
492,4.0,1.51
493,3.81,0.26
494,1.42,2.81
495,73.71,89.71
496,3.49,6.0
497,4.55,1.02
498,8.11,6.31
499,0.98,1.43
500,4.44,0.53
501,1.34,1.59
503,2.39,0.34
504,2.49,1.58
505,1.46,0.21
506,2.91,0.31
509,51.93,69.8
510,1.71,0.76
513,0.77,1.82
514,0.06,0.68
515,2.35,1.37
518,2.87,1.01
519,0.4,3.52
520,1.85,1.49
521,11.14,11.47
522,0.26,3.19
526,1.35,2.71
527,4.04,5.67
528,5.84,7.09
529,2.75,2.84
530,5.09,36.39
531,1.44,1.75
532,0.05,2.02
534,5.2,3.81
535,5.38,6.01
536,0.45,1.72
537,49.18,14.88
538,52.59,54.44
539,72.67,77.09
540,35.68,38.87
541,30.01,37.02
542,8.43,21.68
543,18.11,53.12
544,266.96,51.77
546,22.25,11.58
550,0.6,3.09
554,14.09,25.36
555,11.21,19.77
556,12.52,15.56
558,394.71,15.33
559,11.09,10.05
561,3.58,3.75
562,5.28,0.9
563,0.91,7.72
564,0.93,8.66
565,24.88,42.0
566,2.38,6.91
567,4.76,4.17
570,18.47,33.89
572,224.33,41.09
573,2.37,1.92
574,3.33,0.66
575,3.29,0.24
576,7.09,12.2
577,6.04,11.04
578,10.03,15.0
579,43.46,21.57
582,11.29,17.18
583,3.85,14.33
585,17.54,3.27
587,12.97,0.18
589,0.96,4.93
590,8.87,0.83
591,11.66,10.5
592,218.13,14.06
594,10.69,5.47
595,2.0,4.06
596,9.47,9.35
597,0.37,10.09
598,10.95,15.06
599,23.86,5.06
601,8.44,0.51
602,17.65,14.31
604,10.7,15.56
605,16.18,7.33
606,7.88,5.1
608,16.35,8.76
609,9.04,16.05
611,8.93,11.77
612,41.8,40.62
613,34.47,25.95
614,13.75,15.61
618,3.5,3.87
619,28.65,16.57
620,19.32,1.77
621,36.52,19.42
622,1.7,0.15
624,15.37,14.4
625,14.05,32.75
629,13.25,31.51
630,2.32,10.74
632,6.41,52.24
633,2.47,22.33
634,4.74,21.04
636,18.16,1.17
637,51.2,37.33
638,113.92,14.45
639,172.7,27.02
640,76.46,24.83
641,122.52,22.54
642,49.51,51.7
643,178.32,88.76
644,181.98,42.86
645,114.56,25.2
649,56.2,79.36
650,5.63,32.9
651,17.49,1.13
652,20.07,8.43
653,17.85,8.99
654,1.68,13.86
655,18.25,20.12
657,18.05,7.92
659,197.98,81.06
662,0.97,20.36
663,77.11,91.77
664,51.54,38.26
665,0.81,12.5
666,2.84,9.7
667,26.32,4.76
668,10.26,50.62
669,39.87,64.8
670,43.33,14.24
671,30.13,18.14
672,5.24,1.01
673,0.73,9.51
674,4.04,3.67
675,1.99,0.79
676,7.73,21.07
677,25.62,47.04
680,2.7,5.2
681,24.72,10.28
682,7.12,27.05
683,5.36,11.01
684,49.05,50.52
685,37.4,28.54
687,4.4,21.39
689,13.86,5.64
691,25.57,22.0
694,13.92,14.08
695,2.65,11.59
696,17.16,34.17
700,21.26,25.54
701,6.22,3.27
702,10.35,22.97
707,14.0,34.7
709,11.42,16.55
710,18.62,23.48
713,11.62,21.12
714,20.52,11.7
715,5.85,13.65
716,4.87,7.71
717,8.23,9.8
718,7.41,1.02
719,16.4,81.36
720,2.77,8.36
721,7.25,8.35
722,4.26,0.85
723,6.6,7.51
724,2.81,6.53
725,4.25,6.19
726,255.22,99.12
727,23.26,21.53
729,8.46,2.57
