,特徴量重要度,クラスタ平均値
室外機運転時間,0.1163626368094302,0.22570523392483044
日,0.1267353018216519,0.003941226646312044
外気温度,0.1741012887652205,-0.2510623926547928
月,0.2147260995831144,0.34349478820623425
負荷率,0.2831891989638281,0.0051505690637644016
